#eighty|h ˈæ ʃ ˈeɪ ɾ i
#three|h ˈæ ʃ θ ɹ ˈiː
caparisoned|k ˈæ p ɐ ɹ ˌɪ s ə n d
caparisons|k ˈæ p ɐ ɹ ˌɪ s ə n z
capering|k ˈeɪ p ɚ ɹ ɪ ŋ
capias|k ˈeɪ p iə z
capital|k ˈæ p ɪ ɾ əl
capitally|k ˈæ p ɪ ɾ əl i
capitulations|k ɐ p ˈɪ tʃ ʊ l ˈeɪ ʃ ə n z
capons|k ˈeɪ p ɑː n z
capped|k ˈæ p t
cappys|k ˈæ p ɪ z
capricious|k ɐ p ɹ ˈɪ ʃ ə s
capriciousness|k ɐ p ɹ ˈɪ ʃ ə s n ə s
caps|k ˈæ p s
capsizing|k ˈæ p s aɪ z ɪ ŋ
capstan|k ˈæ p s t ə n
capstans|k ˈæ p s t ə n z
captai|k ˈæ p t i
captain|k ˈæ p t ɪ n
captain'll|k ˈæ p t ɪ n əl
captain's|k ˈæ p t ɪ n z
captaincy|k ˈæ p t ɪ n s i
captained|k ˈæ p t ɪ n d
captains|k ˈæ p t ɪ n z
captial|k ˈæ p ʃ əl
captious|k ˈæ p ʃ ə s
captives|k ˈæ p t ɪ v z
captivity|k æ p t ˈɪ v ᵻ ɾ i
captures|k ˈæ p tʃ ɚ z
car|k ˈɑːɹ
caraacawe|k ˈæ ɹ ɑː k ˌɔː
caraatane|k ˈæ ɹ ɑː t ˌeɪ n
carac|k ˈæ ɹ æ k
caracole|k ˈæ ɹ ɐ k ˌoʊ l
caractacus|k ˈæ ɹ ɐ k t ˌæ k ə s
carafe'|k ɚ ɹ ˈæ f
carahil|k ˈæ ɹ ɐ h ˌɪ l
carahil's|k ˈæ ɹ ɐ h ˌɪ l z
carandial|k æ ɹ ˈæ n d ɪ  ə l
caranthir|k ˈæ ɹ ɐ n θ ˌɪɹ
caranya|k æ ɹ ˈæ n j ə
carapace|k ˈæ ɹ ɐ p ˌeɪ s
carapaces|k ˈæ ɹ ɐ p ˌeɪ s ᵻ z
caravaneer|k ˌæ ɹ ɐ v ɐ n ˈɪɹ
caravaner|k ˈæ ɹ ɐ v ˌeɪ n ɚ
caravaners|k ˈæ ɹ ɐ v ˌeɪ n ɚ z
caravans|k ˈæ ɹ ɐ v ˌæ n z
caravis|k ˈæ ɹ ɐ v ˌɪ s
carbohydrates|k ˌɑːɹ b oʊ h ˈaɪ d ɹ eɪ t s
carbon|k ˈɑːɹ b ə n
carbonic|k ɑːɹ b ˈɑː n ɪ k
carboys|k ˈɑːɹ b ɔɪ z
carbuncles|k ˈɑːɹ b ʌ ŋ k əl z
carcano|k ɑːɹ k ˈɑː n oʊ
carcette|k ɑːɹ s ˈɛ t
carchemish|k ˈɑːɹ k ɛ m ɪ ʃ
card|k ˈɑːɹ d
card'll|k ˈɑːɹ d əl
carden's|k ˈɑːɹ d ə n z
cardinal|k ˈɑːɹ d ɪ n əl
cardinal's|k ˈɑːɹ d ɪ n əl z
cardinalist|k ˈɑːɹ d ɪ n ə l ˌɪ s t
cardinalists|k ˈɑːɹ d ɪ n ə l ˌɪ s t s
cardinalship|k ˈɑːɹ d ɪ n əl ʃ ˌɪ p
carding|k ˈɑːɹ d ɪ ŋ
cardingham|k ˈɑːɹ d ɪ ŋ ˌæ m
cardiotachyscope|k ˈɑːɹ d ɪ  ˌoʊ ɾ ɐ k ˌɪ s k oʊ p
cards|k ˈɑːɹ d z
carduin|k ˈɑːɹ d uː ˌɪ n
care|k ˈɛɹ
career|k ɚ ɹ ˈɪɹ
careered|k ɚ ɹ ˈɪɹ d
careful|k ˈɛɹ f əl
carefully|k ˈɛɹ f ə l i
carenate|k ˈɛɹ n eɪ t
carers|k ˈɛ ɹ ɚ z
cares|k ˈɛɹ z
caressing|k ɚ ɹ ˈɛ s ɪ ŋ
caressingly|k ɚ ɹ ˈɛ s ɪ ŋ l i
carest|k ˈɛ ɹ ɪ s t
caretaker|k ˈɛɹ ɾ eɪ k ɚ
caretaker's|k ˈɛɹ ɾ eɪ k ɚ z
careth|k ˈɑːɹ ɹ ə θ
carew|k ˈɛɹ w
careworn|k ˈɛɹ w oːɹ n
care…|k ˈɛɹ
cargo|k ˈɑːɹ ɡ oʊ
caricature|k ˈæ ɹ ɪ k ə tʃ ˌʊɹ
caricatures|k ˈæ ɹ ɪ k ə tʃ ˌʊɹ z
caring|k ˈɛ ɹ ɪ ŋ
carius|k ˈɛ ɹ ɪ  ə s
cark|k ˈɑːɹ k
carl|k ˈɑːɹ l
carlines|k ˈɑːɹ l aɪ n z
carlisle's|k ˈɑːɹ l aɪ əl z
carlist|k ˈɑːɹ l ɪ s t
carlo|k ˈɑːɹ l oʊ
carlstead|k ˈɑːɹ l s t ɛ d
carlton|k ˈɑːɹ l t ə n
carmala|k ɑːɹ m ˈɑː l ə
carmana|k ɑːɹ m ˈɑː n ə
carn's|k ˈɑːɹ n z
carnally|k ˈɑːɹ n əl i
carnate|k ˈɑːɹ n eɪ t
carnates|k ˈɑːɹ n eɪ t s
carnedd|k ˈɑːɹ n ɛ d
carnelian|k ɑːɹ n ˈiː l iə n
carnivora|k ˈɑːɹ n ɪ v ˌoː ɹ ə
caro's|k ˈæ ɹ oʊ z
caroberta|k ˈæ ɹ oʊ b ɚ ɾ ə
carolling|k ˈæ ɹ əl ɪ ŋ
caros|k ˈæ ɹ oʊ z
carotid|k ɚ ɹ ˈɑː ɾ ɪ d
carousal|k ˈæ ɹ aʊ z əl
caroused|k ɚ ɹ ˈaʊ z d
carouses|k ɚ ɹ ˈaʊ z ᵻ z
carpathian|k ɑːɹ p ˈæ θ iə n
carpenter|k ˈɑːɹ p ə n t ɚ
carpenters'|k ˈɑːɹ p ə n t ɚ z
carpet|k ˈɑːɹ p ɪ t
carpets|k ˈɑːɹ p ɪ t s
carriage|k ˈæ ɹ ɪ dʒ
carriages|k ˈæ ɹ ɪ dʒ ᵻ z
carrie's|k ˈæ ɹ i z
carriers|k ˈæ ɹ ɪɹ z
carrieth|k ˈæ ɹ iə θ
carronade|k ˈæ ɹ ə n ˌeɪ d
carronades|k ˈæ ɹ ə n ˌeɪ d z
carry|k ˈæ ɹ i
carryin|k ˈæ ɹ i  ˌɪ n
carryin'|k ˈæ ɹ i  ˌɪ n
cars|k ˈɑːɹ z
cart|k ˈɑːɹ t
cart's|k ˈɑːɹ t s
carthagena|k ˈɑːɹ θ eɪ dʒ n ə
carthaginians|k ˌɑːɹ θ ɐ dʒ ˈɪ n iə n z
carthusian|k ɑːɹ θ ˈuː ʒ ə n
cartload|k ˈɑːɹ t l oʊ d
cartridge|k ˈɑːɹ t ɹ ɪ dʒ
cartridges|k ˈɑːɹ t ɹ ɪ dʒ ᵻ z
carts|k ˈɑːɹ t s
carvain|k ˈɑːɹ v eɪ n
carvain's|k ˈɑːɹ v eɪ n z
carvan|k ˈɑːɹ v æ n
carved|k ˈɑːɹ v d
carven|k ˈɑːɹ v ə n
carvin'|k ˈɑːɹ v ɪ n
carving|k ˈɑːɹ v ɪ ŋ
carwen|k ˈɑːɹ w ə n
casanovas|k ˌæ s ɐ n ˈoʊ v ə z
case|k ˈeɪ s
cased|k ˈeɪ s t
casement|k ˈeɪ s m ə n t
casements|k ˈeɪ s m ə n t s
cases|k ˈeɪ s ᵻ z
cash|k ˈæ ʃ
casing|k ˈeɪ s ɪ ŋ
cask|k ˈæ s k
cask's|k ˈæ s k s
casket|k ˈæ s k ɪ t
casket'll|k ˈæ s k ɪ ɾ əl
casks|k ˈæ s k s
caslon|k ˈæ s l ɑː n
caslon's|k ˈæ s l ɑː n z
casnar|k ˈæ s n ɑːɹ
caspars|k ˈæ s p ɑːɹ z
cassandra|k ə s ˈæ n d ɹ ə
cassio|k ˈæ s ɪ  ˌoʊ
cassius|k ˈæ s ɪ  ə s
cast|k ˈæ s t
casteldaccia|k ˌæ s t ɪ l d ˈæ k s iə
castigation|k ˌæ s t ɪ ɡ ˈeɪ ʃ ə n
castilian|k æ s t ˈɪ l iə n
casting|k ˈæ s t ɪ ŋ
castle|k ˈæ s əl
castlereagh|k ˈæ s əl ɹ ˌiː ɡ
castro|k ˈæ s t ɹ oʊ
casts|k ˈæ s t s
casual|k ˈæ ʒ uː əl
casuist|k ˈæ ʒ uː ˌɪ s t
cat|k ˈæ t
catabolic|k ˌæ ɾ ɐ b ˈɑː l ɪ k
catabolism|k ˈæ ɾ ɐ b ˌoʊ l ɪ z ə m
catafalque|k ˈæ ɾ ɐ f ˌæ l k
catamaran|k ˈæ ɾ ɐ m ɚ ɹ ˌæ n
catastrophe|k ɐ t ˈæ s t ɹ ə f i
catboat|k ˈæ t b oʊ t
catbox|k ˈæ t b ɑː k s
catch|k ˈæ tʃ
catcher|k ˈæ tʃ ɚ
catchers|k ˈæ tʃ ɚ z
catchier|k ˈæ tʃ i  ɚ
catchin'|k ˈæ tʃ ɪ n
catching|k ˈæ tʃ ɪ ŋ
catechisms|k ˈæ ɾ ɪ tʃ ˌɪ z ə m z
categories|k ˈæ ɾ ɪ ɡ ɚ ɹ i z
cathcart's|k ˈæ θ k ɑːɹ t s
cathedral|k ɐ θ ˈiː d ɹ əl
cathedrals|k ɐ θ ˈiː d ɹ əl z
catherine|k ˈæ θ ɹ ɪ n
catholic|k ˈæ θ l ɪ k
catholicism|k æ θ ˈɑː l ɪ s ˌɪ z ə m
catiotus|k ˈæ ɾ ɪ  ˌɑː ɾ ə s
catnach|k ˈæ t n æ k
catoblepas|k ˈæ ɾ ə b əl p ə z
catriona|k ˌæ t ɹ ɪ  ˈoʊ n ə
cats'|k ˈæ t s
cattle|k ˈæ ɾ əl
catwalks|k ˈæ t w ɔː k s
caught|k ˈɔː t
caught…|k ˈɔː t
cauis|k ˈɔː i z
caula|k ˈɔː l ə
cauldron's|k ˈɔː l d ɹ ə n z
cauliflowers|k ˈɑː l ɪ f l ˌaʊ ɚ z
caulked|k ˈɔː k t
caunt's|k ˈɔː n t s
causal|k ˈɔː z əl
cause|k ˈɔː z
caused|k ˈɔː z d
causeless|k ˈɔː z l ə s
causelessly|k ˈɔː z l ə s l i
causes|k ˈɔː z ᵻ z
causes…|k ˈɔː z ᵻ z
causeth|k ˈɔː z ə θ
cautery|k ˈɔː ɾ ɚ ɹ i
caution|k ˈɔː ʃ ə n
caution's|k ˈɔː ʃ ə n z
cautious|k ˈɔː ʃ ə s
cavalier|k ˌæ v ɐ l ˈɪɹ
cavaliers|k ˌæ v ɐ l ˈɪɹ z
cavalry's|k ˈæ v əl ɹ i z
cavalrymen|k ˈæ v ɐ l ɹ ˌɪ m ɛ n
cavass|k ˈæ v ə s
cave|k ˈeɪ v
caveland|k ˈeɪ v l ə n d
cavern|k ˈæ v ɚ n
cavern's|k ˈæ v ɚ n z
caverns|k ˈæ v ɚ n z
caves|k ˈeɪ v z
cavings|k ˈeɪ v ɪ ŋ z
cawaalahu|k ˌæ w ɑː l ˈɑː h uː
cawaalane|k ˈæ w ɑː l ˌeɪ n
cawaale|k ˈæ w ɑː l
cawasy|k ˈæ w ə s i
cawe|k ˈɔː
caweme|k ˈɔː m
cawenaa|k ˈɔː n ɑː
cawene|k ˈɔː n
caweneme|k ˈɔː n iː m
cawenenaa|k ˈɔː n ə n ˌɑː
cawing|k ˈɔː ɪ ŋ
caxton's|k ˈæ k s t ə n z
cayo|k ˈeɪ oʊ
cazan|k ˈæ z ə n
ce|s ˈiː
cease|s ˈiː s
ceased|s ˈiː s t
ceaseth|s ˈiː s ə θ
ceasing|s ˈiː s ɪ ŋ
cebate|s ˈɛ b eɪ t
cebenye|s ˈɛ b ə n ˌaɪ
cecia|s ˈiː ʃ i  ə
cecia's|s ˈiː ʃ i  ə z
cedar's|s ˈiː d ɚ z
cedarcroft|s ˈɛ d ɑːɹ k ɹ ˌɔ f t
cedran|s ˈɛ d ɹ ə n
cedric's|s ˈɛ d ɹ ɪ k z
ceelesi|s ˈiː l ɛ s i
ceewaalahu|s ˌiː w ɑː l ˈɑː h uː
cegaare|s ɛ ɡ ˈɑːɹ
cegeraacawe|s ˈɛ dʒ ɚ ɹ ˌɑː k ɔː
cegeraacene|s ˈɛ dʒ ɚ ɹ ˌɑː s iː n
cegere|s ˈɛ dʒ ɚ
cegerocaacawe|s ˈɛ dʒ ɚ ɹ ˌɑː k ɑː k ˌɔː
cegeroce|s ˈɛ dʒ ɚ ɹ ˌoʊ s
cegerocu|s ˈɛ dʒ ɚ ɹ ˌɑː k uː
cegeru|s ˈɛ dʒ ɚ ɹ ˌuː
cehu|s ˈɛ h uː
cehune|s ˈɛ h j uː n
cehute|s ˈɛ h j uː t
ceilidh|k ˈeɪ l i
ceiling|s ˈiː l ɪ ŋ
ceiling's|s ˈiː l ɪ ŋ z
cekolaa|s ˈɛ k ə l ˌɑː
celawaale|s ˈɛ l ɐ w ˌɑː l
celawe|s ˈɛ l ɔː
celebrateth|s ˈɛ l ə b ɹ ˌeɪ ɾ ə θ
celedaen|s ˈɛ l ɪ d ˌiː n
celeme|s ˈɛ l iː m
celestials|s ə l ˈɛ s t j əl z
cell|s ˈɛ l
cellar|s ˈɛ l ɚ
celled|s ˈɛ l d
cellmate|s ˈɛ l m eɪ t
cellmates|s ˈɛ l m eɪ t s
cells|s ˈɛ l z
cellulose|s ˈɛ l j uː l ˌoʊ s
celotaa|s ˈɛ l ə t ˌɑː
celotaacawe|s ˈɛ l ə t ˌɑː k ɔː
celotaawe|s ˈɛ l ə t ˌɑː w
celote|s ˈɛ l oʊ t
celotu|s ˈɛ l ə t ˌuː
celu|s ˈɛ l uː
celwale|s ˈɛ l w eɪ l
ceme|s ˈiː m
cemetary|s ˈɛ m ɪ t ˌɛ ɹ i
cendrilla|s ɛ n d ɹ ˈɪ l ə
cene|s ˈiː n
cenene|s ˈɛ n iː n
censorious|s ɛ n s ˈoː ɹ iə s
censures|s ˈɛ n ʃ ɚ z
census|s ˈɛ n s ə s
cent|s ˈɛ n t
centere|s ˈɛ n t ɚ
centers|s ˈɛ n t ɚ z
centimeter|s ˈɛ n t ɪ m ˌiː ɾ ɚ
centimeters|s ˈɛ n t ɪ m ˌiː ɾ ɚ z
centipedes|s ˈɛ n t ɪ p ˌiː d z
central|s ˈɛ n t ɹ əl
centre|s ˈɛ n t ɚ
centred|s ˈɛ n t ə d
centry|s ˈɛ n t ɹ i
cents|s ˈɛ n t s
centuries|s ˈɛ n tʃ ɚ ɹ i z
centurions|s ɛ n tʃ ˈʊɹ ɹ iə n z
century|s ˈɛ n tʃ ɚ ɹ i
centzon|s ˈɛ n t s ɑː n
cerberus|s ˈɜː b ɚ ɹ ə s
cerbin|s ˈɜː b ɪ n
cerebellum|s ˌɛ ɹ ɪ b ˈɛ l ə m
cerebrospinal|s ɚ ɹ ˌiː b ɹ ə s p ˈaɪ n əl
cerebrum|s ɚ ɹ ˈiː b ɹ ə m
cerecaaro|s ˌɛ ɹ ɪ k ˈɑːɹ ɹ oʊ
ceremonials|s ˌɛ ɹ ᵻ m ˈoʊ n ɪ  ə l z
ceremonious|s ˌɛ ɹ ᵻ m ˈoʊ n iə s
ceremoniously|s ˌɛ ɹ ᵻ m ˈoʊ n iə s l i
ceremoniousness|s ˌɛ ɹ ᵻ m ˈoʊ n iə s n ə s
ceremony|s ˈɛ ɹ ᵻ m ə n i
ceremony's|s ˈɛ ɹ ᵻ m ə n i z
cerotaa|s ˈɛ ɹ oʊ t ˌɑː
certain|s ˈɜː ʔ n̩
certainly|s ˈɜː ʔ n̩ l i
certainties|s ˈɜː t ə n t i z
certainty|s ˈɜː t ə n t i
certain…|s ˈɜː ʔ n̩
certianly|s ˈɜː ʃ ə n l i
certingly|s ˈɜː ɾ ɪ ŋ l i
cerulean|s ɚ ɹ ˈuː l iə n
cerys|s ˈɜː ɹ i z
cerys'|s ˈɜː ɹ i z
cerys'll|s ˈɜː ɹ ɪ z əl
cesspit|s ˈɛ s p ɪ t
cesspool|s ˈɛ s p uː l
cette|s ˈɛ t
cewe|s j ˈuː
cewene|s j ˈuː iː n
ceádmil|s ˈiː d m ɪ l
chaa|tʃ ˈɑː
chaakaa|tʃ ˈɑː k ɑː
chaamaa|tʃ ˈɑː m ɑː
chaanaa|tʃ ˈɑː n ɑː
chaanu|tʃ ˈɑː n uː
chaare|tʃ ˈɑːɹ
chaarinate|tʃ ˈɑːɹ ɹ ᵻ n ˌeɪ t
chaate|tʃ ˈɑː t
chaawataa|tʃ ˈɑː w ɐ t ˌɑː
chaawatawe|tʃ ˈɑː w ɐ t ˌɔː
chaawate|tʃ ˈɑː w eɪ t
chaawatu|tʃ ɑː w ˈɑː ɾ uː
chaawetu|tʃ ˈɑː w ɪ t ˌuː
chadwick|tʃ ˈæ d w ɪ k
chafachafa|tʃ ˌæ f ɐ tʃ ˈɑː f ə
chaff|tʃ ˈæ f
chaffinch|tʃ ˈæ f ɪ n tʃ
chaffinches|tʃ ˈæ f ɪ n tʃ ᵻ z
chafing|tʃ ˈeɪ f ɪ ŋ
chagres|tʃ ˈæ ɡ ɚ z
chain|tʃ ˈeɪ n
chainlink|tʃ ˈeɪ n l ɪ ŋ k
chains|tʃ ˈeɪ n z
chair|tʃ ˈɛɹ
chairs|tʃ ˈɛɹ z
chaise|ʃ ˈeɪ z
chaka|tʃ ˈɑː k ə
chakana|tʃ æ k ˈɑː n ə
chake|tʃ ˈeɪ k
chakwas|tʃ ˈæ k w ə z
chalama|tʃ æ l ˈɑː m ə
chaldasan|tʃ ˈæ l d æ s ə n
chaldean|tʃ ˈæ l d iə n
chalices|tʃ ˈæ l ɪ s ᵻ z
chalk|tʃ ˈɔː k
challenge|tʃ ˈæ l ɪ n dʒ
chalmers|tʃ ˈæ l m ɚ z
chamara|tʃ æ m ˈɑːɹ ɹ ə
chamare|tʃ ˈæ m ɛɹ
chamber|tʃ ˈeɪ m b ɚ
chambering|tʃ ˈeɪ m b ɚ ɹ ɪ ŋ
chamberlain|tʃ ˈeɪ m b ɚ l ˌɪ n
chamberlains|tʃ ˈeɪ m b ɚ l ˌɪ n z
chambermaid|tʃ ˈeɪ m b ɚ m ˌeɪ d
chambermaids|tʃ ˈeɪ m b ɚ m ˌeɪ d z
chamberpot|tʃ ˈeɪ m b ɚ p ˌɑː t
chambers|tʃ ˈeɪ m b ɚ z
chambord|tʃ ˈeɪ m b oːɹ d
chambre|tʃ ˈeɪ m b ɚ
chamededawe|tʃ ˈeɪ m d ɪ d ˌɔː
chameleons|k ə m ˈiː l iə n z
chameraa|tʃ ˈæ m ɚ ɹ ˌɑː
chamerawe|tʃ ˈæ m ɚ ɹ ˌɔː
chamere|tʃ ˈæ m ɪɹ
chamero|tʃ æ m ˈɛ ɹ oʊ
champagne's|ʃ æ m p ˈeɪ n z
champaradise|tʃ ˈæ m p ɐ ɹ ˌæ d aɪ z
champion|tʃ ˈæ m p iə n
chanaqaa|tʃ ˈæ n ɐ k ˌɑː
chance|tʃ ˈæ n s
chance'|tʃ ˈæ n s
chancel|tʃ ˈæ n s əl
chancellor|tʃ ˈæ n s ɛ l ɚ
chancellorsville|tʃ ˈæ n s ɪ l ɚ z v ˌɪ l
chances|tʃ ˈæ n s ᵻ z
chancing|tʃ ˈæ n s ɪ ŋ
chandler|tʃ ˈæ n d l ɚ
chandlers|tʃ ˈæ n d l ɚ z
chanel's|ʃ ɐ n ˈɛ l z
change|tʃ ˈeɪ n dʒ
changed|tʃ ˈeɪ n dʒ d
changeful|tʃ ˈeɪ n dʒ f əl
changeless|tʃ ˈeɪ n dʒ l ə s
changeling|tʃ ˈeɪ n dʒ l ɪ ŋ
changelings|tʃ ˈeɪ n dʒ l ɪ ŋ z
changer|tʃ ˈeɪ n dʒ ɚ
changes'll|tʃ ˈeɪ n dʒ ᵻ z əl
changeth|tʃ ˈeɪ n dʒ ə θ
changin|tʃ ˈæ ŋ ɡ ɪ n
changin'|tʃ ˈæ ŋ ɡ ɪ n
changing|tʃ ˈeɪ n dʒ ɪ ŋ
changyan's|tʃ ˈæ ŋ ɪ  ə n z
channel|tʃ ˈæ n əl
channelling|tʃ ˈæ n ə l ɪ ŋ
channitte|tʃ ˈæ n ɪ t
chant|tʃ ˈæ n t
chanteth|tʃ ˈæ n t ə θ
chantry|tʃ ˈæ n t ɹ i
chaos|k ˈeɪ ɑː s
chaotically|k eɪ ˈɑː ɾ ɪ k l i
chap|tʃ ˈæ p
chap's|tʃ ˈæ p s
chapel|tʃ ˈæ p əl
chapelmen|tʃ ˈeɪ p l m ɛ n
chapels|tʃ ˈæ p əl z
chaperon|ʃ ˈæ p ɚ ɹ ˌoʊ n
chaperoned|ʃ ˈæ p ɚ ɹ ˌoʊ n d
chaplain's|tʃ ˈæ p l ɪ n z
chaplet|tʃ ˈæ p l ɪ t
chaplets|tʃ ˈæ p l ɪ t s
chapmen|tʃ ˈæ p m ɛ n
chappelle's|tʃ æ p ˈɛ l z
chapter|tʃ ˈæ p t ɚ
chapter's|tʃ ˈæ p t ɚ z
chapterhouse|tʃ ˈæ p t ɚ h ˌaʊ s
chapterhouses|tʃ ˈæ p t ɚ h ˌaʊ z ᵻ z
chaqwaanye|tʃ ˈæ k w ɑː n ˌaɪ
character|k ˈæ ɹ ɪ k t ɚ
charactered|k ˈæ ɹ ɪ k t ɚ d
characterless|k ˈæ ɹ ɪ k t ɚ l ə s
charade|ʃ ɚ ɹ ˈeɪ d
charae|tʃ ˈæ ɹ iː
charaseku|tʃ ˈæ ɹ ə s k ˌuː
charasu|tʃ æ ɹ ˈɑː s uː
charataa|tʃ ˈæ ɹ ɐ t ˌɑː
charataawe|tʃ ˈæ ɹ ɐ t ˌɑː w
charcoal|tʃ ˈɑːɹ k oʊ l
charcoal's|tʃ ˈɑːɹ k oʊ l z
charesa|tʃ ˈɛɹ s ə
charesaa|tʃ ˈɛɹ s ɑː
charesawe|tʃ ˈɛɹ s ɔː
chareso|tʃ ˈɛɹ s oʊ
charge|tʃ ˈɑːɹ dʒ
charged|tʃ ˈɑːɹ dʒ d
charger's|tʃ ˈɑːɹ dʒ ɚ z
charges|tʃ ˈɑːɹ dʒ ᵻ z
charing|tʃ ˈɛ ɹ ɪ ŋ
chariot|tʃ ˈæ ɹ iə t
charioteer|tʃ ˌæ ɹ iə t ˈɪɹ
charioteers|tʃ ˌæ ɹ iə t ˈɪɹ z
charitable|tʃ ˈæ ɹ ɪ ɾ ə b əl
charitableness|tʃ ˈæ ɹ ɪ ɾ ə b əl n ə s
charity|tʃ ˈæ ɹ ᵻ ɾ i
charityless|tʃ ˈæ ɹ ᵻ ɾ i l ə s
charlatan|ʃ ˈɑːɹ l ə t ə n
charles|tʃ ˈɑːɹ l z
charles'|tʃ ˈɑːɹ l z
charlotte|ʃ ˈɑːɹ l ə t
charm|tʃ ˈɑːɹ m
charm's|tʃ ˈɑːɹ m z
charmer|tʃ ˈɑːɹ m ɚ
charmin'|tʃ ˈɑːɹ m ɪ n
charming|tʃ ˈɑːɹ m ɪ ŋ
charms|tʃ ˈɑːɹ m z
charnel|tʃ ˈɑːɹ n əl
charny|tʃ ˈɑːɹ n i
charta|tʃ ˈɑːɹ ɾ ə
charter|tʃ ˈɑːɹ ɾ ɚ
chasin'|tʃ ˈæ s ɪ n
chasings|tʃ ˈeɪ s ɪ ŋ z
chaskey|tʃ ˈæ s k i
chasms|k ˈæ z ə m z
chastening|tʃ ˈeɪ s ə n ɪ ŋ
chastest|tʃ ˈæ s t ɪ s t
chastised|tʃ ˈæ s t aɪ z d
chastisement|tʃ ˈæ s t aɪ z m ə n t
chastisements|tʃ ˈæ s t aɪ z m ə n t s
chat|tʃ ˈæ t
chatika|tʃ ˈæ ɾ ɪ k ə
chattel|tʃ ˈæ ɾ əl
chattels|tʃ ˈæ ɾ əl z
chatterbots|tʃ ˈæ ɾ ɚ b ˌɑː t s
chatterbox|tʃ ˈæ ɾ ɚ b ˌɑː k s
chattered|tʃ ˈæ ɾ ɚ d
chattering|tʃ ˈæ ɾ ɚ ɹ ɪ ŋ
chatters|tʃ ˈæ ɾ ɚ z
chattin'|tʃ ˈæ t ɪ n
chaurus|tʃ ˈɔː ɹ ə s
chaw|tʃ ˈɔː
chawaanate|tʃ ˈæ w ɑː n ˌeɪ t
chawaataa|tʃ ˈæ w ɑː t ˌɑː
chawaataawe|tʃ ˈæ w ɑː t ˌɑː w
chawaataawoce|tʃ ˈæ w ɑː t ˌɑː w oʊ s
chawe|tʃ ˈɔː
cheap|tʃ ˈiː p
cheaping|tʃ ˈiː p ɪ ŋ
cheapside|tʃ ˈiː p s aɪ d
cheatin'|tʃ ˈiː t ɪ n
chebara|tʃ ɛ b ˈɑːɹ ɹ ə
check|tʃ ˈɛ k
checked|tʃ ˈɛ k t
checkerberry|tʃ ˈɛ k ɚ b ˌɛ ɹ i
checkin|tʃ ˈɛ k ɪ n
checkin'|tʃ ˈɛ k ɪ n
checkmate|tʃ ˈɛ k m eɪ t
checksum|tʃ ˈɛ k s ə m
check…|tʃ ˈɛ k
cheek|tʃ ˈiː k
cheeked|tʃ ˈiː k t
cheeklet|tʃ ˈiː k l ɪ t
cheeks|tʃ ˈiː k s
cheeped|tʃ ˈiː p t
cheer|tʃ ˈɪɹ
cheerful|tʃ ˈɪɹ f əl
cheerily|tʃ ˈɪ ɹ i l i
cheeriness|tʃ ˈɪ ɹ i n ə s
cheering|tʃ ˈɪ ɹ ɪ ŋ
cheerless|tʃ ˈɪɹ l ə s
cheers|tʃ ˈɪɹ z
cheese|tʃ ˈiː z
cheesecakes|tʃ ˈiː z k eɪ k s
cheeseman|tʃ ˈiː z m ə n
chefaraa|ʃ ˈɛ f ɐ ɹ ˌɑː
chefin|ʃ ˈɛ f ɪ n
chelamaa|tʃ ˈɛ l ɐ m ˌɑː
cheltenham|tʃ ˈɛ l t ə n ˌæ m
chelteux|tʃ ˈɛ l t j uː
chem|k ˈɛ m
chemaaqi|k ˈɛ m ɑː k i
chemaari|k ɛ m ˈɑːɹ ɹ i
chemaariwe|k ɛ m ˈɑːɹ ɹ ɪ w
chemere|k ˈɛ m ɪɹ
chemical|k ˈɛ m ɪ k əl
chemise|ʃ ə m ˈiː z
chemist's|k ˈɛ m ɪ s t s
chems|k ˈɛ m z
cheneqate|tʃ ˈɛ n ɪ k ˌeɪ t
cheneqelaataacawe|tʃ ˈɛ n ɪ k ˌɛ l ɑː t ˌɑː k ɔː
cheneqelaate|tʃ ˈɛ n ɪ k ˌɛ l ɑː t
cheqecheqe|tʃ ˈɛ k ɪ tʃ ˌɛ k
cheqonaa|tʃ ˈɛ k ə n ˌɑː
cheque|tʃ ˈɛ k
chequered|tʃ ˈɛ k ɚ d
cheraa|tʃ ˈɛ ɹ ɑː
cherish|tʃ ˈɛ ɹ ɪ ʃ
cherished|tʃ ˈɛ ɹ ɪ ʃ t
cherishing|tʃ ˈɛ ɹ ɪ ʃ ɪ ŋ
cherry|tʃ ˈɛ ɹ i
chertsk|tʃ ˈɜː t s k
cherubim|tʃ ˈɛ ɹ uː b ɪ m
chesham|tʃ ˈɛ ʃ æ m
cheshunt|tʃ ˈɛ ʃ ʌ n t
chess|tʃ ˈɛ s
chessmen|tʃ ˈɛ s m ɛ n
chest|tʃ ˈɛ s t
chested|tʃ ˈɛ s t ᵻ d
chestnut|tʃ ˈɛ s t n ʌ t
chestnutting|tʃ ˈɛ s t n ʌ ɾ ɪ ŋ
chests|tʃ ˈɛ s t s
chevache|ʃ ˈɛ v æ ʃ
chevachet|ʃ ˈɛ v æ ʃ ɪ t
cheval|ʃ ˈɛ v əl
chevalier|ʃ ˌɛ v ɐ l ˈɪɹ
chevaliers|ʃ ˌɛ v ɐ l ˈɪɹ z
chevaux|ʃ ˈɛ v ɔː k s
cheveche|ʃ ˈɛ v ɛ tʃ
