aa|ˈa a
coufortnshidietribulasions|k ɔ ʊ f ɔ r t n s h ɪ d ɪ  ɛ t  r ɪ b ʊ l ˈa s ɪ  ɔ n s
couforttimbonb|k ɔ ʊ f ɔ r tː ˈɪ m b ɔ n b
coufotareiituret|k ɔ ʊ f ɔ t a r ɛ j j ˈɪ t ʊ r ɛ t
coufusioneeta|k ɔ ʊ f ʊ s ɪ  ɔ n ˈɛ ɛ t a
couic|k ˈɔ w ɪ k
coum|k ˈɔ ʊ m
coumstituis|k ɔ ʊ m s t ˈɪ t ʊ ɪ s
coumtisdia|k ɔ ʊ m t ˈɪ s d ɪ  a
counmb|k ˈɔ ʊ n m b
couopatsifqus|k ɔ w ɔ p ˈa t s ɪ f k w s
coupasus|k ɔ ˈʊ p a s ʊ s 
coupeibus|k ɔ ʊ p ˈɛ ɪ b ʊ s
coupletooprede|k ɔ ʊ p l ɛ t ɔ ˈɔ p  r ɛ d ɛ
coupus|k ˈɔ ʊ p ʊ s
cous|k ˈɔ ʊ s
couscatnntuma|k ɔ ʊ s k ˈa t n n t ʊ m a
cousedatur|k ɔ ʊ s ˈɛ d a t ʊ r
cousesritutegrediaturd|k ɔ ʊ s ɛ s  r ɪ t ʊ t ɛ ɡ  r ɛ d ˈɪ  a t ʊ r d
cousi|k ˈɔ ʊ s ɪ
cousideatsion|k ɔ ʊ s ɪ d ɛ ˈa t s ɪ  ɔ n
cousladsonmp|k ɔ ʊ s l ˈa d s ɔ n m p 
couslassionscobertmur|k ɔ ʊ s l a s s ɪ  ɔ n s k ɔ b ˈɛ r t m ʊ r 
couslationibus|k ɔ ʊ s l a t ɪ  ˈɔ n ɪ b ʊ s
couslatsion|k ɔ ʊ s l ˈa t s ɪ  ɔ n
cousoladsionmet|k ɔ ʊ s ɔ l a d s ɪ  ˈɔ n m ɛ t
cousolar|k ɔ ˈʊ s ɔ l a r
cousolasidamnatis|k ɔ ʊ s ɔ l a s ɪ d ˈa m n a t ɪ s
cousolatsionis|k ɔ ʊ s ɔ l a t s ˈɪ  ɔ n ɪ s 
cousouadmrequiram|k ɔ ʊ s ɔ w a d m  r ˈɛ k w ɪ r a m
coussistitaprofectuset|k ɔ ʊ s s ɪ s t ɪ t a p  r ɔ f ˈɛ k t ʊ s ɛ t
coustadutquequa|k ɔ ʊ s t a d ˈʊ t k w ɛ k w a 
coustit|k ɔ ˈʊ s t ɪ t
coustituimus|k ɔ ʊ s t ɪ t ˈʊ ɪ m ʊ s
cousuetu|k ɔ ʊ s ˈʊ ɛ t ʊ 
cout|k ˈɔ ʊ t
coutariaimpatiinsiam|k ɔ ʊ t a r ɪ  a ɪ m p a t ɪ ʔ ˈɪ n s ɪ  a m
coutemtibilepprospesialdon|k ɔ ʊ t ɛ m t ɪ b ɪ l ɛ pː  r ɔ s p ɛ s ɪ  ˈa l d ɔ n
coutentaridebtet|k ɔ ʊ t ɛ n t a r ɪ d ˈɛ b t ɛ t
coutrabanmetasacqul|k ɔ ʊ t  r a b a n m ɛ t ˈa s a k k w l
coxsa|k ˈɔ k s s a 
coxsantissmomsa|k ɔ k s s a n t ɪ s s m ˈɔ m s a
coxsecuelom|k ɔ k s s ɛ k ˈʊ ɛ l ɔ m
coxserit|k ˈɔ k s s ɛ r ɪ t
coxsustiner|k ɔ k s s ˈʊ s t ɪ n ɛ r
cper|k p ˈɛ r
cpetlmqiqa|k ˈeː  p ˈeː  ɛ  t ˈeː  ˈɛ l  ˈɛ m  k w ˈuː  ˈiː  k w ˈuː  a 
cpetolmabis|k p ɛ t ˈɔ l m a b ɪ s 
cpieldas|k p ɪ  ˈɛ l d a s
cpitlma|k p ˈɪ t l m a
cpitlmdes|k p ˈɪ t l m d ɛ s
cpitlmh|k p ˈɪ t l m h
cpitlmrdube|k p ˈɪ t l m  r d ʊ b ɛ
cpitlmtriesmumquartug|k p ɪ t l m t  r ɪ  ɛ s m ʊ m k w ˈa r t ʊ ɡ
cpitlubisesmmuquartu|k p ɪ t l ʊ b ɪ s ɛ s m m ʊ k w ˈa r t ʊ
cpitlum|k p ˈɪ t l ʊ m
cpitlumdes|k p ɪ t l ˈʊ m d ɛ s
cpitlumdesmuquintum|k p ɪ t l ʊ m d ɛ s m ʊ k w ˈɪ n t ʊ m
cpitlumphoctabu|k p ɪ t l ʊ m pʰ ˈɔ k t a b ʊ
cpitlumprimu|k p ɪ t l ˈʊ m p  r ɪ m ʊ
cpitlumqa|k ˈeː  p ˈeː  ˈiː  t ˈeː  ˈɛ l  ˈuː  ˈɛ m  k w ˈuː  a
cpitlumqu|k p ˈɪ t l ʊ m k w
cpitluqiqa|k ˈeː  p ˈeː  ˈiː  t ˈeː  ˈɛ l  ˈuː  k w ˈuː  ˈiː  k w ˈuː  a
cpitluquartum|k p ɪ t l ʊ k w ˈa r t ʊ m
cpitolom|k p ˈɪ t ɔ l ɔ m
cpitolumsetmu|k p ɪ t ɔ l ʊ m s ˈɛ t m ʊ
cpitruiesmuprim|k p ɪ t  r ʊ j j ˈɛ s m ʊ p  r ɪ m
cpitrum|k p ˈɪ t  r ʊ m
cptura|k p t ˈʊ r a
cpusibiledur|k p ʊ s ɪ b ˈɪ l ɛ d ʊ r
cqofrmatissequitatuipiratu|k ˈeː  k w ˈuː  ˈoː  ˈɛ f  ˈɛ ɹ  ˈɛ m  a  t ˈeː  ˈiː  ˈɛ s  ˈɛ s  ɛ  k w ˈuː  ˈuː  ˈiː  t ˈeː  a  t ˈeː  ˈuː  ˈiː  p ˈeː  ˈiː  ˈɛ ɹ  a  t ˈeː  ˈuː
cqonsfirmata|k ˈeː  k w ˈuː  ˈoː  ˈɛ n  ˈɛ s  ˈɛ f  ˈiː  ˈɛ ɹ  ˈɛ m  a  t ˈeː  a
cqpre|k ˈeː  k w ˈuː  p ˈeː  ˈɛ ɹ  ɛ
cqu|k k w
cquaeritur|k k w ˈaɪ r ɪ t ʊ r
cquaesita|k k w ˈaɪ s ɪ t a
cqueaeminusut|k k w ɛ aɪ m ˈɪ n ʊ s ʊ t 
cquetibus|k k w ˈɛ t ɪ b ʊ s
cquidem|k k w ˈɪ d ɛ m
cquiose|k k w ˈɪ  ɔ s ɛ
cquom|k k w ˈɔ m
cra|k  r ˈa 
crab|k  r ˈa b
cram|k  r ˈa m
cramatailusupublicuos|k  r a m a t a ɪ l ʊ s ʊ p ʊ b l ˈɪ k ʊ ɔ s
cramenti|k  r a m ˈɛ n t ɪ
cramentu|k  r a m ˈɛ n t ʊ
cramentum|k  r a m ˈɛ n t ʊ m 
cramentums|k  r a m ˈɛ n t ʊ m s
craminti|k  r a m ˈɪ n t ɪ
crapula|k  r ˈa p ʊ l a
cras|k  r ˈa s
crasapositan|k  r a s a p ˈɔ s ɪ t a n
crascotariaeposut|k  r a s k ɔ t a r ɪ  ˈaɪ p ɔ s ʊ t
crasnoumcompare|k  r a s n ɔ ʊ m k ˈɔ m p a r ɛ
crasnumcompare|k  r a s n ʊ m k ˈɔ m p a r ɛ
crassuciertiur|k  r a s s ʊ k ɪ  ˈɛ r t ɪ  ʊ r
crassussumsu|k  r a s s ʊ s s ˈʊ m s ʊ
crasus|k  r ˈa s ʊ s
crasussequitumpaeffectus|k  r a s ʊ s s ɛ k w ɪ t ʊ m p aɪ f f ˈɛ k t ʊ s
crea|k  r ˈɛ a
creabies|k  r ɛ ˈa b ɪ  ɛ s 
creapt|k  r ˈɛ a p t
creare|k  r ˈɛ a r ɛ
creastiprestsut|k  r ɛ a s t ɪ p  r ˈɛ s t s ʊ t 
creata|k  r ˈɛ a t a
creataquiesr|k  r ɛ a t ˈa k w ɪ  ɛ s  r
creatatralsendes|k  r ɛ a t a t  r a l s ˈɛ n d ɛ s
createet|k  r ɛ ˈa t ɛ ɛ t 
creatisrebusa|k  r ɛ a t ɪ s  r ˈɛ b ʊ s a
creatore|k  r ɛ ˈa t ɔ r ɛ
creatorede|k  r ɛ a t ˈɔ r ɛ d ɛ
creatoriomniudeoc|k  r ɛ a t ɔ r ɪ  ɔ m n ɪ  ˈʊ d ɛ ɔ k
creatormeus|k  r ɛ a t ˈɔ r m ɛʊ s
creatsimu|k  r ɛ ˈa t s ɪ m ʊ 
creatuisad|k  r ɛ a t ˈʊ ɪ s a d
creatunis|k  r ɛ ˈa t ʊ n ɪ s
creatur|k  r ˈɛ a t ʊ r
creatura|k  r ɛ ˈa t ʊ r a
creaturadelectari|k  r ɛ a t ʊ r a d ɛ l ˈɛ k t a r ɪ
creature|k  r ɛ ˈa t ʊ r ɛ
creatureincos|k  r ɛ a t ʊ r ɛ ˈɪ ŋ k ɔ s
creaturepedir|k  r ɛ a t ʊ r ˈɛ p ɛ d ɪ r
creaturin|k  r ɛ ˈa t ʊ r ɪ n
creaturis|k  r ɛ ˈa t ʊ r ɪ s
creaturisemilssimlea|k  r ɛ a t ʊ r ɪ s ɛ m ɪ l s s ˈɪ m l ɛ a 
creaturisurit|k  r ɛ a t ʊ r ˈɪ s ʊ r ɪ t
creaturm|k  r ˈɛ a t ʊ r m
creaturmtransendatt|k  r ɛ a t ʊ r m t  r a n s ˈɛ n d a tː
creaturposit|k  r ɛ a t ˈʊ r p ɔ s ɪ t
creberenter|k  r ɛ b ɛ r ˈɛ n t ɛ r
creberinsia|k  r ɛ b ɛ r ˈɪ n s ɪ  a
credamusanosaminus|k  r ɛ d a m ʊ s a n ɔ s ˈa m ɪ n ʊ s
credamushesseapresen|k  r ɛ d a m ʊ s h ɛ s s ɛ ˈa p  r ɛ s ɛ n
creddi|k  r ˈɛ dː ɪ
credede|k  r ˈɛ d ɛ d ɛ
credendum|k  r ɛ d ˈɛ n d ʊ m
credere|k  r ˈɛ d ɛ r ɛ
credereexpeimetos|k  r ɛ d ɛ r ɛ ɛ k s p ɛ ˈɪ m ɛ t ɔ s
credis|k  r ˈɛ d ɪ s 
credlidusbussermonbus|k  r ɛ d l ɪ d ʊ s b ʊ s s ɛ r m ˈɔ n b ʊ s 
credmus|k  r ˈɛ d m ʊ s
credmusamoncispersigos|k  r ɛ d m ʊ s a m ɔ ŋ k ɪ s p ˈɛ r s ɪ ɡ ɔ s 
credoeninbos|k  r ɛ d ɔɪ n ˈɪ n b ɔ s
credoque|k  r ˈɛ d ɔ k w ɛ
credr|k  r ˈɛ d  r
credreboluterit|k  r ɛ d  r ɛ b ɔ l ˈʊ t ɛ r ɪ t
credredebessbitanquam|k  r ɛ d  r ɛ d ɛ b ɛ s s b ɪ t ˈa ŋ k w a m 
credt|k  r ˈɛ d t 
credtumet|k  r ˈɛ d t ʊ m ɛ t
crefideit|k  r ɛ f ˈɪ d ɛ ɪ t
crefisutrsexta|k  r ɛ f ɪ s ʊ t  r s ˈɛ k s t a 
creisti|k  r ɛ ˈɪ s t ɪ
creistos|k  r ɛ ˈɪ s t ɔ s
creistue|k  r ɛ ˈɪ s t ʊ ɛ 
creistusof|k  r ɛ ˈɪ s t ʊ s ɔ f
crepraesensie|k  r ɛ p  r aɪ s ˈɛ n s ɪ  ɛ
crescat|k  r ˈɛ s k a t
cresre|k  r ˈɛ s  r ɛ
crest|k  r ˈɛ s t 
crestifideles|k  r ɛ s t ɪ f ˈɪ d ɛ l ɛ s
crestis|k  r ˈɛ s t ɪ s
crestmisterimapassinemque|k  r ɛ s t m ɪ s t ɛ r ɪ m a p a s s ɪ n ˈɛ m k w ɛ 
cresto|k  r ˈɛ s t ɔ
cresus|k  r ˈɛ s ʊ s
cretesut|k  r ˈɛ t ɛ s ʊ t
cretioneegarserit|k  r ɛ t ɪ  ɔ n ɛ ɛ ɡ ˈa r s ɛ r ɪ t 
cretionis|k  r ɛ t ˈɪ  ɔ n ɪ s
creto|k  r ˈɛ t ɔ
cretoruseregat|k  r ɛ t ɔ r ʊ s ˈɛ r ɛ ɡ a t 
cretur|k  r ˈɛ t ʊ r
cretura|k  r ˈɛ t ʊ r a
cribsmusutaeamahob|k  r ɪ b s m ʊ s ʊ t aɪ ˈa m a h ɔ b
cribut|k  r ˈɪ b ʊ t
crifisia|k  r ɪ f ˈɪ s ɪ  a
crifisiormcoupletibad|k  r ɪ f ɪ s ɪ  ɔ r m k ɔ ʊ p l ˈɛ t ɪ b a d
crimaru|k  r ˈɪ m a r ʊ
crimarum|k  r ˈɪ m a r ʊ m
crimen|k  r ˈɪ m ɛ n
crimisbelemtu|k  r ɪ m ɪ s b ɛ l ˈɛ m t ʊ
crimisditesoncordis|k  r ɪ m ɪ s d ɪ t ɛ s ɔ ŋ k ˈɔ r d ɪ s
cripta|k  r ˈɪ p t a
criptu|k  r ˈɪ p t ʊ 
criste|k  r ˈɪ s t ɛ
cristi|k  r ˈɪ s t ɪ 
cristian|k  r ˈɪ s t ɪ  a n
cristicobpus|k  r ɪ s t ɪ k ˈɔ b p ʊ s
cristicos|k  r ˈɪ s t ɪ k ɔ s 
cristilocusione|k  r ɪ s t ɪ l ɔ k ʊ s ˈɪ  ɔ n ɛ
cristiomnes|k  r ɪ s t ɪ  ˈɔ m n ɛ s
cristiperpasiesampartsipemuss|k  r ɪ s t ɪ p ɛ r p a s ɪ  ɛ s a m p a r t s ˈɪ p ɛ m ʊ s s
cristiti|k  r ˈɪ s t ɪ t ɪ
cristiunionemis|k  r ɪ s t ɪ  ʊ n ɪ  ˈɔ n ɛ m ɪ s
cristo|k  r ˈɪ s t ɔ 
cristocarishegistimatproptermetmdeenebedlori|k  r ɪ s t ɔ k a r ɪ s h ɛ ɡ ɪ s t ɪ m a t p  r ɔ p t ɛ r m ɛ t m d ɛ ɛ n ɛ b ˈɛ d l ɔ r ɪ 
cristu|k  r ˈɪ s t ʊ
cristus|k  r ˈɪ s t ʊ s 
critum|k  r ˈɪ t ʊ m
crmarumtnoshe|k  r m a r ʊ m t n ˈɔ s h ɛ
crmintu|k  r m ˈɪ n t ʊ
crom|k  r ˈɔ m
crptuaru|k ˈeː r p t ˈʊ a r ʊ
cruciatus|k  r ʊ k ˈɪ  a t ʊ s
crudelitatesexerceretantiocuss|k  r ʊ d ɛ l ɪ t a t ɛ s ɛ k s ɛ r k ɛ r ɛ t a n t ˈɪ  ɔ k ʊ s s
cruderitatis|k  r ʊ d ɛ r ˈɪ t a t ɪ s
crusb|k  r ˈʊ s b
crusbus|k  r ˈʊ s b ʊ s
cruse|k  r ˈʊ s ɛ
crusem|k  r ˈʊ s ɛ m
crusemportaboet|k  r ʊ s ɛ m p ˈɔ r t a b ɔɪ t 
crusifisit|k  r ʊ s ˈɪ f ɪ s ɪ t
crusifixus|k  r ʊ s ɪ f ˈɪ k s ʊ s
crusis|k  r ˈʊ s ɪ s
crusiss|k  r ˈʊ s ɪ s s
crusmportare|k  r ʊ s m p ˈɔ r t a r ɛ
cruss|k  r ˈʊ s s
crussesecuutur|k  r ʊ s s ɛ s ɛ k ˈʊ ʊ t ʊ r
crutabilir|k  r ʊ t ˈa b ɪ l ɪ r
crutaus|k  r ˈʊ t aʊ s
cruxfuitet|k  r ʊ k s f ˈʊ ɪ t ɛ t
cscripsrattet|k ˈeː s k  r ɪ p s  r ˈa tː ɛ t
csertm|k s ˈɛ r t m
csiiaquaegencatrsceranturostibus|k s ɪ ʔ j j a k w aɪ ɡ ɛ ŋ k a t  r s k ɛ r a n t ʊ r ˈɔ s t ɪ b ʊ s
ct|k ˌeː t ˈeː
ctansiumsede|k t a n s ɪ  ˈʊ m s ɛ d ɛ
ctaons|k t ˈa ɔ n s
ctarinolebat|k t a r ɪ n ˈɔ l ɛ b a t
ctatobracopraeobtarentsqut|k t a t ɔ b  r a k ɔ p  r aɪ ɔ b t ˈa r ɛ n t s k w t
ctatsionb|k t ˈa t s ɪ  ɔ n b 
cteperet|k t ˈɛ p ɛ r ɛ t
ctgaiapparbopetr|k t ɡ a j j a pː ˈa r b ɔ p ɛ t  r
ctibeaeiesucristi|k t ɪ b ɛ aɪ j j ɛ s ʊ k  r ˈɪ s t ɪ
ctissmespaousei|k t ɪ s s m ɛ s p a ɔ ˈʊ s ɛ ɪ 
ctotestatmfumiliaresusque|k t ɔ t ɛ s t a t m f ʊ m ɪ l ɪ  a r ɛ s ˈʊ s k w ɛ
ctrarietatbus|k t  r a r ɪ  ɛ t ˈa t b ʊ s
ctrixsfilosoffia|k t  r ɪ k s s f ɪ l ɔ s ˈɔ f f ɪ  a
ctum|k t ˈʊ m 
cture|k t ˈʊ r ɛ 
cturisasantisque|k t ʊ r ɪ s a s a n t ˈɪ s k w ɛ 
cu|k ˈʊ
cuaeest|k ʊ ˈaɪ ɛ s t
cuaemudus|k ʊ ˈaɪ m ʊ d ʊ s
cualifasi|k ʊ a l ˈɪ f a s ɪ
cualis|k ˈʊ a l ɪ s
cub|k ˈʊ b
cuberole|k ʊ b ˈɛ r ɔ l ɛ
cubersare|k ʊ b ˈɛ r s a r ɛ
cubersatsion|k ʊ b ɛ r s ˈa t s ɪ  ɔ n
cubersenit|k ʊ b ˈɛ r s ɛ n ɪ t
cubetibos|k ʊ b ˈɛ t ɪ b ɔ s
cubilet|k ˈʊ b ɪ l ɛ t
cubiliatoetitrumabasiubeat|k ʊ b ɪ l ɪ  a t ɔɪ t ɪ t  r ʊ m a b a s ɪ  ˈʊ b ɛ a t
cuboluris|k ʊ b ˈɔ l ʊ r ɪ s
cubonishet|k ʊ b ɔ n ˈɪ s h ɛ t
cubuen|k ˈʊ b ʊ ɛ n
cuc|k ˈʊ k
cucadmereder|k ʊ k a d m ˈɛ r ɛ d ɛ r
cucolatunic|k ʊ k ɔ l ˈa t ʊ n ɪ k
cucoque|k ˈʊ k ɔ k w ɛ
cucristoesse|k ʊ k  r ɪ s t ˈɔɪ s s ɛ
cuctisscibibus|k ʊ k t ɪ s s k ˈɪ b ɪ b ʊ s
cucula|k ˈʊ k ʊ l a
cuculam|k ˈʊ k ʊ l a m
cucuritaddirgnenfidendea|k ʊ k ʊ r ɪ t a dː ɪ r ŋ n ɛ n f ɪ d ˈɛ n d ɛ a
cude|k ˈʊ d ɛ
cudelisima|k ʊ d ɛ l ˈɪ s ɪ m a
cudeliss|k ˈʊ d ɛ l ɪ s s
cudelissimiregiss|k ʊ d ɛ l ɪ s s ɪ m ˈɪ r ɛ ɡ ɪ s s
cudiciu|k ʊ d ˈɪ k ɪ  ʊ
cudistitimetbuste|k ʊ d ɪ s t ɪ t ɪ m ɛ t b ˈʊ s t ɛ
cudm|k ˈʊ d m
cudontt|k ˈʊ d ɔ n tː
cudum|k ˈʊ d ʊ m
cudumdomininostipraes|k ʊ d ʊ m d ɔ m ɪ n ɪ n ˈɔ s t ɪ p  r aɪ s 
cudus|k ˈʊ d ʊ s
cudusparspriorn|k ʊ d ʊ s p ˈa r s p  r ɪ  ɔ r n
cue|k ˈʊ ɛ
cueis|k ˈʊ ɛ ɪ s
cuenisitibi|k ʊ ɛ n ɪ s ˈɪ t ɪ b ɪ
cueranciudeeglori|k ʊ ɛ r a ŋ k ɪ  ʊ d ɛ ˈɛ ɡ l ɔ r ɪ
cueris|k ˈʊ ɛ r ɪ s
cueritqui|k ʊ ɛ r ˈɪ t k w ɪ
cuffuer|k ˈʊ f f ʊ ɛ r 
cufidiensia|k ʊ f ɪ d ɪ  ˈɛ n s ɪ  a
cufitendidi|k ʊ f ɪ t ˈɛ n d ɪ d ɪ
cufitendoret|k ʊ f ɪ t ˈɛ n d ɔ r ɛ t
cufiteo|k ʊ f ˈɪ t ɛ ɔ
cufiterispecatatu|k ʊ f ɪ t ɛ r ɪ s p ɛ k ˈa t a t ʊ
cufomtetapte|k ʊ f ɔ m t ɛ t ˈa p t ɛ 
cuformiu|k ʊ f ˈɔ r m ɪ  ʊ
cufusiocoperuit|k ʊ f ʊ s ɪ  ɔ k ɔ p ˈɛ r ʊ ɪ t
cui|k ˈʊ ɪ 
cuia|k ˈʊ j j a
cuiaaducanonesper|k ʊ j j a a d ʊ k a n ɔ n ˈɛ s p ɛ r
cuidut|k ˈʊ ɪ d ʊ t
cuie|k ˈʊ j j ɛ
cuigsapiut|k ʊ ɪ ɡ s ˈa p ɪ  ʊ t
cuimanfest|k ʊ ɪ m ˈa n f ɛ s t
cuimponamus|k ʊ ɪ m p ˈɔ n a m ʊ s
cuiomnia|k ʊ j j ˈɔ m n ɪ  a
cuiorm|k ˈʊ j j ɔ r m
cuis|k ˈʊ ɪ s
cuisiet|k ʊ ˈɪ s ɪ  ɛ t
cuisse|k ʊ ˈɪ s s ɛ
cuisubast|k ʊ ˈɪ s ʊ b a s t
cuisubiudendus|k ʊ ɪ s ʊ b ɪ  ʊ d ˈɛ n d ʊ s
cuit|k ˈʊ ɪ t
cuitus|k ˈʊ ɪ t ʊ s
cuius|k ˈʊ j j ʊ s
cuiusa|k ˈʊ j j ʊ s a
cuiusaetpulcrn|k ʊ j j ʊ s ˈaɪ t p ʊ l k  r n
cuiuscumque|k ʊ j j ʊ s k ˈʊ m k w ɛ
cuiuslibet|k ʊ j j ˈʊ s l ɪ b ɛ t
cul|k ˈʊ l
cularepotestbelgrabar|k ʊ l a r ɛ p ɔ t ɛ s t b ˈɛ l ɡ  r a b a r
culiareradistus|k ʊ l ɪ  a r ɛ r a d ˈɪ s t ʊ s
culiore|k ʊ l ˈɪ  ɔ r ɛ
culpenoxatenetu|k ʊ l p ɛ n ɔ k s a t ˈɛ n ɛ t ʊ
culpis|k ˈʊ l p ɪ s
culs|k ˈʊ l s
culumf|k ˈʊ l ʊ m f
culumpatris|k ʊ l ˈʊ m p a t  r ɪ s
culus|k ˈʊ l ʊ s
culuslibetaetatis|k ʊ l ʊ s l ɪ b ɛ t ˈaɪ t a t ɪ s
cum|k ˈʊ m
cuma|k ˈʊ m a
cumabamicodere|k ʊ m a b a m ɪ k ˈɔ d ɛ r ɛ
cumacabemus|k ʊ m a k ˈa b ɛ m ʊ s
cumaccinat|k ʊ m ˈa kː ɪ n a t
cumad|k ˈʊ m a d
cumadedtalem|k ʊ m a d ˈɛ d t a l ɛ m
cumanm|k ˈʊ m a n m
cumanmaaparensi|k ʊ m a n m a a p a r ˈɛ n s ɪ
cumanmmodum|k ʊ m ˈa n m m ɔ d ʊ m
cumanommis|k ʊ m a n ˈɔ m m ɪ s
cumantifndcatur|k ʊ m a n t ˈɪ f n d k a t ʊ r
cumanum|k ˈʊ m a n ʊ m 
cumaquitqueidput|k ʊ m a k w ɪ t k w ɛ ˈɪ d p ʊ t
cumaspiitualisedesidericaudu|k ʊ m a s p ɪ ʔ ɪ t ʊ a l ɪ s ɛ d ɛ s ɪ d ɛ r ɪ k ˈaʊ d ʊ
cumb|k ˈʊ m b
cumbono|k ˈʊ m b ɔ n ɔ
cumbtorm|k ˈʊ m b t ɔ r m
cumcaesaepiuinisset|k ʊ m k aɪ s aɪ p ɪ w ɪ n ˈɪ s s ɛ t
cumcaritat|k ʊ m k ˈa r ɪ t a t
cumcresto|k ʊ m k  r ˈɛ s t ɔ
cumcrestub|k ʊ m k  r ˈɛ s t ʊ b
cumcuamanhomneshocasionemne|k ʊ m k ʊ a m a n h ɔ m n ɛ s h ɔ k a s ɪ  ɔ n ˈɛ m n ɛ
cumcupiscitea|k ʊ m k ʊ p ɪ s k ˈɪ t ɛ a
cumcurit|k ˈʊ m k ʊ r ɪ t
cumcus|k ˈʊ m k ʊ s
cumdeu|k ˈʊ m d ɛʊ 
cumdolore|k ʊ m d ˈɔ l ɔ r ɛ
cumdoloreet|k ʊ m d ɔ l ˈɔ r ɛ ɛ t
cumdomnushadiudcadumbenr|k ʊ m d ɔ m n ʊ s h a d ɪ  ʊ d k a d ˈʊ m b ɛ n  r
cume|k ˈʊ m ɛ
cumeacloqtur|k ˈeː  ˈuː  ˈɛ m  ɛ  a  k ˈeː  ˈɛ l  ˈoː  k w ˈuː  t ˈeː  ˈuː  ˈɛ r
cumeaoperari|k ʊ m ɛ a ɔ p ˈɛ r a r ɪ
cumedit|k ˈʊ m ɛ d ɪ t
cumeer|k ˈʊ m ɛ ɛ r
cumenimquidam|k ʊ m ɛ n ˈɪ m k w ɪ d a m
cumeogaudere|k ʊ m ɛ ɔ ɡ ˈaʊ d ɛ r ɛ
cumergoiterra|k ʊ m ɛ r ɡ ɔ ɪ t ˈɛ r ɾ a
cumerneattiser|k ʊ m ɛ r n ɛ ˈa tː ɪ s ɛ r 
cumes|k ˈʊ m ɛ s
cumestiond|k ʊ m ˈɛ s t ɪ  ɔ n d
cumfifium|k ʊ m f ˈɪ f ɪ  ʊ m
cumfiliassu|k ʊ m f ɪ l ɪ  ˈa s s ʊ
cumgaxsiarmaxsionere|k ʊ m ɡ a k s s ɪ  a r m a k s s ɪ  ˈɔ n ɛ r ɛ
cumgemit|k ˈʊ m ɡ ɛ m ɪ t
cumgr|k ˈʊ m ɡ  r
cumgra|k ˈʊ m ɡ  r a
cumgrabitate|k ʊ m ɡ  r a b ˈɪ t a t ɛ
cumhenmcqu|k ˈʊ m h ɛ n m k k w
cumibus|k ˈʊ m ɪ b ʊ s
cumidia|k ʊ m ˈɪ d ɪ  a
cumiditur|k ʊ m ˈɪ d ɪ t ʊ r
cumiesu|k ʊ m ˈɪ  ɛ s ʊ 
cumiesuspoteshsito|k ʊ m ɪ  ɛ s ʊ s p ɔ t ˈɛ s h s ɪ t ɔ
cumiesuss|k ʊ m ˈɪ  ɛ s ʊ s s 
cumigiatumnuque|k ʊ m ɪ ɡ ɪ  a t ˈʊ m n ʊ k w ɛ
cumiianseetedises|k ʊ m ɪ ʔ j j a n s ɛ ɛ t ˈɛ d ɪ s ɛ s
cumiiasitun|k ʊ m ɪ ʔ j j ˈa s ɪ t ʊ n
cumiiatsionenasituraspesebenin|k ʊ m ɪ ʔ j j a t s ɪ  ɔ n ɛ n a s ɪ t ʊ r a s p ɛ s ˈɛ b ɛ n ɪ n
cumiiiaet|k ʊ m ˈɪ ʔ j j j j aɪ t
cumiiispecatormcotrisio|k ʊ m ɪ ʔ j j ɪ s p ɛ k a t ɔ r m k ɔ t  r ˈɪ s ɪ  ɔ
cumiior|k ʊ m ˈɪ ʔ j j ɔ r
cumiiter|k ʊ m ˈɪ ʔ ɪ t ɛ r
cumilatus|k ʊ m ˈɪ l a t ʊ s
cumile|k ˈʊ m ɪ l ɛ
cumilemdeusapproteditet|k ʊ m ɪ l ɛ m d ɛʊ s a pː  r ɔ t ˈɛ d ɪ t ɛ t
cumili|k ˈʊ m ɪ l ɪ
cumiliastme|k ʊ m ɪ l ɪ  ˈa s t m ɛ
cumiliemus|k ʊ m ɪ l ˈɪ  ɛ m ʊ s
cumililarditurgrasm|k ʊ m ɪ l ɪ l a r d ɪ t ˈʊ r ɡ  r a s m
cumilisadsaptacu|k ʊ m ɪ l ɪ s a d s ˈa p t a k ʊ
cumilit|k ˈʊ m ɪ l ɪ t
cumilitate|k ʊ m ɪ l ˈɪ t a t ɛ
cumilitatebiseres|k ʊ m ɪ l ɪ t a t ɛ b ˈɪ s ɛ r ɛ s
cumilitatesgradus|k ʊ m ɪ l ɪ t a t ˈɛ s ɡ  r a d ʊ s
cumilitatis|k ʊ m ɪ l ˈɪ t a t ɪ s
cumilitatisgraduses|k ʊ m ɪ l ɪ t a t ɪ s ɡ  r ˈa d ʊ s ɛ s 
cumilitatisgradusest|k ʊ m ɪ l ɪ t a t ɪ s ɡ  r ˈa d ʊ s ɛ s t
cumilitatsgraduses|k ʊ m ɪ l ɪ t a t s ɡ  r ˈa d ʊ s ɛ s 
cumiliu|k ʊ m ˈɪ l ɪ  ʊ
cumilt|k ˈʊ m ɪ l t
cumilta|k ʊ m ˈɪ l t a 
cumiltate|k ʊ m ˈɪ l t a t ɛ
cumiltatestab|k ʊ m ɪ l t a t ˈɛ s t a b 
cumiltatis|k ʊ m ˈɪ l t a t ɪ s
