$|d ˈo l a
bala|b ˈa l a
balaa|b a l ˈa a
baladani|b ˌa l a d ˈa n i
balangira|b ˌa l a ŋ ɡ ˈi r a
balans|b ˈa l a n s
balanserad|b ˌa l a n s ˈe r a d
balanserade|b ˌa l a n s e r ˈa d e
balart|b ˈa l a r t
balcony|b ˈa l k o ɲ
bald|b ˈa l d
bale|b ˈa l e
balehe|b a l ˈe h e
bali|b ˈa l i
balile|b a l ˈi l e
balkani|b a l  k ˈa n i
balkonglådan|b ˌa l  k o ŋ ɡ l ˈa d a n
ballack|b ˈa l l a k k
ballet|b ˈa l l e t
ballon|b ˈa l l o n
ballongen|b a l l ˈo ŋ ɡ e n
ballongflyg|b ˈa l l o ŋ ɡ f l j ɡ
ballou|b a l l ˈo u
balotel|b a l ˈo t e l
balozi|b a l ˈo z i
baltiki|b a l t ˈi k i
baluni|b a l ˈu n i
bambu|b ˈa m b u
bambusäng|b a m b ˈu s a ŋ ɡ
bamerani|b ˌa m e r ˈa n i
bamgamoyo|b ˌa m ɡ a m ˈo j o
banalt|b ˈa n a l t
banan|b ˈa n a n
bananplantage|b ˌa n a n p l a n t ˈa ɡ e
banar|b ˈa n a r
banat|b ˈa n a t
banbari|b a n b ˈa r i
band|b ˈa n d
banda|b ˈa n d a
bandades|b a n d ˈa d e s
bandari|b a n d ˈa r i
bandarimjini|b ˌa n d a r i m ɟ ˈi n i
bandarini|b ˌa n d a r ˈi n i
bandet|b ˈa n d e t
bandia|b a n d ˈi a
bandy|b ˈa n d j
bandyspelare|b ˌa n d j s p e l ˈa r e
bangi|b ˈa ŋ ɡ i
bangili|b a ŋ ɡ ˈi l i
bangladesh|b a ŋ ɡ l ˈa d e ʃ
bango|b ˈa ŋ ɡ o
bank|b ˈa ŋ k
banka|b ˈa ŋ k a
bankakuten|b ˌa ŋ  k a k ˈu t e n
banken|b ˈa ŋ k e n
banker|b ˈa ŋ k e r
bankerna|b a ŋ  k ˈe r n a
bankernas|b a ŋ  k ˈe r n a s
bankfack|b ˈa ŋ k f a k k
bankkonto|b a ŋ  k  k ˈo n t o
bankkontor|b a ŋ  k  k ˈo n t o r
bankkris|b ˈa ŋ k k  r i s
banks|b ˈa ŋ k s
bankärenden|b ˌa ŋ  k a r ˈe n d e n
bannlysta|b ˈa n n l j s t a
banor|b ˈa n o r
banta|b ˈa n t a
banyoro|b a ɲ ˈo r o
bao|b ˈa o
baobaberna|b ˌa o b a b ˈe r n a
bapa|b ˈa p a
bar|b ˈa r
bara|b ˈa r a
baraba|b a r ˈa b a
barabara|b ˌa r a b ˈa r a
barabarani|b ˌa r a b a r ˈa n i
barack|b ˈa r a k k
barackerna|b ˌa r a k  k ˈe r n a
barafu|b a r ˈa f u
barafuto|b ˌa r a f ˈu t o
baraka|b a r ˈa k a
barakoa|b ˌa r a k ˈo a
barani|b a r ˈa n i
baratoka|b ˌa r a t ˈo k a
baraza|b a r ˈa z a
barbara|b a r b ˈa r a
barcelona|b ˌa r k e l ˈo n a
barcolona|b ˌa r k o l ˈo n a
bard|b ˈa r d
barenchoka|b ˌa r e n̩ tʃ ˈo k a
baressi|b a r ˈe s s i
bargash|b ˈa r ɡ a ʃ
bariadi|b ˌa r i ˈa d i
baridi|b a r ˈi d i
barikini|b ˌa r i k ˈi n i
barken|b ˈa r k e n
barn|b ˈa r n
barnaba|b a r n ˈa b a
barnabas|b a r n ˈa b a s
barnaåldern|b ˌa r n a ˈa l d e r n
barnaåren|b ˌa r n a ˈa r e n
barnbarn|b ˈa r n b a r n
barnbarns|b ˈa r n b a r n s
barnbarnsbarn|b a r n b ˈa r n s b a r n
barnbidrag|b a r n b ˈi d  r a ɡ
barnbidragen|b ˌa r n b i d  r ˈa ɡ e n
barndom|b ˈa r n d o m
barndomen|b a r n d ˈo m e n
barndomsidyllen|b ˌa r n d o m s ˈi d j l l e n
barndomsupplevelses|b ˌa r n d o m s ˌu p p l e v ˈe l s e s
barndop|b ˈa r n d o p
barnen|b ˈa r n e n
barnens|b ˈa r n e n s
barnfientlig|b ˌa r n f i ˈe n t l i ɡ
barnkläder|b a r ŋ  k l ˈa d e r
barnmisshandel|b ˌa r n  m i s ʃ ˈa n d e l
barnmorskan|b a r n  m ˈo r s k a n
barnomsorgen|b ˌa r n o m s ˈo r ɡ e n
barnprogram|b a r n p  r ˈo ɡ  r a m
barns|b ˈa r n s
barnsben|b ˈa r n s b e n
barnserier|b ˌa r n s e r ˈi e r
barnskötare|b ˌa r n s  k o t ˈa r e
barnsköterska|b ˌa r n s  k o t ˈe r s k a
barnuppfostran|b ˌa r n u p p f ˈo s t  r a n
barnvakt|b ˈa r n v a k t
barre|b ˈa r r e
barry|b ˈa r r j
bartolomayo|b ˌa r t o l o m ˈa j o
barua|b a r ˈu a
baruapepe|b ˌa r u a p ˈe p e
baruti|b a r ˈu t i
basa|b ˈa s a
basen|b ˈa s e n
baserade|b ˌa s e r ˈa d e
bashani|b a ʃ ˈa n i
bashar|b ˈa ʃ a r
basi|b ˈa s i
basic|b ˈa s i k
basilika|b ˌa s i l ˈi k a
basimbiti|b ˌa s i m b ˈi t i
basket|b ˈa s k e t
bassam|b ˈa s s a m
basten|b ˈa s t e n
bastola|b a s t ˈo l a
bastu|b ˈa s t u
bastun|b ˈa s t u n
bastuvägen|b ˌa s t u v ˈa ɡ e n
basweta|b a s w ˈe t a
bata|b ˈa t a
batamaji|b ˌa t a m ˈa ɟ i
bathi|b ˈa θ i
bati|b ˈa t i
batista|b a t ˈi s t a
batistuta|b ˌa t i s t ˈu t a
batteridrivna|b ˌa t t e r i d  r ˈi v n a
batteriet|b ˌa t t e r ˈi e t
batuta|b a t ˈu t a
baudouin|b ˌa u d o ˈu i n
baumann|b a ˈu m a n n
baumgardt|b a ˈu m ɡ a r d t
bawa|b ˈa w a
bawaba|b a w ˈa b a
bawasili|b ˌa w a s ˈi l i
bawasiri|b ˌa w a s ˈi r i
bay|b ˈa j
baya|b ˈa j a
bayana|b a j ˈa n a
bayern|b ˈa j e r n
bayithi|b a j ˈi θ i
bayoanuwai|b ˌa j o ˌa n u w ˈa i
bayungu|b a j ˈu ŋ ɡ u
bazi|b ˈa z i
bazinami|b ˌa z i n ˈa m i
bbv|b ˌi b ˌi v ˈi
beach|b ˈe a tʃ
beaktar|b e ˈa k t a r
beaktas|b e ˈa k t a s
bear|b ˈe a r
bearbeta|b ˌe a r b ˈe t a
beberu|b e b ˈe r u
bebos|b ˈe b o s
beckenbaue|b ˌe k  k e n b a ˈu e
beckenbauer|b ˌe k  k e n b a ˈu e r
beckham|b ˈe k x a m
beckmörkare|b ˌe k  k  m o r  k ˈa r e
bedola|b e d ˈo l a
bedrev|b ˈe d  r e v
bedrevs|b ˈe d  r e v s
bedriva|b e d  r ˈi v a
bedrivas|b e d  r ˈi v a s
bedriver|b e d  r ˈi v e r
bedrog|b ˈe d  r o ɡ
bedrövad|b e d  r ˈo v a d
beduinstam|b ˌe d u ˈi n s t a m
bedömningen|b ˌe d o m n ˈi ŋ ɡ e n
bedövningen|b ˌe d o v n ˈi ŋ ɡ e n
beelzebuli|b ˌe e l z e b ˈu l i
beer|b ˈe e r
befinner|b e f ˈi n n e r
befolkad|b e f ˈo l k a d
befolkade|b ˌe f o l  k ˈa d e
befolkades|b ˌe f o l  k ˈa d e s
befolkning|b e f ˈo l k n i ŋ ɡ
befolkningsökning|b ˌe f o l  k n i ŋ ɡ s ˈo k n i ŋ ɡ
befruktas|b e f  r ˈu k t a s
befröats|b e f  r ˈo a t s
befunnit|b e f ˈu n n i t
befäster|b e f ˈa s t e r
bega|b ˈe ɡ a
begagnade|b ˌe ɡ a ɡ n ˈa d e
begani|b e ɡ ˈa n i
bege|b ˈe ɡ e
beger|b ˈe ɡ e r
begi|b ˈe ɡ i
begravd|b ˈe ɡ  r a v d
begravde|b e ɡ  r ˈa v d e
begravnings|b e ɡ  r ˈa v n i ŋ ɡ s
begrepp|b ˈe ɡ  r e p p
begreppen|b e ɡ  r ˈe p p e n
begreppet|b e ɡ  r ˈe p p e t
begriper|b e ɡ  r ˈi p e r
begränsa|b e ɡ  r ˈa n s a
begränsad|b e ɡ  r ˈa n s a d
begränsar|b e ɡ  r ˈa n s a r
begränsat|b e ɡ  r ˈa n s a t
begränsningar|b ˌe ɡ  r a n s n ˈi ŋ ɡ a r
begäran|b e ɡ ˈa r a n
begärs|b ˈe ɡ a r s
behagligt|b e h ˈa ɡ l i ɡ t
behagsjukt|b e h ˈa ɡ s ɟ u k t
behandla|b e h ˈa n d l a
behandlad|b e h ˈa n d l a d
behandlade|b ˌe h a n d l ˈa d e
behandlades|b ˌe h a n d l ˈa d e s
behandlat|b e h ˈa n d l a t
behandlats|b e h ˈa n d l a t s
behov|b ˈe h o v
behovet|b e h ˈo v e t
behrendtz|b ˈe h  r e n d t z
behärska|b e h ˈa r s k a
behåll|b ˈe h a l l
behålla|b e h ˈa l l a
behöll|b ˈe h o l l
behörigheter|b ˌe h o r i ɣ ˈe t e r
behöva|b e h ˈo v a
behövas|b e h ˈo v a s
behövde|b e h ˈo v d e
behöver|b e h ˈo v e r
behövs|b ˈe h o v s
behövt|b ˈe h o v t
bei|b ˈe i
beira|b e ˈi r a
bejakar|b e ɟ ˈa k a r
beji|b ˈe ɟ i
bekant|b ˈe k a n t
bekanta|b e k ˈa n t a
beki|b ˈe k i
beklaga|b e k l ˈa ɡ a
bekorathi|b ˌe k o r ˈa θ i
bekostnad|b e k ˈo s t n a d
bekvämt|b ˈe k v a m t
bekymmer|b e k j ˈm̩ m e r
bekymra|b e k j ˈm̩  r a
bekänna|b e k ˈa n n a
bela|b ˈe l a
belasta|b e l ˈa s t a
belastar|b e l ˈa s t a r
belastningskador|b ˌe l a s t n i ŋ ɡ s  k ˈa d o r
belgiska|b e l ɡ ˈi s k a
beli|b ˈe l i
bella|b ˈe l l a
bells|b ˈe l l s
belopp|b ˈe l o p p
beloppet|b e l ˈo p p e t
belöning|b e l ˈo n i ŋ ɡ
bembea|b e m b ˈe a
bemärkelse|b ˌe m a r  k ˈe l s e
bemöta|b e m ˈo t a
ben|b ˈe n
benami|b e n ˈa m i
benchi|b e ˈn̩ tʃ i
bendera|b e n d ˈe r a
bendi|b ˈe n d i
benedikto|b ˌe n e d ˈi k t o
benet|b ˈe n e t
benfica|b e n f ˈi k a
bengt|b ˈe ŋ ɡ t
benjamin|b e ɲ ɟ ˈa m i n
benjamini|b ˌe ɲ ɟ a m ˈi n i
benke|b ˈe ŋ k e
benki|b ˈe ŋ k i
benrangel|b e n  r ˈa ŋ ɡ e l
bensaoula|b ˌe n s a o ˈu l a
bensin|b ˈe n s i n
bensinmackar|b ˌe n s i n  m ˈa k k a r
bensinskatten|b ˌe n s i n s  k ˈa t t e n
benus|b ˈe n u s
benyamini|b ˌe ɲ a m ˈi n i
benz|b ˈe n z
benzema|b e n z ˈe m a
beordrade|b ˌe o r d  r ˈa d e
beordrat|b e ˈo r d  r a t
bequerel|b ˌe k u ˈe r e l
ber|b ˈe r
bera|b ˈe r a
beredd|b ˈe r e d d
beredda|b e r ˈe d d a
beredi|b e r ˈe d i
beredskap|b e r ˈe d s k a p
beredskapsfunktionen|b ˌe r e d s  k ˌa p s f u ŋ  k t i ˈo n e n
berg|b ˈe r ɡ
bergatorp|b e r ɡ ˈa t o r p
bergborrningen|b ˌe r ɡ b o r r n ˈi ŋ ɡ e n
bergen|b ˈe r ɡ e n
bergeskär|b e r ɡ ˈe s k a r
berget|b ˈe r ɡ e t
berggrund|b ˈe r ɡ ɡ  r u n d
bergkamp|b ˈe r ɡ k a m p
bergkarlås|b e r ɡ  k ˈa r l a s
bergsby|b ˈe r ɡ s b j
bergström|b ˈe r ɡ s t  r o m
berkgamp|b ˈe r k ɡ a m p
berlin|b ˈe r l i n
berlini|b e r l ˈi n i
bernanderssons|b ˌe r n a n d ˈe r s s o n s
bernard|b ˈe r n a r d
bernhard|b ˈe r n h a r d
bernow|b ˈe r n o w
bernson|b ˈe r n s o n
bernt|b ˈe r n t
berodde|b e r ˈo d d e
beroende|b ˌe r o ˈe n d e
beroendet|b ˌe r o ˈe n d e t
beror|b ˈe r o r
bersheba|b e r ʃ ˈe b a
bert|b ˈe r t
berusad|b e r ˈu s a d
beräknad|b e r ˈa k n a d
beräknade|b ˌe r a k n ˈa d e
beräknas|b e r ˈa k n a s
beräkningar|b ˌe r a k n ˈi ŋ ɡ a r
berätta|b e r ˈa t t a
berättade|b ˌe r a t t ˈa d e
berättar|b e r ˈa t t a r
berättas|b e r ˈa t t a s
berättat|b e r ˈa t t a t
berättelse|b ˌe r a t t ˈe l s e
berättelser|b ˌe r a t t ˈe l s e r
beröm|b ˈe r o m
berömda|b e r ˈo m d a
berör|b ˈe r o r
beröras|b e r ˈo r a s
beröringspunkter|b ˌe r o r i ŋ ɡ s p ˈu ŋ k t e r
berörs|b ˈe r o r s
berövat|b e r ˈo v a t
beseni|b e s ˈe n i
besiboli|b ˌe s i b ˈo l i
besigye|b e s ˈi ɡ j e
beskaffad|b e s  k ˈa f f a d
besked|b ˈe s k e d
beskrev|b ˈe s k  r e v
beskriva|b e s  k  r ˈi v a
beskrivas|b e s  k  r ˈi v a s
beskriver|b e s  k  r ˈi v e r
beskrivning|b e s  k  r ˈi v n i ŋ ɡ
beskrivningar|b ˌe s  k  r i v n ˈi ŋ ɡ a r
beskrivs|b ˈe s k  r i v s
beskyddande|b e s  k j d d ˈa n d e
beskyddare|b e s  k j d d ˈa r e
beslag|b ˈe s l a ɡ
beslagtogs|b e s l ˈa ɡ t o ɡ s
beslut|b ˈe s l u t
besluta|b e s l ˈu t a
beslutar|b e s l ˈu t a r
beslutat|b e s l ˈu t a t
beslutet|b e s l ˈu t e t
beslutsfattandet|b ˌe s l u t s f a t t ˈa n d e t
beslutsformerna|b ˌe s l u t s f o r  m ˈe r n a
beslutsprocessen|b ˌe s l u t s p  r o k ˈe s s e n
beslöt|b ˈe s l o t
beslöts|b ˈe s l o t s
besori|b e s ˈo r i
besparingarna|b ˌe s p a r i ŋ ɡ ˈa r n a
best|b ˈe s t
bestod|b ˈe s t o d
bestyrkte|b ˈe s t j r k t e
beställa|b e s t ˈa l l a
beställningar|b ˌe s t a l l n ˈi ŋ ɡ a r
beställt|b ˈe s t a l l t
bestämd|b ˈe s t a m d
bestämda|b e s t ˈa m d a
bestämde|b e s t ˈa m d e
bestämma|b e s t ˈa m m a
bestämmelsen|b ˌe s t a m  m ˈe l s e n
bestämmer|b e s t ˈa m m e r
bestämt|b ˈe s t a m t
bestående|b ˌe s t a ˈe n d e
består|b ˈe s t a r
besvara|b e s v ˈa r a
besvikelser|b ˌe s v i k ˈe l s e r
besviken|b e s v ˈi k e n
besvikna|b e s v ˈi k n a
besvär|b ˈe s v a r
besvärad|b e s v ˈa r a d
besvärlig|b e s v ˈa r l i ɡ
besvärliga|b ˌe s v a r l ˈi ɡ a
besättningen|b ˌe s a t t n ˈi ŋ ɡ e n
besök|b ˈe s o k
besöka|b e s ˈo k a
besökare|b ˌe s o k ˈa r e
besöken|b e s ˈo k e n
besöket|b e s ˈo k e t
besökt|b ˈe s o k t
besökte|b e s ˈo k t e
bet|b ˈe t
beta|b ˈe t a
betala|b e t ˈa l a
betalar|b e t ˈa l a r
betalat|b e t ˈa l a t
betald|b ˈe t a l d
betalda|b e t ˈa l d a
betalningen|b ˌe t a l n ˈi ŋ ɡ e n
betalt|b ˈe t a l t
betatestningen|b ˌe t a t e s t n ˈi ŋ ɡ e n
beteende|b ˌe t e ˈe n d e
beteendet|b ˌe t e ˈe n d e t
beteendevetenskap|b ˌe t e ˌe n d e v e t ˈe n s k a p
beth|b ˈe θ
bethania|b ˌe θ a n ˈi a
betheli|b e θ ˈe l i
bethfage|b e θ f ˈa ɡ e
bethlehemu|b ˌe θ l e h ˈe m u
bethsaida|b ˌe θ s a ˈi d a
betrakta|b e t  r ˈa k t a
betraktade|b ˌe t  r a k t ˈa d e
betraktar|b e t  r ˈa k t a r
betraktas|b e t  r ˈa k t a s
betri|b ˈe t  r i
beträffande|b ˌe t  r a f f ˈa n d e
bett|b ˈe t t
betty|b ˈe t t j
betydande|b e t j d ˈa n d e
betydde|b ˈe t j d d e
betydelse|b e t j d ˈe l s e
betyder|b ˈe t j d e r
betydligt|b ˈe t j d l i ɡ t
betyg|b ˈe t j ɡ
betygen|b ˈe t j ɡ e n
betygskriterier|b ˌe t j ɡ s  k  r i t e r ˈi e r
betygssystemet|b e t j ɡ s s j s t ˈe m e t
betytt|b ˈe t j t t
beula|b e ˈu l a
beulakwa|b ˌe u l ˈa k w a
beundrad|b e ˈu n d  r a d
beundrar|b e ˈu n d  r a r
beundrarpost|b ˌe u n d  r ˈa r p o s t
bevakades|b ˌe v a k ˈa d e s
bevara|b e v ˈa r a
bevaras|b e v ˈa r a s
bevars|b ˈe v a r s
bevis|b ˈe v i s
bevisa|b e v ˈi s a
beviset|b e v ˈi s e t
bevittna|b e v ˈi t t n a
beväpnade|b ˌe v a p n ˈa d e
bezeki|b e z ˈe k i
bezos|b ˈe z o s
bhasweji|b h a s w ˈe ɟ i
bhatimba|b h a t ˈi m b a
bhoke|b h ˈo k e
bi|b ˈi
bia|b ˈi a
biasahara|b ˌi a s a h ˈa r a
biashara|b ˌi a ʃ ˈa r a
bibamba|b i b ˈa m b a
bibehålla|b ˌi b e h ˈa l l a
bibehållen|b ˌi b e h ˈa l l e n
bibelpassager|b ˌi b e l p a s s ˈa ɡ e r
bibi|b ˈi b i
bibilia|b ˌi b i l ˈi a
bibiye|b i b ˈi j e
biblia|b i b l ˈi a
biblioteket|b ˌi b l i o t ˈe k e t
biblioteksutskottet|b ˌi b l i ˌo t e k s u t s  k ˈo t t e t
biblisk|b ˈi b l i s k
bicha|b ˈi tʃ a
bichi|b ˈi tʃ i
bichis|b ˈi tʃ i s
bidar|b ˈi d a r
bidhaa|b i ð ˈa a
bidii|b i d ˈi i
bidra|b ˈi d  r a
bidrag|b ˈi d  r a ɡ
bidragit|b i d  r ˈa ɡ i t
bie|b ˈi e
bieffekter|b ˌi e f f ˈe k t e r
bielsa|b i ˈe l s a
bifalla|b i f ˈa l l a
biffköttet|b i f f  k ˈo t t e t
bigo|b ˈi ɡ o
bigoro|b i ɡ ˈo r o
biharamulo|b ˌi h a r a m ˈu l o
biharamuro|b ˌi h a r a m ˈu r o
bikari|b i k ˈa r i
bikinitopp|b ˌi k i n ˈi t o p p
bil|b ˈi l
bila|b ˈi l a
bilaa|b i l ˈa a
bilar|b ˈi l a r
bilashi|b i l ˈa ʃ i
bilauri|b ˌi l a ˈu r i
bilbatterier|b ˌi l b a t t e r ˈi e r
bild|b ˈi l d
bildade|b i l d ˈa d e
bildades|b i l d ˈa d e s
bildar|b ˈi l d a r
bildas|b ˈi l d a s
bilden|b ˈi l d e n
bilder|b ˈi l d e r
bilderna|b i l d ˈe r n a
bildhuggarvägen|b ˌi l ð u ɡ ɡ a r v ˈa ɡ e n
bildningsgång|b i l d n ˈi ŋ ɡ s ɡ a ŋ ɡ
bildskärm|b ˈi l d s k a r m
bildskärmen|b i l d s  k ˈa r m e n
bilen|b ˈi l e n
bilens|b ˈi l e n s
bilfärd|b ˈi l f a r d
bili|b ˈi l i
bilionea|b ˌi l i o n ˈe a
bilioni|b ˌi l i ˈo n i
bilister|b i l ˈi s t e r
bilisterna|b ˌi l i s t ˈe r n a
biljakter|b i l ɟ ˈa k t e r
bilkaross|b i l  k ˈa r o s s
bilkortege|b ˌi l  k o r t ˈe ɡ e
bilköer|b i l k ˈo e r
bill|b ˈi l l
billig|b ˈi l l i ɡ
billigare|b ˌi l l i ɡ ˈa r e
billigaste|b ˌi l l i ɡ ˈa s t e
billigt|b ˈi l l i ɡ t
billy|b ˈi l l j
bilmotorer|b ˌi l  m o t ˈo r e r
bilmängden|b i l  m ˈa ŋ ɡ d e n
bilradiotjuvs|b ˌi l  r a d i ˈo t ɟ u v s
bilreseavdragen|b ˌi l  r e s ˌe a v d  r ˈa ɡ e n
bilskatter|b i l s  k ˈa t t e r
biltjuvarna|b ˌi l t ɟ u v ˈa r n a
biltullar|b i l t ˈu l l a r
bima|b ˈi m a
bin|b ˈi n
binaadamu|b ˌi n a a d ˈa m u
binadamu|b ˌi n a d ˈa m u
binadamuu|b ˈi n ˌa d a m ˈu u
binadamuwakazaa|b ˌi n a d ˌa m u w ˌa k a z ˈa a
binafsi|b i n ˈa f s i
binamu|b i n ˈa m u
bindamu|b i n d ˈa m u
bindestreck|b i n d ˈe s t  r e k k
bindningarna|b ˌi n d n i ŋ ɡ ˈa r n a
bindoni|b i n d ˈo n i
bingwa|b ˈi ŋ ɡ w a
binti|b ˈi n t i
bintiye|b i n t ˈi j e
binzari|b i n z ˈa r i
bio|b ˈi o
biodling|b i ˈo d l i ŋ ɡ
biografen|b ˌi o ɡ  r ˈa f e n
biografer|b ˌi o ɡ  r ˈa f e r
biokemi|b ˌi o k ˈe m i
biologiska|b ˌi o l o ɡ ˈi s k a
biolojia|b ˌi o l o ɟ ˈi a
biorsakernas|b ˌi o r s a k ˈe r n a s
birgitta|b i r ɡ ˈi t t a
birika|b i r ˈi k a
birikani|b ˌi r i k ˈa n i
birsha|b ˈi r ʃ a
bisamhällen|b ˌi s a m h ˈa l l e n
bisarrt|b ˈi s a r r t
bishara|b i ʃ ˈa r a
bisheni|b i ʃ ˈe n i
bisi|b ˈi s i
biskopar|b i s  k ˈo p a r
biskopsdömet|b ˌi s  k o p s d ˈo m e t
biskuti|b i s  k ˈu t i
bisonoxen|b ˌi s o n ˈo k s e n
bissau|b i s s ˈa u
bister|b ˈi s t e r
bistånd|b ˈi s t a n d
bit|b ˈi t
bita|b ˈi t a
biteko|b i t ˈe k o
biten|b ˈi t e n
biter|b ˈi t e r
biti|b ˈi t i
bittra|b ˈi t t  r a
biu|b ˈi u
biuppgift|b i ˈu p p ɡ i f t
biytas|b ˈi j t a s
biändamål|b ˌi a n d ˈa m a l
biätarna|b ˌi a t ˈa r n a
bjelke|b ɟ ˈe l k e
bjorn|b ɟ ˈo r n
bjudit|b ɟ ˈu d i t
bjudna|b ɟ ˈu d n a
bjuds|b ɟ ˈu d s
bjurstorpsgatan|b ɟ ˌu r s t o r p s ɡ ˈa t a n
bjälken|b ɟ ˈa l k e n
bjöd|b ɟ ˈo d
björkarnas|b ɟ o r  k ˈa r n a s
björkseles|b ɟ o r  k s ˈe l e s
björn|b ɟ ˈo r n
björnar|b ɟ ˈo r n a r
björnars|b ɟ ˈo r n a r s
björnbärsår|b ɟ o r n b ˈa r s a r
björneborg|b ɟ o r n ˈe b o r ɡ
björnflokevägen|b ɟ ˌo r n f l o k e v ˈa ɡ e n
björnkött|b ɟ ˈo r ŋ k o t t
björnskinnsmössa|b ɟ ˌo r n s  k i n n s  m ˈo s s a
bkb|b ˌi k ˌe b ˈi
bkiasi|b  k i ˈa s i
black|b l ˈa k k
blackburn|b l ˈa k k b u r n
blair|b l ˈa i r
bland|b l ˈa n d
blanda|b l ˈa n d a
blandad|b l ˈa n d a d
blandade|b l a n d ˈa d e
blandar|b l ˈa n d a r
blandas|b l ˈa n d a s
blandmiljöer|b l ˌa n d  m i l ɟ ˈo e r
blandning|b l ˈa n d n i ŋ ɡ
blanketi|b l a ŋ  k ˈe t i
blaska|b l ˈa s k a
blazevic|b l a z ˈe v i k
blek|b l ˈe k
blekrosa|b l e k  r ˈo s a
blended|b l ˈe n d e d
blev|b l ˈe v
bli|b l ˈi
blia|b l ˈi a
blick|b l ˈi k k
blicken|b l ˈi k k e n
blickstilla|b l i k  k s t ˈi l l a
blind|b l ˈi n d
blinda|b l ˈi n d a
blinde|b l ˈi n d e
blinkade|b l i ŋ  k ˈa d e
blir|b l ˈi r
blivit|b l ˈi v i t
blob|b l ˈo b
block|b l ˈo k k
blockaden|b l o k  k ˈa d e n
blod|b l ˈo d
blodet|b l ˈo d e t
blodförtunnande|b l ˌo d f o r t u n n ˈa n d e
blodiga|b l o d ˈi ɡ a
blodproteiner|b l ˌo d p  r o t e ˈi n e r
blodsdåden|b l o d s d ˈa d e n
blodtörst|b l ˈo d t o r s t
blodvärdet|b l o d v ˈa r d e t
bloki|b l ˈo k i
blombuketter|b l ˌo m b u k ˈe t t e r
blomdoft|b l ˈo m d o f t
blomkål|b l ˈo m k a l
blomlåda|b l o m l ˈa d a
blommande|b l o m  m ˈa n d e
blommar|b l ˈo m m a r
blommor|b l ˈo m m o r
blommorna|b l o m  m ˈo r n a
blomsterbollar|b l ˌo m s t e r b ˈo l l a r
blomsterängar|b l ˌo m s t e r ˈa ŋ ɡ a r
blomstjälkens|b l o m s t ɟ ˈa l k e n s
blomstra|b l ˈo m s t  r a
blomstrade|b l o m s t  r ˈa d e
blott|b l ˈo t t
bluetooth|b l ˌu e t ˈo o θ
bluffmakare|b l ˌu f f  m a k ˈa r e
blus|b l ˈu s
blusen|b l ˈu s e n
bluu|b l ˈu u
blyerts|b l j ˈe r t s
blyertsens|b l j ˈe r t s e n s
blyertspenna|b l j e r t s p ˈe n n a
blyertsskiss|b l j ˈe r t s s k i s s
blyet|b l j ˈe t
blyg|b l j ɡ
blyköl|b l j k ˈo l
blyvägen|b l j v ˈa ɡ e n
blä|b l ˈa
bläckhornen|b l a k  k h ˈo r n e n
bländvita|b l a n d v ˈi t a
blänkande|b l a ŋ  k ˈa n d e
blänker|b l ˈa ŋ k e r
blänkte|b l ˈa ŋ k t e
blå|b l ˈa
blåaktiga|b l ˌa a k t ˈi ɡ a
blåbärsplockarna|b l ˌa b a r s p l o k  k ˈa r n a
blåbärssoppa|b l ˌa b a r s s ˈo p p a
blågrå|b l ˈa ɡ  r a
blåhaken|b l a h ˈa k e n
blåkullafärden|b l ˌa k u l l a f ˈa r d e n
blåsippsvägen|b l ˌa s i p p s v ˈa ɡ e n
blåskiftande|b l ˌa s  k i f t ˈa n d e
blåste|b l ˈa s t e
blått|b l ˈa t t
blåvingen|b l a v ˈi ŋ ɡ e n
blåvitt|b l ˈa v i t t
blåögd|b l ˈa o ɡ d
blåögda|b l a ˈo ɡ d a
blåögde|b l a ˈo ɡ d e
blöder|b l ˈo d e r
blöjor|b l ˈo ɟ o r
bmx|b ˌi ˌe m ˈe k s
bo|b ˈo
boas|b ˈo a s
boazi|b o ˈa z i
bob|b ˈo b
bobby|b ˈo b b j
bobsleighåkare|b ˌo b s l e ˌi ɣ a k ˈa r e
bobsleighåkares|b ˌo b s l e ˌi ɣ a k ˈa r e s
bobysund|b ˈo b j s u n d
bocco|b ˈo k k o
bodaboda|b ˌo d a b ˈo d a
bodarna|b o d ˈa r n a
bodde|b ˈo d d e
bodi|b ˈo d i
bodo|b ˈo d o
bodystocking|b o d j s t ˈo k k i ŋ ɡ
boende|b o ˈe n d e
boendekostnaden|b ˌo e n d ˌe k o s t n ˈa d e n
boendeparkeringen|b ˌo e n d ˌe p a r  k e r ˈi ŋ ɡ e n
boendeskatten|b ˌo e n d e s  k ˈa t t e n
boeseken|b ˌo e s ˈe k e n
boet|b ˈo e t
boetterna|b ˌo e t t ˈe r n a
boggivagnens|b ˌo ɡ ɡ i v ˈa ɡ n e n s
bogkött|b ˈo ɡ k o t t
bohusjullarna|b ˌo h u s ɟ u l l ˈa r n a
bohusjullens|b ˌo h u s ɟ ˈu l l e n s
bohusläns|b o h ˈu s l a n s
boi|b ˈo i
bojarerna|b ˌo ɟ a r ˈe r n a
bojarnas|b o ɟ ˈa r n a s
bojor|b ˈo ɟ o r
bok|b ˈo k
bokat|b ˈo k a t
boken|b ˈo k e n
bokfördes|b o k f ˈo r d e s
bokföringsbyrå|b ˌo k f o r ˈi ŋ ɡ s b j r a
