afia|AE F IY0 AE
inang|ara IY0 N AE NG AE R AE
inanifanya|IY0 N AE N IY0 F AE N IY0 AE
inanipasa|IY0 N AE N IY0 P AE S AE
inanyesha|IY0 N AE N IY0 EH0 SH AE
inaonekana|IY0 N AE OW0 N EH0 K AE N AE
inaonyesha|IY0 N AE OW0 N IY0 EH0 SH AE
inaonyeshwa|IY0 N AE OW0 N IY0 EH0 SH W AE
inapasa|IY0 N AE P AE S AE
inapaswa|IY0 N AE P AE S W AE
inapatikana|IY0 N AE P AE T IY0 K AE N AE
inapoiva|IY0 N AE P OW0 IY0 V AE
inapokuwa|IY0 N AE P OW0 K UW0 W AE
inaponishik|IY0 N AE P OW0 N IY0 SH IY0 K
inapoonekan|IY0 N AE P OW0 OW0 N EH0 K AE N
inaposemwa|IY0 N AE P OW0 S EH0 M W AE
inapotaka|IY0 N AE P OW0 T AE K AE
inapotoa|IY0 N AE P OW0 T OW0 AE
inasameheka|IY0 N AE S AE M EH0 HH EH0 K AE
inasema|IY0 N AE S EH0 M AE
inasemekana|IY0 N AE S EH0 M EH0 K AE N AE
inashikilia|IY0 N AE SH IY0 K IY0 L IY0 AE
inasikika|IY0 N AE S IY0 K IY0 K AE
inasisitiza|IY0 N AE S IY0 S IY0 T IY0 Z AE
inasomwa|IY0 N AE S OW0 M W AE
inataka|IY0 N AE T AE K AE
inatawala|IY0 N AE T AE W AE L AE
inatawaliwa|IY0 N AE T AE W AE L IY0 W AE
inatelemshwa|IY0 N AE T EH0 L EH0 M SH W AE
inatia|IY0 N AE T IY0 AE
inatikisika|IY0 N AE T IY0 K IY0 S IY0 K AE
inatilia|IY0 N AE T IY0 L IY0 AE
inatoa|IY0 N AE T OW0 AE
inatoka|IY0 N AE T OW0 K AE
inatokana|IY0 N AE T OW0 K AE N AE
inatosha|IY0 N AE T OW0 SH AE
inatuhakiki|IY0 N AE T UW0 HH AE K IY0 K IY0
inatuhusu|IY0 N AE T UW0 HH UW0 S UW0
inatumia|IY0 N AE T UW0 M IY0 AE
inatumika|IY0 N AE T UW0 M IY0 K AE
inatumiwa|IY0 N AE T UW0 M IY0 W AE
inatuonyesh|IY0 N AE T UW0 OW0 N IY0 EH0 SH
inatutakasa|IY0 N AE T UW0 T AE K AE S AE
inavyoaminiwa|IY0 N AE V Y OW0 AE M IY0 N IY0 W AE
inavyofaa|IY0 N AE V Y OW0 F AE AE
inavyofanyik|IY0 N AE V Y OW0 F AE N IY0 IY0 K
inavyokuwa|IY0 N AE V Y OW0 K UW0 W AE
inavyompasa|IY0 N AE V Y OW0 M P AE S AE
inavyoonekana|IY0 N AE V Y OW0 OW0 N EH0 K AE N AE
inavyopasa|IY0 N AE V Y OW0 P AE S AE
inavyopaswa|IY0 N AE V Y OW0 P AE S W AE
inavyoshika|IY0 N AE V Y OW0 SH IY0 K AE
inavyostahi|IY0 N AE V Y OW0 S T AE HH IY0
inavyostahika|IY0 N AE V Y OW0 S T AE HH IY0 K AE
inavyotakiwa|IY0 N AE V Y OW0 T AE K IY0 W AE
inavyothihi|IY0 N AE V Y OW0 TH IY0 HH IY0
inavyotirir|IY0 N AE V Y OW0 T IY0 R IY0 R
inavyotumiw|IY0 N AE V Y OW0 T UW0 M IY0 W
inavyotupas|IY0 N AE V Y OW0 T UW0 P AE S
inavyovuta|IY0 N AE V Y OW0 V UW0 T AE
inavyowezek|IY0 N AE V Y OW0 W EH0 Z EH0 K
inavyoyeyuk|IY0 N AE V Y OW0 Y EH0 Y UW0 K
inawafikia|IY0 N AE W AE F IY0 K IY0 AE
inawahukumu|IY0 N AE W AE HH UW0 K UW0 M UW0
inawaka|IY0 N AE W AE K AE
inawakilish|IY0 N AE W AE K IY0 L IY0 SH
inawalisha|IY0 N AE W AE L IY0 SH AE
inaweza|IY0 N AE W EH0 Z AE
inawezekana|IY0 N AE W EH0 Z EH0 K AE N AE
inawiri|IY0 N AE W IY0 R IY0
inayahusu|IY0 N AE Y AE HH UW0 S UW0
inayo|IY0 N AE Y OW0
inayoachwa|IY0 N AE Y OW0 AE T SH W AE
inayoaminiwa|IY0 N AE Y OW0 AE M IY0 N IY0 W AE
inayochanua|IY0 N AE Y OW0 T SH AE N UW0 AE
inayochezewa|IY0 N AE Y OW0 T SH EH0 Z EH0 W AE
inayochezwa|IY0 N AE Y OW0 T SH EH0 Z W AE
inayochomwa|IY0 N AE Y OW0 T SH OW0 M W AE
inayochorwa|IY0 N AE Y OW0 T SH OW0 R W AE
inayochukul|IY0 N AE Y OW0 T SH UW0 K UW0 L
inayoelekea|IY0 N AE Y OW0 EH0 L EH0 K EH0 AE
inayoeleza|IY0 N AE Y OW0 EH0 L EH0 Z AE
inayoenea|IY0 N AE Y OW0 EH0 N EH0 AE
inayofaa|IY0 N AE Y OW0 F AE AE
inayofahamika|IY0 N AE Y OW0 F AE HH AE M IY0 K AE
inayofanana|IY0 N AE Y OW0 F AE N AE N AE
inayofanya|IY0 N AE Y OW0 F AE N IY0 AE
inayofanyik|IY0 N AE Y OW0 F AE N IY0 IY0 K
inayofanyiwa|IY0 N AE Y OW0 F AE N IY0 IY0 W AE
inayofanywa|IY0 N AE Y OW0 F AE N IY0 W AE
inayofikia|IY0 N AE Y OW0 F IY0 K IY0 AE
inayofikiwa|IY0 N AE Y OW0 F IY0 K IY0 W AE
inayofuata|IY0 N AE Y OW0 F UW0 AE T AE
inayofuatia|IY0 N AE Y OW0 F UW0 AE T IY0 AE
inayofuatwa|IY0 N AE Y OW0 F UW0 AE T W AE
inayofunika|IY0 N AE Y OW0 F UW0 N IY0 K AE
inayoharami|IY0 N AE Y OW0 HH AE R AE M IY0
inayohusia|IY0 N AE Y OW0 HH UW0 S IY0 AE
inayohusiana|IY0 N AE Y OW0 HH UW0 S IY0 AE N AE
inayohusika|IY0 N AE Y OW0 HH UW0 S IY0 K AE
inayohusikan|IY0 N AE Y OW0 HH UW0 S IY0 K AE N
inayohusu|IY0 N AE Y OW0 HH UW0 S UW0
inayoimaris|IY0 N AE Y OW0 IY0 M AE R IY0 S
inayoinama|IY0 N AE Y OW0 IY0 N AE M AE
inayoinyesh|IY0 N AE Y OW0 IY0 N IY0 EH0 SH
inayoitwa|IY0 N AE Y OW0 IY0 T W AE
inayokamilisha|IY0 N AE Y OW0 K AE M IY0 L IY0 SH AE
inayokata|IY0 N AE Y OW0 K AE T AE
inayokatwa|IY0 N AE Y OW0 K AE T W AE
inayokaza|IY0 N AE Y OW0 K AE Z AE
inayokitwa|IY0 N AE Y OW0 K IY0 T W AE
inayokua|IY0 N AE Y OW0 K UW0 AE
inayokufa|IY0 N AE Y OW0 K UW0 F AE
inayokusany|IY0 N AE Y OW0 K UW0 S AE N IY0
inayokutana|IY0 N AE Y OW0 K UW0 T AE N AE
inayokuweko|IY0 N AE Y OW0 K UW0 W EH0 K OW0
inayoleta|IY0 N AE Y OW0 L EH0 T AE
inayoletwa|IY0 N AE Y OW0 L EH0 T W AE
inayolia|IY0 N AE Y OW0 L IY0 AE
inayolimwa|IY0 N AE Y OW0 L IY0 M W AE
inayolipwa|IY0 N AE Y OW0 L IY0 P W AE
inayolumiwa|IY0 N AE Y OW0 L UW0 M IY0 W AE
inayomea|IY0 N AE Y OW0 M EH0 AE
inayomfanya|IY0 N AE Y OW0 M F AE N IY0 AE
inayomilikiwa|IY0 N AE Y OW0 M IY0 L IY0 K IY0 W AE
inayompa|IY0 N AE Y OW0 M P AE
inayomruhusu|IY0 N AE Y OW0 M R UW0 HH UW0 S UW0
inayomtakasa|IY0 N AE Y OW0 M T AE K AE S AE
inayomtokelea|IY0 N AE Y OW0 M T OW0 K EH0 L EH0 AE
inayomwamini|IY0 N AE Y OW0 M W AE M IY0 N IY0
inayomwezesha|IY0 N AE Y OW0 M W EH0 Z EH0 SH AE
inayong|aa IY0 N AE Y OW0 NG AE AE
inayonisonona|IY0 N AE Y OW0 N IY0 S OW0 N OW0 N AE
inayonunuliwa|IY0 N AE Y OW0 N UW0 N UW0 L IY0 W AE
inayonyang|any IY0 N AE Y OW0 N IY0 AE NG AE N IY0
inayonyesha|IY0 N AE Y OW0 N IY0 EH0 SH AE
inayonyonywa|IY0 N AE Y OW0 N IY0 OW0 N IY0 W AE
inayoonekan|IY0 N AE Y OW0 OW0 N EH0 K AE N
inayoonyesh|IY0 N AE Y OW0 OW0 N IY0 EH0 SH
inayoonyeshwa|IY0 N AE Y OW0 OW0 N IY0 EH0 SH W AE
inayoota|IY0 N AE Y OW0 OW0 T AE
inayopakana|IY0 N AE Y OW0 P AE K AE N AE
inayopakwa|IY0 N AE Y OW0 P AE K W AE
inayopatika|IY0 N AE Y OW0 P AE T IY0 K AE
inayopelekwa|IY0 N AE Y OW0 P EH0 L EH0 K W AE
inayopeperush|IY0 N AE Y OW0 P EH0 P EH0 R UW0 SH
inayopewa|IY0 N AE Y OW0 P EH0 W AE
inayopitisha|IY0 N AE Y OW0 P IY0 T IY0 SH AE
inayopitishwa|IY0 N AE Y OW0 P IY0 T IY0 SH W AE
inayopitiwa|IY0 N AE Y OW0 P IY0 T IY0 W AE
inayopitwa|IY0 N AE Y OW0 P IY0 T W AE
inayopokea|IY0 N AE Y OW0 P OW0 K EH0 AE
inayopwaya|IY0 N AE Y OW0 P W AE Y AE
inayorithiwa|IY0 N AE Y OW0 R IY0 TH IY0 W AE
inayoruhusu|IY0 N AE Y OW0 R UW0 HH UW0 S UW0
inayosafirisha|IY0 N AE Y OW0 S AE F IY0 R IY0 SH AE
inayosali|IY0 N AE Y OW0 S AE L IY0
inayosemeka|IY0 N AE Y OW0 S EH0 M EH0 K AE
inayosemwa|IY0 N AE Y OW0 S EH0 M W AE
inayoshika|IY0 N AE Y OW0 SH IY0 K AE
inayoshikamani|IY0 N AE Y OW0 SH IY0 K AE M AE N IY0
inayoshikilia|IY0 N AE Y OW0 SH IY0 K IY0 L IY0 AE
inayoshikiliwa|IY0 N AE Y OW0 SH IY0 K IY0 L IY0 W AE
inayoshikwa|IY0 N AE Y OW0 SH IY0 K W AE
inayoshiriki|IY0 N AE Y OW0 SH IY0 R IY0 K IY0
inayoshonew|IY0 N AE Y OW0 SH OW0 N EH0 W
inayoshonwa|IY0 N AE Y OW0 SH OW0 N W AE
inayosikika|IY0 N AE Y OW0 S IY0 K IY0 K AE
inayosimama|IY0 N AE Y OW0 S IY0 M AE M AE
inayosimamia|IY0 N AE Y OW0 S IY0 M AE M IY0 AE
inayosimamishw|IY0 N AE Y OW0 S IY0 M AE M IY0 SH W
inayosimuliwa|IY0 N AE Y OW0 S IY0 M UW0 L IY0 W AE
inayosomwa|IY0 N AE Y OW0 S OW0 M W AE
inayostahili|IY0 N AE Y OW0 S T AE HH IY0 L IY0
inayostawi|IY0 N AE Y OW0 S T AE W IY0
inayosukwa|IY0 N AE Y OW0 S UW0 K W AE
inayoswaliw|IY0 N AE Y OW0 S W AE L IY0 W
inayotakikana|IY0 N AE Y OW0 T AE K IY0 K AE N AE
inayotakiwa|IY0 N AE Y OW0 T AE K IY0 W AE
inayotawaliw|IY0 N AE Y OW0 T AE W AE L IY0 W
inayotekwa|IY0 N AE Y OW0 T EH0 K W AE
inayoteleza|IY0 N AE Y OW0 T EH0 L EH0 Z AE
inayotia|IY0 N AE Y OW0 T IY0 AE
inayotiwa|IY0 N AE Y OW0 T IY0 W AE
inayotoa|IY0 N AE Y OW0 T OW0 AE
inayotoka|IY0 N AE Y OW0 T OW0 K AE
inayotokana|IY0 N AE Y OW0 T OW0 K AE N AE
inayotokea|IY0 N AE Y OW0 T OW0 K EH0 AE
inayotokeza|IY0 N AE Y OW0 T OW0 K EH0 Z AE
inayotolewa|IY0 N AE Y OW0 T OW0 L EH0 W AE
inayotoshel|IY0 N AE Y OW0 T OW0 SH EH0 L
inayotoswa|IY0 N AE Y OW0 T OW0 S W AE
inayotozwa|IY0 N AE Y OW0 T OW0 Z W AE
inayotumaini|IY0 N AE Y OW0 T UW0 M AE IY0 N IY0
inayotumia|IY0 N AE Y OW0 T UW0 M IY0 AE
inayotumika|IY0 N AE Y OW0 T UW0 M IY0 K AE
inayotumiwa|IY0 N AE Y OW0 T UW0 M IY0 W AE
inayotung|a IY0 N AE Y OW0 T UW0 NG AE
inayoua|IY0 N AE Y OW0 UW0 AE
inayovaliwa|IY0 N AE Y OW0 V AE L IY0 W AE
inayovuwata|IY0 N AE Y OW0 V UW0 W AE T AE
inayowafanye|IY0 N AE Y OW0 W AE F AE N IY0 EH0
inayowaka|IY0 N AE Y OW0 W AE K AE
inayowakawaka|IY0 N AE Y OW0 W AE K AE W AE K AE
inayowakili|IY0 N AE Y OW0 W AE K IY0 L IY0
inayowakutanis|IY0 N AE Y OW0 W AE K UW0 T AE N IY0 S
inayowapata|IY0 N AE Y OW0 W AE P AE T AE
inayoweka|IY0 N AE Y OW0 W EH0 K AE
inayowekwa|IY0 N AE Y OW0 W EH0 K W AE
inayoweza|IY0 N AE Y OW0 W EH0 Z AE
inayowezesha|IY0 N AE Y OW0 W EH0 Z EH0 SH AE
inayozuia|IY0 N AE Y OW0 Z UW0 IY0 AE
inayozuiliwa|IY0 N AE Y OW0 Z UW0 IY0 L IY0 W AE
inchi|IY0 N T SH IY0
inesha|IY0 N EH0 SH AE
ing|arayo IY0 NG AE R AE Y OW0
ini|IY0 N IY0
inifikie|IY0 N IY0 F IY0 K IY0 EH0
inika|IY0 N IY0 K AE
inipasavyo|IY0 N IY0 P AE S AE V Y OW0
inkishafi|IY0 N K IY0 SH AE F IY0
inna|IY0 N N AE
insafu|IY0 N S AE F UW0
insha|IY0 N SH AE
inshallah|IY0 N SH AE L L AE HH
insi|IY0 N S IY0
inspekta|IY0 N S P EH0 K T AE
inti|IY0 N T IY0
inua|IY0 N UW0 AE
inueni|IY0 N UW0 EH0 N IY0
inuka|IY0 N UW0 K AE
inukainuka|IY0 N UW0 K AE IY0 N UW0 K AE
inukia|IY0 N UW0 K IY0 AE
inuliwa|IY0 N UW0 L IY0 W AE
inyeshe|IY0 N IY0 EH0 SH EH0
inyunyiziwe|IY0 N IY0 UW0 N IY0 IY0 Z IY0 W EH0
io|IY0 OW0
ionekane|IY0 OW0 N EH0 K AE N EH0
ionyeshayo|IY0 OW0 N IY0 EH0 SH AE Y OW0
ionyeshe|IY0 OW0 N IY0 EH0 SH EH0
iotayo|IY0 OW0 T AE Y OW0
ipakuliwe|IY0 P AE K UW0 L IY0 W EH0
ipasavyo|IY0 P AE S AE V Y OW0
ipasuke|IY0 P AE S UW0 K EH0
ipate|IY0 P AE T EH0
ipatikanayo|IY0 P AE T IY0 K AE N AE Y OW0
ipe|IY0 P EH0
ipi|IY0 P IY0
ipitayo|IY0 P IY0 T AE Y OW0
ipite|IY0 P IY0 T EH0
ipitiayo|IY0 P IY0 T IY0 AE Y OW0
ipo|IY0 P OW0
ipokee|IY0 P OW0 K EH0 EH0
iponye|IY0 P OW0 N IY0 EH0
ipotee|IY0 P OW0 T EH0 EH0
ipu|IY0 P UW0
ipua|IY0 P UW0 AE
ipya|IY0 P Y AE
irapu|IY0 R AE P UW0
irukeruke|IY0 R UW0 K EH0 R UW0 K EH0
isemavyo|IY0 S EH0 M AE V Y OW0
isemayo|IY0 S EH0 M AE Y OW0
isemwayo|IY0 S EH0 M W AE Y OW0
isha|IY0 SH AE
ishakuwa|IY0 SH AE K UW0 W AE
ishara|IY0 SH AE R AE
ishi|IY0 SH IY0
ishia|IY0 SH IY0 AE
ishilio|IY0 SH IY0 L IY0 OW0
ishilizia|IY0 SH IY0 L IY0 Z IY0 AE
ishini|IY0 SH IY0 N IY0
ishirini|IY0 SH IY0 R IY0 N IY0
ishiwa|IY0 SH IY0 W AE
isi|IY0 S IY0
isichafuke|IY0 S IY0 T SH AE F UW0 K EH0
isichanike|IY0 S IY0 T SH AE N IY0 K EH0
isichome|IY0 S IY0 T SH OW0 M EH0
isielemee|IY0 S IY0 EH0 L EH0 M EH0 EH0
isieleweke|IY0 S IY0 EH0 L EH0 W EH0 K EH0
isienee|IY0 S IY0 EH0 N EH0 EH0
isifae|IY0 S IY0 F AE EH0
isiitawale|IY0 S IY0 IY0 T AE W AE L EH0
isikae|IY0 S IY0 K AE EH0
isikie|IY0 S IY0 K IY0 EH0
isikikanayo|IY0 S IY0 K IY0 K AE N AE Y OW0
isimame|IY0 S IY0 M AE M EH0
isimu|IY0 S IY0 M UW0
isinyeshe|IY0 S IY0 N IY0 EH0 SH EH0
isiostahili|IY0 S IY0 OW0 S T AE HH IY0 L IY0
isioze|IY0 S IY0 OW0 Z EH0
isipate|IY0 S IY0 P AE T EH0
isipokufa|IY0 S IY0 P OW0 K UW0 F AE
isipokuwa|IY0 S IY0 P OW0 K UW0 W AE
isisimame|IY0 S IY0 S IY0 M AE M EH0
isisitizwe|IY0 S IY0 S IY0 T IY0 Z W EH0
isitikisike|IY0 S IY0 T IY0 K IY0 S IY0 K EH0
isitoshe|IY0 S IY0 T OW0 SH EH0
isitupe|IY0 S IY0 T UW0 P EH0
isivyo|IY0 S IY0 V Y OW0
isivyostahili|IY0 S IY0 V Y OW0 S T AE HH IY0 L IY0
isiwe|IY0 S IY0 W EH0
isiweko|IY0 S IY0 W EH0 K OW0
isiyepevuka|IY0 S IY0 Y EH0 P EH0 V UW0 K AE
isiyo|IY0 S IY0 Y OW0
isiyoamini|IY0 S IY0 Y OW0 AE M IY0 N IY0
isiyochachwa|IY0 S IY0 Y OW0 T SH AE T SH W AE
isiyochakaa|IY0 S IY0 Y OW0 T SH AE K AE AE
isiyochukiza|IY0 S IY0 Y OW0 T SH UW0 K IY0 Z AE
isiyochukuli|IY0 S IY0 Y OW0 T SH UW0 K UW0 L IY0
isiyoelezek|IY0 S IY0 Y OW0 EH0 L EH0 Z EH0 K
isiyofaa|IY0 S IY0 Y OW0 F AE AE
isiyofanana|IY0 S IY0 Y OW0 F AE N AE N AE
isiyofanikiwa|IY0 S IY0 Y OW0 F AE N IY0 K IY0 W AE
isiyofanya|IY0 S IY0 Y OW0 F AE N IY0 AE
isiyofanywa|IY0 S IY0 Y OW0 F AE N IY0 W AE
isiyofaulu|IY0 S IY0 Y OW0 F AE UW0 L UW0
isiyofifia|IY0 S IY0 Y OW0 F IY0 F IY0 AE
isiyofikia|IY0 S IY0 Y OW0 F IY0 K IY0 AE
isiyofuata|IY0 S IY0 Y OW0 F UW0 AE T AE
isiyoiva|IY0 S IY0 Y OW0 IY0 V AE
isiyokaa|IY0 S IY0 Y OW0 K AE AE
isiyokamilika|IY0 S IY0 Y OW0 K AE M IY0 L IY0 K AE
isiyokata|IY0 S IY0 Y OW0 K AE T AE
isiyokazana|IY0 S IY0 Y OW0 K AE Z AE N AE
isiyokomaa|IY0 S IY0 Y OW0 K OW0 M AE AE
isiyokuwa|IY0 S IY0 Y OW0 K UW0 W AE
isiyompatia|IY0 S IY0 Y OW0 M P AE T IY0 AE
isiyompelek|IY0 S IY0 Y OW0 M P EH0 L EH0 K
isiyonona|IY0 S IY0 Y OW0 N OW0 N AE
isiyonyoka|IY0 S IY0 Y OW0 N IY0 OW0 K AE
isiyonyooka|IY0 S IY0 Y OW0 N IY0 OW0 OW0 K AE
isiyoona|IY0 S IY0 Y OW0 OW0 N AE
isiyoota|IY0 S IY0 Y OW0 OW0 T AE
isiyoparuza|IY0 S IY0 Y OW0 P AE R UW0 Z AE
isiyopikwa|IY0 S IY0 Y OW0 P IY0 K W AE
isiyoruhusi|IY0 S IY0 Y OW0 R UW0 HH UW0 S IY0
isiyoruhusu|IY0 S IY0 Y OW0 R UW0 HH UW0 S UW0
isiyosikikana|IY0 S IY0 Y OW0 S IY0 K IY0 K AE N AE
isiyotahiri|IY0 S IY0 Y OW0 T AE HH IY0 R IY0
isiyotamu|IY0 S IY0 Y OW0 T AE M UW0
isiyotawali|IY0 S IY0 Y OW0 T AE W AE L IY0
isiyotulia|IY0 S IY0 Y OW0 T UW0 L IY0 AE
isiyoweza|IY0 S IY0 Y OW0 W EH0 Z AE
isiyozaa|IY0 S IY0 Y OW0 Z AE AE
isiyozuiwa|IY0 S IY0 Y OW0 Z UW0 IY0 W AE
isizimwe|IY0 S IY0 Z IY0 M W EH0
isokuwa|IY0 S OW0 K UW0 W AE
isomwapo|IY0 S OW0 M W AE P OW0
istarko|IY0 S T AE R K OW0
istiara|IY0 S T IY0 AE R AE
istiimari|IY0 S T IY0 IY0 M AE R IY0
istilahi|IY0 S T IY0 L AE HH IY0
istiska|IY0 S T IY0 S K AE
istiskaa|IY0 S T IY0 S K AE AE
istiwai|IY0 S T IY0 W AE IY0
istlahi|IY0 S T L AE HH IY0
isto|IY0 S T OW0
iswaliwayo|IY0 S W AE L IY0 W AE Y OW0
ita|IY0 T AE
itaachwa|IY0 T AE AE T SH W AE
itacheza|IY0 T AE T SH EH0 Z AE
itachezwa|IY0 T AE T SH EH0 Z W AE
itachukuliwa|IY0 T AE T SH UW0 K UW0 L IY0 W AE
itafaa|IY0 T AE F AE AE
itafanya|IY0 T AE F AE N IY0 AE
itafanyika|IY0 T AE F AE N IY0 IY0 K AE
itafuta|IY0 T AE F UW0 T AE
itaitwa|IY0 T AE IY0 T W AE
itakaa|IY0 T AE K AE AE
itakapofika|IY0 T AE K AE P OW0 F IY0 K AE
itakapokamil|IY0 T AE K AE P OW0 K AE M IY0 L
itakapokutana|IY0 T AE K AE P OW0 K UW0 T AE N AE
itakapokuwa|IY0 T AE K AE P OW0 K UW0 W AE
itakapokwis|IY0 T AE K AE P OW0 K W IY0 S
itakapolia|IY0 T AE K AE P OW0 L IY0 AE
itakapomalizik|IY0 T AE K AE P OW0 M AE L IY0 Z IY0 K
itakapong|o IY0 T AE K AE P OW0 NG OW0
itakapopita|IY0 T AE K AE P OW0 P IY0 T AE
itakaposafiri|IY0 T AE K AE P OW0 S AE F IY0 R IY0
itakapotimi|IY0 T AE K AE P OW0 T IY0 M IY0
itakaswe|IY0 T AE K AE S W EH0
itakavyokuwa|IY0 T AE K AE V Y OW0 K UW0 W AE
itakayo|IY0 T AE K AE Y OW0
itakayofwata|IY0 T AE K AE Y OW0 F W AE T AE
itakayompen|IY0 T AE K AE Y OW0 M P EH0 N
itakayoonyes|IY0 T AE K AE Y OW0 OW0 N IY0 EH0 S
itakayoonyesh|IY0 T AE K AE Y OW0 OW0 N IY0 EH0 SH
itakayoshiriki|IY0 T AE K AE Y OW0 SH IY0 R IY0 K IY0
itakayotokea|IY0 T AE K AE Y OW0 T OW0 K EH0 AE
itakayotolew|IY0 T AE K AE Y OW0 T OW0 L EH0 W
itakayoweza|IY0 T AE K AE Y OW0 W EH0 Z AE
itakolezwa|IY0 T AE K OW0 L EH0 Z W AE
itakuamsha|IY0 T AE K UW0 AE M SH AE
itakufa|IY0 T AE K UW0 F AE
itakufahami|IY0 T AE K UW0 F AE HH AE M IY0
itakula|IY0 T AE K UW0 L AE
itakuwa|IY0 T AE K UW0 W AE
italaaniwa|IY0 T AE L AE AE N IY0 W AE
italazimu|IY0 T AE L AE Z IY0 M UW0
italiani|IY0 T AE L IY0 AE N IY0
italiki|IY0 T AE L IY0 K IY0
itamenyana|IY0 T AE M EH0 N IY0 AE N AE
itamfanya|IY0 T AE M F AE N IY0 AE
itamlazimu|IY0 T AE M L AE Z IY0 M UW0
itamwimaris|IY0 T AE M W IY0 M AE R IY0 S
itana|IY0 T AE N AE
itaniimarish|IY0 T AE N IY0 IY0 M AE R IY0 SH
itanilazimu|IY0 T AE N IY0 L AE Z IY0 M UW0
itanyesha|IY0 T AE N IY0 EH0 SH AE
itaonekana|IY0 T AE OW0 N EH0 K AE N AE
itapatikana|IY0 T AE P AE T IY0 K AE N AE
itapita|IY0 T AE P IY0 T AE
itapitwa|IY0 T AE P IY0 T W AE
itasemwa|IY0 T AE S EH0 M W AE
itatiririka|IY0 T AE T IY0 R IY0 R IY0 K AE
itatoa|IY0 T AE T OW0 AE
itatoweka|IY0 T AE T OW0 W EH0 K AE
itatueleza|IY0 T AE T UW0 EH0 L EH0 Z AE
itatumia|IY0 T AE T UW0 M IY0 AE
itatupatia|IY0 T AE T UW0 P AE T IY0 AE
itatutakasa|IY0 T AE T UW0 T AE K AE S AE
itatutolea|IY0 T AE T UW0 T OW0 L EH0 AE
itavipasua|IY0 T AE V IY0 P AE S UW0 AE
itawachukua|IY0 T AE W AE T SH UW0 K UW0 AE
itawafaa|IY0 T AE W AE F AE AE
itawaimarish|IY0 T AE W AE IY0 M AE R IY0 SH
itawaka|IY0 T AE W AE K AE
itawale|IY0 T AE W AE L EH0
itawanyike|IY0 T AE W AE N IY0 IY0 K EH0
itawapasa|IY0 T AE W AE P AE S AE
itawapatia|IY0 T AE W AE P AE T IY0 AE
itawapatien|IY0 T AE W AE P AE T IY0 EH0 N
itawapeni|IY0 T AE W AE P EH0 N IY0
itawavamia|IY0 T AE W AE V AE M IY0 AE
itaweza|IY0 T AE W EH0 Z AE
itekelezwe|IY0 T EH0 K EH0 L EH0 Z W EH0
itifaki|IY0 T IY0 F AE K IY0
itika|IY0 T IY0 K AE
itikia|IY0 T IY0 K IY0 AE
itikio|IY0 T IY0 K IY0 OW0
itiko|IY0 T IY0 K OW0
itilo|IY0 T IY0 L OW0
itimie|IY0 T IY0 M IY0 EH0
itimizwe|IY0 T IY0 M IY0 Z W EH0
itiwayo|IY0 T IY0 W AE Y OW0
itiwe|IY0 T IY0 W EH0
ito|IY0 T OW0
itoe|IY0 T OW0 EH0
itokanayo|IY0 T OW0 K AE N AE Y OW0
itokayo|IY0 T OW0 K AE Y OW0
itokeapo|IY0 T OW0 K EH0 AE P OW0
itolewayo|IY0 T OW0 L EH0 W AE Y OW0
itoshe|IY0 T OW0 SH EH0
itoweke|IY0 T OW0 W EH0 K EH0
itu|IY0 T UW0
itulie|IY0 T UW0 L IY0 EH0
itumie|IY0 T UW0 M IY0 EH0
itumieni|IY0 T UW0 M IY0 EH0 N IY0
itumikayo|IY0 T UW0 M IY0 K AE Y OW0
itumiwayo|IY0 T UW0 M IY0 W AE Y OW0
iturea|IY0 T UW0 R EH0 AE
ituri|IY0 T UW0 R IY0
itwa|IY0 T W AE
iulizwe|IY0 UW0 L IY0 Z W EH0
iva|IY0 V AE
ivaliwayo|IY0 V AE L IY0 W AE Y OW0
ivisha|IY0 V IY0 SH AE
ivu|IY0 V UW0
ivume|IY0 V UW0 M EH0
ivute|IY0 V UW0 T EH0
ivutwayo|IY0 V UW0 T W AE Y OW0
iwa|IY0 W AE
iwafanye|IY0 W AE F AE N IY0 EH0
iwake|IY0 W AE K EH0
iwanase|IY0 W AE N AE S EH0
iwaokoa|IY0 W AE OW0 K OW0 AE
iwapasavyo|IY0 W AE P AE S AE V Y OW0
iwapate|IY0 W AE P AE T EH0
iwapo|IY0 W AE P OW0
iwashukie|IY0 W AE SH UW0 K IY0 EH0
iwavyo|IY0 W AE V Y OW0
iwawakie|IY0 W AE W AE K IY0 EH0
iwawezeshe|IY0 W AE W EH0 Z EH0 SH EH0
iwe|IY0 W EH0
iweke|IY0 W EH0 K EH0
iwekeeni|IY0 W EH0 K EH0 EH0 N IY0
iwekewe|IY0 W EH0 K EH0 W EH0
iwekwa|IY0 W EH0 K W AE
iwekwapo|IY0 W EH0 K W AE P OW0
iwekwayo|IY0 W EH0 K W AE Y OW0
iwezayo|IY0 W EH0 Z AE Y OW0
iweze|IY0 W EH0 Z EH0
iwezekanavyo|IY0 W EH0 Z EH0 K AE N AE V Y OW0
iwezekane|IY0 W EH0 Z EH0 K AE N EH0
iya|IY0 Y AE
iyepakwa|IY0 Y EH0 P AE K W AE
iza|IY0 Z AE
izae|IY0 Z AE EH0
izara|IY0 Z AE R AE
izia|IY0 Z IY0 AE
izo|IY0 Z OW0
izu|IY0 Z UW0
izwa|IY0 Z W AE
