a|AE
cōnsequutiō|K OW0 N S EH0 K UW T IY OW0
cōnsermōnor|K OW0 N S EH0 RRR M OW0 N OW0 RRR
cōnserva|K OW0 N S EH0 RRR UW AE
cōnserver|K OW0 N S EH0 RRR UW EH0 RRR
cōnservābilis|K OW0 N S EH0 RRR UW AE B IY L IY S
cōnservātiō|K OW0 N S EH0 RRR UW AE T IY OW0
cōnservātor|K OW0 N S EH0 RRR UW AE T OW0 RRR
cōnservātrīx|K OW0 N S EH0 RRR UW AE T RRR IY K S
cōnservātīve|K OW0 N S EH0 RRR UW AE T IY UW EH0
cōnservātīvus|K OW0 N S EH0 RRR UW AE T IY UW UW S
cōnservō|K OW0 N S EH0 RRR UW OW0
cōnsessiō|K OW0 N S EH0 S S IY OW0
cōnsidius|K OW0 N S IY D IY UW S
cōnsignō|K OW0 N S IY G N OW0
cōnsilior|K OW0 N S IY L IY OW0 RRR
cōnsilium|K OW0 N S IY L IY UW M
cōnsiliārius|K OW0 N S IY L IY AE RRR IY UW S
cōnsiliātor|K OW0 N S IY L IY AE T OW0 RRR
cōnsiliōsus|K OW0 N S IY L IY OW0 S UW S
cōnsilēscō|K OW0 N S IY L EH0 S K OW0
cōnsilīnum|K OW0 N S IY L IY N UW M
cōnsimilis|K OW0 N S IY M IY L IY S
cōnsimilō|K OW0 N S IY M IY L OW0
cōnsipiō|K OW0 N S IY P IY OW0
cōnsistō|K OW0 N S IY S T OW0
cōnsistōriānus|K OW0 N S IY S T OW0 RRR IY AE N UW S
cōnsobrīna|K OW0 N S OW0 B RRR IY N AE
cōnsobrīnus|K OW0 N S OW0 B RRR IY N UW S
cōnsocer|K OW0 N S OW0 K EH0 RRR
cōnsocius|K OW0 N S OW0 K IY UW S
cōnsociābilis|K OW0 N S OW0 K IY AE B IY L IY S
cōnsociātiō|K OW0 N S OW0 K IY AE T IY OW0
cōnsociō|K OW0 N S OW0 K IY OW0
cōnsolida|K OW0 N S OW0 L IY D AE
cōnsolidam|K OW0 N S OW0 L IY D AE M
cōnsolidā|K OW0 N S OW0 L IY D AE
cōnsolidās|K OW0 N S OW0 L IY D AE S
cōnsolidātiō|K OW0 N S OW0 L IY D AE T IY OW0
cōnsolidātor|K OW0 N S OW0 L IY D AE T OW0 RRR
cōnsolidīs|K OW0 N S OW0 L IY D IY S
cōnsolidō|K OW0 N S OW0 L IY D OW0
cōnsonant|K OW0 N S OW0 N AE N T
cōnsonus|K OW0 N S OW0 N UW S
cōnsonō|K OW0 N S OW0 N OW0
cōnsors|K OW0 N S OW0 RRR S
cōnsortiō|K OW0 N S OW0 RRR T IY OW0
cōnspargō|K OW0 N S P AE RRR G OW0
cōnspectus|K OW0 N S P EH0 K T UW S
cōnspergō|K OW0 N S P EH0 RRR G OW0
cōnspicillātus|K OW0 N S P IY K IY L L AE T UW S
cōnspiciō|K OW0 N S P IY K IY OW0
cōnspicor|K OW0 N S P IY K OW0 RRR
cōnspicua|K OW0 N S P IY K UW AE
cōnspicuus|K OW0 N S P IY K UW UW S
cōnspicuās|K OW0 N S P IY K UW AE S
cōnspicuō|K OW0 N S P IY K UW OW0
cōnspicābundus|K OW0 N S P IY K AE B UW N D UW S
cōnspondeō|K OW0 N S P OW0 N D EH0 OW0
cōnspuimur|K OW0 N S P UW IY M UW RRR
cōnspurcō|K OW0 N S P UW RRR K OW0
cōnspuō|K OW0 N S P UW OW0
cōnspīrātiō|K OW0 N S P IY RRR AE T IY OW0
cōnspīrō|K OW0 N S P IY RRR OW0
cōnspōnsor|K OW0 N S P OW0 N S OW0 RRR
cōnstabiliō|K OW0 N S T AE B IY L IY OW0
cōnstantia|K OW0 N S T AE N T IY AE
cōnstantīnopolis|K OW0 N S T AE N T IY N OW0 P OW0 L IY S
cōnstantīnopolītānus|K OW0 N S T AE N T IY N OW0 P OW0 L IY T AE N UW S
cōnstantīnopolītānōrum|K OW0 N S T AE N T IY N OW0 P OW0 L IY T AE N OW0 RRR UW M
cōnstantīnus|K OW0 N S T AE N T IY N UW S
cōnsternante|K OW0 N S T EH0 RRR N AE N T EH0
cōnstituent|K OW0 N S T IY T UW EH0 N T
cōnstitum|K OW0 N S T IY T UW M
cōnstituō|K OW0 N S T IY T UW OW0
cōnstitūtiō|K OW0 N S T IY T UW T IY OW0
cōnstitūtīve|K OW0 N S T IY T UW T IY UW EH0
cōnstitūtīvus|K OW0 N S T IY T UW T IY UW UW S
cōnstrictiō|K OW0 N S T RRR IY K T IY OW0
cōnstringō|K OW0 N S T RRR IY N G OW0
cōnstruō|K OW0 N S T RRR UW OW0
cōnstrūctiō|K OW0 N S T RRR UW K T IY OW0
cōnstupeō|K OW0 N S T UW P EH0 OW0
cōnstuprō|K OW0 N S T UW P RRR OW0
cōnstāns|K OW0 N S T AE N S
cōnstāte|K OW0 N S T AE T EH0
cōnstātō|K OW0 N S T AE T OW0
cōnstēllātiō|K OW0 N S T EH0 L L AE T IY OW0
cōnstīpō|K OW0 N S T IY P OW0
cōnstō|K OW0 N S T OW0
cōnsuantae|K OW0 N S UW AE N T AE EH0
cōnsubstantiālis|K OW0 N S UW B S T AE N T IY AE L IY S
cōnsul|K OW0 N S UW L
cōnsultam|K OW0 N S UW L T AE M
cōnsultandō|K OW0 N S UW L T AE N D OW0
cōnsultant|K OW0 N S UW L T AE N T
cōnsultante|K OW0 N S UW L T AE N T EH0
cōnsultantēs|K OW0 N S UW L T AE N T EH0 S
cōnsultem|K OW0 N S UW L T EH0 M
cōnsultum|K OW0 N S UW L T UW M
cōnsultus|K OW0 N S UW L T UW S
cōnsultā|K OW0 N S UW L T AE
cōnsultārem|K OW0 N S UW L T AE RRR EH0 M
cōnsultārās|K OW0 N S UW L T AE RRR AE S
cōnsultārēs|K OW0 N S UW L T AE RRR EH0 S
cōnsultās|K OW0 N S UW L T AE S
cōnsultāsse|K OW0 N S UW L T AE S S EH0
cōnsultāssem|K OW0 N S UW L T AE S S EH0 M
cōnsultāssēs|K OW0 N S UW L T AE S S EH0 S
cōnsultātiō|K OW0 N S UW L T AE T IY OW0
cōnsultē|K OW0 N S UW L T EH0
cōnsultēs|K OW0 N S UW L T EH0 S
cōnsultōre|K OW0 N S UW L T OW0 RRR EH0
cōnsulāris|K OW0 N S UW L AE RRR IY S
cōnsulāriter|K OW0 N S UW L AE RRR IY T EH0 RRR
cōnsulāritās|K OW0 N S UW L AE RRR IY T AE S
cōnsulārius|K OW0 N S UW L AE RRR IY UW S
cōnsulātus|K OW0 N S UW L AE T UW S
cōnsulō|K OW0 N S UW L OW0
cōnsummātiō|K OW0 N S UW M M AE T IY OW0
cōnsummātor|K OW0 N S UW M M AE T OW0 RRR
cōnsummō|K OW0 N S UW M M OW0
cōnsurgō|K OW0 N S UW RRR G OW0
cōnsurrēctiō|K OW0 N S UW RRR RRR EH0 K T IY OW0
cōnsuādeō|K OW0 N S UW AE D EH0 OW0
cōnsuēfaciō|K OW0 N S UW EH0 F AE K IY OW0
cōnsuēscō|K OW0 N S UW EH0 S K OW0
cōnsuētum|K OW0 N S UW EH0 T UW M
cōnsuētūdō|K OW0 N S UW EH0 T UW D OW0
cōnsuō|K OW0 N S UW OW0
cōnsānēscō|K OW0 N S AE N EH0 S K OW0
cōnsānō|K OW0 N S AE N OW0
cōnsēmineus|K OW0 N S EH0 M IY N EH0 UW S
cōnsēminālis|K OW0 N S EH0 M IY N AE L IY S
cōnsēnsus|K OW0 N S EH0 N S UW S
cōnsēpiō|K OW0 N S EH0 P IY OW0
cōnsīderam|K OW0 N S IY D EH0 RRR AE M
cōnsīderandō|K OW0 N S IY D EH0 RRR AE N D OW0
cōnsīderantia|K OW0 N S IY D EH0 RRR AE N T IY AE
cōnsīderem|K OW0 N S IY D EH0 RRR EH0 M
cōnsīderā|K OW0 N S IY D EH0 RRR AE
cōnsīderābilis|K OW0 N S IY D EH0 RRR AE B IY L IY S
cōnsīderārem|K OW0 N S IY D EH0 RRR AE RRR EH0 M
cōnsīderārās|K OW0 N S IY D EH0 RRR AE RRR AE S
cōnsīderārēs|K OW0 N S IY D EH0 RRR AE RRR EH0 S
cōnsīderās|K OW0 N S IY D EH0 RRR AE S
cōnsīderāsse|K OW0 N S IY D EH0 RRR AE S S EH0
cōnsīderāssem|K OW0 N S IY D EH0 RRR AE S S EH0 M
cōnsīderāssēs|K OW0 N S IY D EH0 RRR AE S S EH0 S
cōnsīderātus|K OW0 N S IY D EH0 RRR AE T UW S
cōnsīderēs|K OW0 N S IY D EH0 RRR EH0 S
cōnsīderō|K OW0 N S IY D EH0 RRR OW0
cōnsīdēre|K OW0 N S IY D EH0 RRR EH0
cōnsīdō|K OW0 N S IY D OW0
cōnsōlor|K OW0 N S OW0 L OW0 RRR
cōnsōlābilis|K OW0 N S OW0 L AE B IY L IY S
cōnsōlāmen|K OW0 N S OW0 L AE M EH0 N
cōnsōlātiō|K OW0 N S OW0 L AE T IY OW0
cōnsōlātor|K OW0 N S OW0 L AE T OW0 RRR
cōnsōlātīvus|K OW0 N S OW0 L AE T IY UW UW S
cōnsōlātōrius|K OW0 N S OW0 L AE T OW0 RRR IY UW S
cōnsōlātōrī|K OW0 N S OW0 L AE T OW0 RRR IY
cōnsōlō|K OW0 N S OW0 L OW0
cōnsūmere|K OW0 N S UW M EH0 RRR EH0
cōnsūmptor|K OW0 N S UW M P T OW0 RRR
cōnsūmō|K OW0 N S UW M OW0
cōnsūtus|K OW0 N S UW T UW S
cōntiuncula|K OW0 N T IY UW N K UW L AE
cōntiō|K OW0 N T IY OW0
cōntiōnor|K OW0 N T IY OW0 N OW0 RRR
cōntiōnābundus|K OW0 N T IY OW0 N AE B UW N D UW S
cōntiōnālis|K OW0 N T IY OW0 N AE L IY S
cōntiōnārius|K OW0 N T IY OW0 N AE RRR IY UW S
cōnus|K OW0 N UW S
cōnābilis|K OW0 N AE B IY L IY S
cōnāmen|K OW0 N AE M EH0 N
cōnātiō|K OW0 N AE T IY OW0
cōnātō|K OW0 N AE T OW0
cōnītor|K OW0 N IY T OW0 RRR
cōnīum|K OW0 N IY UW M
cōnīventia|K OW0 N IY UW EH0 N T IY AE
cōnīveō|K OW0 N IY UW EH0 OW0
cōnūbium|K OW0 N UW B IY UW M
cōnūbiālis|K OW0 N UW B IY AE L IY S
cōpa|K OW0 P AE
cōpae|K OW0 P AE EH0
cōphēn|K OW0 P EH0 N
cōpia|K OW0 P IY AE
cōpiam|K OW0 P IY AE M
cōpiās|K OW0 P IY AE S
cōpiōsus|K OW0 P IY OW0 S UW S
cōpula|K OW0 P UW L AE
cōpulātiō|K OW0 P UW L AE T IY OW0
cōpulātrīx|K OW0 P UW L AE T RRR IY K S
cōpulō|K OW0 P UW L OW0
cōpāïs|K OW0 P AE IY S
cōpō|K OW0 P OW0
cōpōnius|K OW0 P OW0 N IY UW S
cōram|K OW0 RRR AE M
cōrs|K OW0 RRR S
cōrte|K OW0 RRR T EH0
cōrtī|K OW0 RRR T IY
cōrȳtos|K OW0 RRR Y UW1 T OW0 S
cōrȳtus|K OW0 RRR Y UW1 T UW S
cōs|K OW0 S
cōte|K OW0 T EH0
cōturnīx|K OW0 T UW RRR N IY K S
cũ|K UW M
cūbāna|K UW B AE N AE
cūbāne|K UW B AE N EH0
cūbānus|K UW B AE N UW S
cūbānās|K UW B AE N AE S
cūbānī|K UW B AE N IY
cūbānō|K UW B AE N OW0
cūbānōs|K UW B AE N OW0 S
cūcubō|K UW K UW B OW0
cūcūriō|K UW K UW RRR IY OW0
cūcūsus|K UW K UW S UW S
cūdendum|K UW D EH0 N D UW M
cūlus|K UW L UW S
cūlī|K UW L IY
cūlōs|K UW L OW0 S
cūmae|K UW M AE EH0
cūna|K UW N AE
cūnae|K UW N AE EH0
cūnaxa|K UW N AE K S AE
cūncta|K UW N K T AE
cūnctor|K UW N K T OW0 RRR
cūnctābundus|K UW N K T AE B UW N D UW S
cūnctātum|K UW N K T AE T UW M
cūnctō|K UW N K T OW0
cūnābulum|K UW N AE B UW L UW M
cūnīna|K UW N IY N AE
cūpreus|K UW P RRR EH0 UW S
cūpula|K UW P UW L AE
cūpō|K UW P OW0
cūra|K UW RRR AE
cūrae|K UW RRR AE EH0
cūrante|K UW RRR AE N T EH0
cūrias|K UW RRR IY AE S
cūriosolītēs|K UW RRR IY OW0 S OW0 L IY T EH0 S
cūriālis|K UW RRR IY AE L IY S
cūriātus|K UW RRR IY AE T UW S
cūriēnus|K UW RRR IY EH0 N UW S
cūriō|K UW RRR IY OW0
cūriōsitās|K UW RRR IY OW0 S IY T AE S
cūriōsus|K UW RRR IY OW0 S UW S
cūrātēla|K UW RRR AE T EH0 L AE
cūrō|K UW RRR OW0
cūsae|K UW S AE EH0
cūstos|K UW S T OW0 S
cū̆ba|K UW B AE
cū̆stōdia|K UW S T OW0 D IY AE
cū̆stōdiō|K UW S T OW0 D IY OW0
cū̆stōdēs|K UW S T OW0 D EH0 S
cȳaneus|K Y UW1 AE N EH0 UW S
cȳanēscēns|K Y UW1 AE N EH0 S K EH0 N S
cȳma|K Y UW1 M AE
cȳmaticus|K Y UW1 M AE T IY K UW S
cȳmatium|K Y UW1 M AE T IY UW M
cȳmē|K Y UW1 M EH0
cȳmōsus|K Y UW1 M OW0 S UW S
cȳnus|K Y UW1 N UW S
cȳphi|K Y UW1 P IY
cȳrus|K Y UW1 RRR UW S
cȳrēneus|K Y UW1 RRR EH0 N EH0 UW S
cȳrēnē|K Y UW1 RRR EH0 N EH0
cȳzicus|K Y UW1 Z Z IY K UW S
dabitha|D AE B IY T AE
dabla|D AE B L AE
dabrona|D AE B RRR OW0 N AE
dacrima|D AE K RRR IY M AE
dactylicus|D AE K T Y UW1 L IY K UW S
dactylifer|D AE K T Y UW1 L IY F EH0 RRR
dactylus|D AE K T Y UW1 L UW S
dactylō|D AE K T Y UW1 L OW0
daedalus|D AE EH0 D AE L UW S
daemoniacus|D AE EH0 M OW0 N IY AE K UW S
daemonicus|D AE EH0 M OW0 N IY K UW S
daemōn|D AE EH0 M OW0 N
daesitiātēs|D AE EH0 S IY T IY AE T EH0 S
dahūria|D AE HH UW RRR IY AE
dahūricus|D AE HH UW RRR IY K UW S
daix|D AE IY K S
dalecarlia|D AE L EH0 K AE RRR L IY AE
dalecarliēnsis|D AE L EH0 K AE RRR L IY EH0 N S IY S
dalivus|D AE L IY UW UW S
dalluntum|D AE L L UW N T UW M
dallāsium|D AE L L AE S IY UW M
dalmatia|D AE L M AE T IY AE
dalmaticus|D AE L M AE T IY K UW S
damascēnus|D AE M AE S K EH0 N UW S
damasippus|D AE M AE S IY P P UW S
damassī|D AE M AE S S IY
damastium|D AE M AE S T IY UW M
damastēs|D AE M AE S T EH0 S
damnia|D AE M N IY AE
damnificus|D AE M N IY F IY K UW S
damnor|D AE M N OW0 RRR
damnum|D AE M N UW M
damnābilis|D AE M N AE B IY L IY S
damnās|D AE M N AE S
damnātus|D AE M N AE T UW S
damnātīcius|D AE M N AE T IY K IY UW S
damnātōrius|D AE M N AE T OW0 RRR IY UW S
damnīs|D AE M N IY S
damnōsus|D AE M N OW0 S UW S
dampnum|D AE M P N UW M
danaba|D AE N AE B AE
danae|D AE N AE EH0
danapris|D AE N AE P RRR IY S
danaster|D AE N AE S T EH0 RRR
danaus|D AE N AE UW S
danaē|D AE N AE EH0
danaī|D AE N AE IY
dandacē|D AE N D AE K EH0
dandaguda|D AE N D AE G UW D AE
dandus|D AE N D UW S
dandōs|D AE N D OW0 S
dangalae|D AE N G AE L AE EH0
daniēl|D AE N IY EH0 L
daniēle|D AE N IY EH0 L EH0
danīsta|D AE N IY S T AE
danīsticus|D AE N IY S T IY K UW S
daoūria|D AE OW0 UW RRR IY AE
daoūricus|D AE OW0 UW RRR IY K UW S
daphnia|D AE P N IY AE
daphnōn|D AE P N OW0 N
daphnūs|D AE P N UW S
dapifex|D AE P IY F EH0 K S
dapinō|D AE P IY N OW0
daps|D AE P S
dapsilis|D AE P S IY L IY S
dapālis|D AE P AE L IY S
daradax|D AE RRR AE D AE K S
darae|D AE RRR AE EH0
dardanus|D AE RRR D AE N UW S
dardus|D AE RRR D UW S
dare|D AE RRR EH0
darienēnsis|D AE RRR IY EH0 N EH0 N S IY S
dariorigum|D AE RRR IY OW0 RRR IY G UW M
darmstadtium|D AE RRR M S T AE D T IY UW M
darī|D AE RRR IY
dascylium|D AE S K Y UW1 L IY UW M
dascūsa|D AE S K UW S AE
daseae|D AE S EH0 AE EH0
dassaretiī|D AE S S AE RRR EH0 T IY IY
dastarcum|D AE S T AE RRR K UW M
dasumius|D AE S UW M IY UW S
dasypūs|D AE S Y UW1 P UW S
dasēa|D AE S EH0 AE
data|D AE T AE
datam|D AE T AE M
datamēs|D AE T AE M EH0 S
date|D AE T EH0
dator|D AE T OW0 RRR
datum|D AE T UW M
datāria|D AE T AE RRR IY AE
datāriam|D AE T AE RRR IY AE M
datārius|D AE T AE RRR IY UW S
datāriās|D AE T AE RRR IY AE S
datās|D AE T AE S
datī|D AE T IY
datīvus|D AE T IY UW UW S
datō|D AE T OW0
datōrum|D AE T OW0 RRR UW M
daulis|D AE UW L IY S
dauūria|D AE UW UW RRR IY AE
dauūricus|D AE UW UW RRR IY K UW S
davūria|D AE UW UW RRR IY AE
davūrica|D AE UW UW RRR IY K AE
davūricae|D AE UW UW RRR IY K AE EH0
davūricam|D AE UW UW RRR IY K AE M
davūrice|D AE UW UW RRR IY K EH0
davūricum|D AE UW UW RRR IY K UW M
davūricus|D AE UW UW RRR IY K UW S
davūricārum|D AE UW UW RRR IY K AE RRR UW M
davūricās|D AE UW UW RRR IY K AE S
davūricī|D AE UW UW RRR IY K IY
davūricīs|D AE UW UW RRR IY K IY S
davūricō|D AE UW UW RRR IY K OW0
davūricōrum|D AE UW UW RRR IY K OW0 RRR UW M
davūricōs|D AE UW UW RRR IY K OW0 S
daūria|D AE UW RRR IY AE
daūricus|D AE UW RRR IY K UW S
dea|D EH0 AE
dealbō|D EH0 AE L B OW0
deambulat|D EH0 AE M B UW L AE T
deambulātiō|D EH0 AE M B UW L AE T IY OW0
deambulātōrium|D EH0 AE M B UW L AE T OW0 RRR IY UW M
deambulō|D EH0 AE M B UW L OW0
deamō|D EH0 AE M OW0
deargentō|D EH0 AE RRR G EH0 N T OW0
deaurō|D EH0 AE UW RRR OW0
debora|D EH0 B OW0 RRR AE
decachordum|D EH0 K AE K OW0 RRR D UW M
decadicus|D EH0 K AE D IY K UW S
decalogus|D EH0 K AE L OW0 G UW S
decapitō|D EH0 K AE P IY T OW0
deccanēnsis|D EH0 K K AE N EH0 N S IY S
decebalus|D EH0 K EH0 B AE L UW S
decem|D EH0 K EH0 M
december|D EH0 K EH0 M B EH0 RRR
decemlīneātus|D EH0 K EH0 M L IY N EH0 AE T UW S
decempeda|D EH0 K EH0 M P EH0 D AE
decemvir|D EH0 K EH0 M UW IY RRR
decemvirālis|D EH0 K EH0 M UW IY RRR AE L IY S
decemvirātus|D EH0 K EH0 M UW IY RRR AE T UW S
decennis|D EH0 K EH0 N N IY S
decennium|D EH0 K EH0 N N IY UW M
decentia|D EH0 K EH0 N T IY AE
decet|D EH0 K EH0 T
decetia|D EH0 K EH0 T IY AE
decibile|D EH0 K IY B IY L EH0
decibilem|D EH0 K IY B IY L EH0 M
decibilia|D EH0 K IY B IY L IY AE
decibilibus|D EH0 K IY B IY L IY B UW S
decibilior|D EH0 K IY B IY L IY OW0 RRR
decibilis|D EH0 K IY B IY L IY S
decibilissimus|D EH0 K IY B IY L IY S S IY M UW S
decibilium|D EH0 K IY B IY L IY UW M
decibilēs|D EH0 K IY B IY L EH0 S
decibilī|D EH0 K IY B IY L IY
decima|D EH0 K IY M AE
decimus|D EH0 K IY M UW S
decimā|D EH0 K IY M AE
decimālis|D EH0 K IY M AE L IY S
decimānus|D EH0 K IY M AE N UW S
decimātiō|D EH0 K IY M AE T IY OW0
decimō|D EH0 K IY M OW0
decius|D EH0 K IY UW S
decor|D EH0 K OW0 RRR
decorō|D EH0 K OW0 RRR OW0
decrius|D EH0 K RRR IY UW S
decumānus|D EH0 K UW M AE N UW S
decumō|D EH0 K UW M OW0
decuplus|D EH0 K UW P L UW S
decuria|D EH0 K UW RRR IY AE
decuriātiō|D EH0 K UW RRR IY AE T IY OW0
decus|D EH0 K UW S
decusse|D EH0 K UW S S EH0
decussis|D EH0 K UW S S IY S
decussō|D EH0 K UW S S OW0
decānō|D EH0 K AE N OW0
decānōs|D EH0 K AE N OW0 S
decās|D EH0 K AE S
decēris|D EH0 K EH0 RRR IY S
decōrus|D EH0 K OW0 RRR UW S
deerrō|D EH0 RRR RRR OW0
deeō|D EH0 EH0 OW0
dehauriō|D EH0 HH AE UW RRR IY OW0
dehinc|D EH0 HH IY N K
dehonestāmentum|D EH0 HH OW0 N EH0 S T AE M EH0 N T UW M
dehonestātiō|D EH0 HH OW0 N EH0 S T AE T IY OW0
dehonestō|D EH0 HH OW0 N EH0 S T OW0
dehortor|D EH0 HH OW0 RRR T OW0 RRR
deicīda|D EH0 IY K IY D AE
deiferus|D EH0 IY F EH0 RRR UW S
deificus|D EH0 IY F IY K UW S
deificātiō|D EH0 IY F IY K AE T IY OW0
deificō|D EH0 IY F IY K OW0
deifōrmis|D EH0 IY F OW0 RRR M IY S
deinceps|D EH0 IY N K EH0 P S
deipara|D EH0 IY P AE RRR AE
deitās|D EH0 IY T AE S
deitūrus|D EH0 IY T UW RRR UW S
deivos|D EH0 IY UW OW0 S
delavāria|D EH0 L AE UW AE RRR IY AE
delgovitia|D EH0 L G OW0 UW IY T IY AE
delhiēnsis|D EH0 L HH IY EH0 N S IY S
dellius|D EH0 L L IY UW S
delminium|D EH0 L M IY N IY UW M
delphaciē|D EH0 L P AE K IY EH0
delphium|D EH0 L P IY UW M
delphīn|D EH0 L P IY N
delphīnus|D EH0 L P IY N UW S
delphīnēnsis|D EH0 L P IY N EH0 N S IY S
deltidia|D EH0 L T IY D IY AE
deltidium|D EH0 L T IY D IY UW M
demadēscō|D EH0 M AE D EH0 S K OW0
denda|D EH0 N D AE
dendrītis|D EH0 N D RRR IY T IY S
dent|D EH0 N T
denter|D EH0 N T EH0 RRR
denthēlēthī|D EH0 N T EH0 L EH0 T IY
denticollis|D EH0 N T IY K OW0 L L IY S
denticulus|D EH0 N T IY K UW L UW S
denticulātus|D EH0 N T IY K UW L AE T UW S
dentiferus|D EH0 N T IY F EH0 RRR UW S
dentifricium|D EH0 N T IY F RRR IY K IY UW M
dentigerus|D EH0 N T IY G EH0 RRR UW S
dentipēs|D EH0 N T IY P EH0 S
dentiscalpium|D EH0 N T IY S K AE L P IY UW M
dentālis|D EH0 N T AE L IY S
dentāneus|D EH0 N T AE N EH0 UW S
dentārius|D EH0 N T AE RRR IY UW S
dentātus|D EH0 N T AE T UW S
dentēs|D EH0 N T EH0 S
denverium|D EH0 N UW EH0 RRR IY UW M
deonerō|D EH0 OW0 N EH0 RRR OW0
depstīcius|D EH0 P S T IY K IY UW S
depsō|D EH0 P S OW0
der|D EH0 RRR
derangae|D EH0 RRR AE N G AE EH0
derasidēs|D EH0 RRR AE S IY D EH0 S
derbita|D EH0 RRR B IY T AE
derbiōsus|D EH0 RRR B IY OW0 S UW S
derbē|D EH0 RRR B EH0
dercetis|D EH0 RRR K EH0 T IY S
derrhium|D EH0 RRR RRR IY UW M
dertosa|D EH0 RRR T OW0 S AE
dertum|D EH0 RRR T UW M
dertōna|D EH0 RRR T OW0 N AE
derventiō|D EH0 RRR UW EH0 N T IY OW0
derxēnē|D EH0 RRR K S EH0 N EH0
desticius|D EH0 S T IY K IY UW S
desuviātēs|D EH0 S UW UW IY AE T EH0 S
det|D EH0 T
detumō|D EH0 T UW M OW0
deucaliōn|D EH0 UW K AE L IY OW0 N
deus|D EH0 UW S
devadē|D EH0 UW AE D EH0
develtus|D EH0 UW EH0 L T UW S
dexendrusī|D EH0 K S EH0 N D RRR UW S IY
deximontānī|D EH0 K S IY M OW0 N T AE N IY
dexippus|D EH0 K S IY P P UW S
dexius|D EH0 K S IY UW S
dexter|D EH0 K S T EH0 RRR
deī|D EH0 IY
deō|D EH0 OW0
deōrum|D EH0 OW0 RRR UW M
deōsculor|D EH0 OW0 S K UW L OW0 RRR
deūre|D EH0 UW RRR EH0
deūrō|D EH0 UW RRR OW0
deūtor|D EH0 UW T OW0 RRR
deū̆nx|D EH0 UW N K S
diablintī|D IY AE B L IY N T IY
diabolicus|D IY AE B OW0 L IY K UW S
diabolus|D IY AE B UW L UW S
diabāthrum|D IY AE B AE T RRR UW M
diabētae|D IY AE B EH0 T AE EH0
diabēticōrus|D IY AE B EH0 T IY K OW0 RRR UW S
diabētēs|D IY AE B EH0 T EH0 S
diadochos|D IY AE D OW0 K OW0 S
diadēma|D IY AE D EH0 M AE
diadēmātus|D IY AE D EH0 M AE T UW S
diaeresin|D IY AE EH0 RRR EH0 S IY N
diaeresis|D IY AE EH0 RRR EH0 S IY S
diaeta|D IY AE EH0 T AE
diaetārius|D IY AE EH0 T AE RRR IY UW S
diagorās|D IY AE G OW0 RRR AE S
diagōn|D IY AE G OW0 N
diagōnālis|D IY AE G OW0 N AE L IY S
dialecte|D IY AE L EH0 K T EH0
dialecticus|D IY AE L EH0 K T IY K UW S
dialectos|D IY AE L EH0 K T OW0 S
dialectus|D IY AE L EH0 K T UW S
dialectō|D IY AE L EH0 K T OW0
dialyton|D IY AE L Y UW1 T OW0 N
diametros|D IY AE M EH0 T RRR OW0 S
diapente|D IY AE P EH0 N T EH0
diaphanus|D IY AE P AE N UW S
diaphanēs|D IY AE P AE N EH0 S
diaphragma|D IY AE P RRR AE G M AE
diapsalma|D IY AE P S AE L M AE
diarrhoea|D IY AE RRR RRR OW0 EH0 AE
diarrhoeae|D IY AE RRR RRR OW0 EH0 AE EH0
diarrhoeās|D IY AE RRR RRR OW0 EH0 AE S
diarrhoicus|D IY AE RRR RRR OW0 IY K UW S
diatessarōn|D IY AE T EH0 S S AE RRR OW0 N
diatonicus|D IY AE T OW0 N IY K UW S
diatriba|D IY AE T RRR IY B AE
dibaphus|D IY B AE P UW S
dica|D IY K AE
dicaea|D IY K AE EH0 AE
dichorēus|D IY K OW0 RRR EH0 UW S
dichotomos|D IY K OW0 T OW0 M OW0 S
dichrōus|D IY K RRR OW0 UW S
dichōneutus|D IY K OW0 N EH0 UW T UW S
dicis|D IY K IY S
dicta|D IY K T AE
dictamnus|D IY K T AE M N UW S
dicticos|D IY K T IY K OW0 S
dictitō|D IY K T IY T OW0
dictiuncula|D IY K T IY UW N K UW L AE
dictiō|D IY K T IY OW0
dictiōnārium|D IY K T IY OW0 N AE RRR IY UW M
dictiōsus|D IY K T IY OW0 S UW S
dictus|D IY K T UW S
dictābolārium|D IY K T AE B OW0 L AE RRR IY UW M
dictāmen|D IY K T AE M EH0 N
dictāmina|D IY K T AE M IY N AE
dictāre|D IY K T AE RRR EH0
dictāta|D IY K T AE T AE
dictāte|D IY K T AE T EH0
dictātis|D IY K T AE T IY S
dictātiuncula|D IY K T AE T IY UW N K UW L AE
dictātiō|D IY K T AE T IY OW0
dictātor|D IY K T AE T OW0 RRR
dictātrīx|D IY K T AE T RRR IY K S
dictātīs|D IY K T AE T IY S
dictātōrius|D IY K T AE T OW0 RRR IY UW S
dictātūra|D IY K T AE T UW RRR AE
dictāverimus|D IY K T AE UW EH0 RRR IY M UW S
dictāveris|D IY K T AE UW EH0 RRR IY S
dictāveritis|D IY K T AE UW EH0 RRR IY T IY S
dictē|D IY K T EH0
dictūra|D IY K T UW RRR AE
dicā|D IY K AE
dicācitās|D IY K AE K IY T AE S
dicāculus|D IY K AE K UW L UW S
dicātiō|D IY K AE T IY OW0
dicēre|D IY K EH0 RRR EH0
dicō|D IY K OW0
