а|AA
довготерміновий|D AO UW AO T EH0 RRR M IY N AO V EH0 IY
довготривалий|D AO UW AO T RRR EH0 V AA L EH0 IY
довгочасний|D AO UW AO T AA S N EH0 IY
довгошиїй|D AO UW AO SH IH Y IY IY
довжина|D AO UW ZH EH0 N AA
довоєнний|D AO W AO Y EH N EH0 IY
довший|D AO UW SH EH0 IY
довідник|D AO V IY D N IH K
довіра|D AO V IY RRR AA
довірити|D AO V IY RRR EH0 T EH0
довірливий|D AO V IY RRR L EH0 V EH0 IY
довіряти|D AO V IY RRR AA T EH0
довічне|D AO V IY T N EH0
довічний|D AO V IY T N EH0 IY
догадатися|D AO AA D AA T EH0 S AA
догадуватися|D AO AA D UH V AA T EH0 S AA
догма|D AO M AA
догматичний|D AO M AA T IH T N EH0 IY
договір|D AO AO V IY RRR
договірний|D AO AO V IY RRR N EH0 IY
додавати|D AO D AA V AA T EH0
додати|D AO D AA T EH0
додатка|D AO D AA T K AA
додаткам|D AO D AA T K AA M
додатками|D AO D AA T K AA M EH0
додатках|D AO D AA T K AA HH
додатки|D AO D AA T K EH0
додатковий|D AO D AA T K AO V EH0 IY
додаткові|D AO D AA T K AO V IY
додатком|D AO D AA T K AO M
додатку|D AO D AA T K UH
додатків|D AO D AA T K IY UW
додаток|D AO D AA T AO K
додому|D AO D AO M UH
доживати|D AO ZH EH0 V AA T EH0
доза|D AO Z AA
дозволений|D AO Z W AO L EH0 N EH0 IY
дозволити|D AO Z W AO L EH0 T EH0
дозвольте|D AO Z W AO L T EH0
дозволяти|D AO Z W AO L AA T EH0
дозвіл|D AO Z V IY L
дозвілля|D AO Z V IY L AA
дозувати|D AO Z UH V AA T EH0
докладний|D AO K L AA D N EH0 IY
доконаний|D AO K AO N AA N EH0 IY
докторат|D AO K T AO RRR AA T
документ|D AO K UH M EH N T
документація|D AO K UH M EH0 N T AA T IY Y AA
документувати|D AO K UH M EH0 N T UH V AA T EH0
докупи|D OW0 K UW P EH0
долар|D AO L AA RRR
долина|D AO L IH N AA
долоне|D AO L AO N EH0
долонею|D AO L AO N EH0 Y UH
долонь|D AO L AO N
долоню|D AO L AO N UH
долоня|D AO L AO N AA
долоням|D AO L AO N AA M
долонями|D AO L AO N AA M EH0
долонях|D AO L AO N AA HH
долоні|D AO L AO N IY
долото|D AO L AO T AO
доля|D AO L AA
домашнє|D AO M AA SH N EH0
домашній|D AO M AA SH N IY IY
домен|D AO M EH N
дому|D AO M UH
домініка|D AO M IY N IY K AA
домініканський|D AO M IY N IY K AA N S K EH0 IY
донбас|D AO N B AA S
донець|D AO N EH T
донецьк|D AO N EH T K
донька|D AO N K AA
допитливий|D AO P IH T L EH0 V EH0 IY
доповнити|D AO P AO UW N EH0 T EH0
доповнювати|D AO P AO UW N UH V AA T EH0
допомагати|D AO P AO M AA AA T EH0
допомога|D AO P AO M AO AA
допомогти|D AO P AO M AO T IH
допускати|D AO P UH S K AA T EH0
допустимий|D AO P UH S T IH M EH0 IY
допустимість|D AO P UH S T IH M IY S T
допустити|D AO P UH S T IH T EH0
допізна|D OW0 P IY Z N AA
доречний|D AO RRR EH T N EH0 IY
дорога|D AO RRR AO AA
дорогий|D AO RRR AO IH IY
дороговказ|D AO RRR AO AO UW K AA Z
дорожній|D AO RRR AO ZH N IY IY
дорожчий|D AO RRR AO ZH T EH0 IY
доросла|D AO RRR AO S L AA
дорослий|D AO RRR AO S L EH0 IY
дорослішати|D AO RRR AO S L IY SH AA T EH0
доросліший|D AO RRR AO S L IY SH EH0 IY
доростати|D AO RRR AO S T AA T EH0
дорости|D AO RRR AO S T IH
доріжка|D OW0 RRR IY ZH K AA
досвід|D AO S V IY D
досвідчений|D AO S V IY D T EH0 N EH0 IY
досить|D AO S EH0 T
досконалий|D AO S K AO N AA L EH0 IY
досконалість|D AO S K AO N AA L IY S T
дослівний|D OW0 S L IY UW N EH0 IY
дослівно|D OW0 S L IY UW N AO
дослід|D AO S L IY D
дослідження|D OW0 S L IY D EH0 N AA
досліджувати|D OW0 S L IY D UH V AA T EH0
дослідити|D AO S L IY D IH T EH0
дослідник|D OW0 S L IY D N EH0 K
дослідниця|D OW0 S L IY D N EH0 T AA
доставити|D AO S T AA V EH0 T EH0
доставка|D AO S T AA UW K AA
доставляти|D AO S T AA UW L AA T EH0
достатньо|D AO S T AA T N AO
достатній|D AO S T AA T N IY IY
достатність|D AO S T AA T N IY S T
доступ|D AO S T UH P
доступний|D OW0 S T UW P N EH0 IY
доступність|D OW0 S T UW P N IY S T
досьє|D AO S Y EH
досягати|D AO S AA AA T EH0
досягнення|D AO S AA N EH0 N AA
досягти|D AO S AA T IH
досяжний|D AO S AA ZH N EH0 IY
досі|D AO S IY
доторкатися|D AO T AO RRR K AA T EH0 S AA
доторкнутися|D AO T OW0 RRR K N UW T EH0 S AA
дофамін|D AO F AA M IY N
доходити|D AO HH AO D EH0 T EH0
дохід|D OW0 HH IY D
доцільний|D OW0 T IY L N EH0 IY
дочка|D AO T K AA
дошка|D AO SH K AA
дошкам|D AO SH K AA M
дошками|D AO SH K AA M EH0
дошках|D AO SH K AA HH
дошки|D AO SH K EH0
дошко|D AO SH K AO
дошкою|D AO SH K AO Y UH
дошку|D AO SH K UH
дошці|D AO S T IY
дощ|D AO SH T
дощова|D AO SH T AO V AA
дощовий|D AO SH T AO V IH IY
дощок|D AO SH T AO K
доїжджати|D AO Y IY ZH D AA T EH0
доїти|D AO Y IY T EH0
доїхати|D AO Y IY HH AA T EH0
дракон|D RRR AA K AO N
драматургічний|D RRR AA M AA T UH RRR IY T N EH0 IY
драматургія|D RRR AA M AA T UH RRR IY Y AA
дратувати|D RRR AA T UH V AA T EH0
древній|D RRR EH UW N IY IY
дрижаки|D RRR EH0 ZH AA K IH
дрова|D RRR AO V AA
дровця|D RRR AO UW T AA
друг|D RRR UW
друга|D RRR UW AA
друге|D RRR UW EH0
другий|D RRR UW EH0 IY
другові|D RRR UW AO V IY
другом|D RRR UW AO M
другу|D RRR UW UH
друже|D RRR UW ZH EH0
дружелюбний|D RRR UH ZH EH0 L UW B N EH0 IY
дружелюбніший|D RRR UH ZH EH0 L UW B N IY SH EH0 IY
дружина|D RRR UH ZH IH N AA
дружити|D RRR UH ZH IH T EH0
друзям|D RRR UW Z AA M
друзями|D RRR UW Z AA M EH0
друзях|D RRR UW Z AA HH
друзі|D RRR UW Z IY
друзів|D RRR UW Z IY UW
друкарня|D RRR UH K AA RRR N AA
друкувати|D RRR UH K UH V AA T EH0
друкуватися|D RRR UH K UH V AA T EH0 S AA
дрібний|D RRR IY B N IH IY
дрівця|D RRR IY UW T AA
дріжджі|D RRR IY ZH D IY
дрізд|D RRR IY Z D
дрімати|D RRR IY M AA T EH0
дріт|D RRR IY T
дуб|D UW B
дубовий|D UH B AO V EH0 IY
дубові|D UH B AO V IY
дуже|D UW ZH EH0
дужий|D UW ZH EH0 IY
дума|D UW M AA
думати|D UW M AA T EH0
думка|D UW M K AA
думках|D UH M K AA HH
думку|D UW M K UH
дунай|D UH N AA IY
дупа|D UW P AA
дупло|D UH P L AO
дур|D UW RRR
дурень|D UW RRR EH0 N
дури|D UH RRR IH
дурисвіт|D UH RRR IH S V IY T
дурити|D UH RRR IH T EH0
дурний|D UH RRR N IH IY
дуріан|D UH RRR IY AA N
дурість|D UW RRR IY S T
дути|D UW T EH0
дух|D UW HH
духовенство|D UH HH AO V EH N S T W AO
духовний|D UH HH AO UW N EH0 IY
духівництво|D UH HH IY UW N IH T T W AO
душ|D UW SH
душа|D UH SH AA
душевний|D UH SH EH UW N EH0 IY
душевнохворий|D UH SH EH0 UW N AO HH W AO RRR EH0 IY
дядько|D AA D K AO
дядьо|D AA D AO
дядя|D AA D AA
дякувати|D AA K UH V AA T EH0
дякую|D AA K UH Y UH
дятел|D AA T EH0 L
діагноз|D IY AA N AO Z
діагностика|D IY AA N AO S T EH0 K AA
діагностичний|D IY AA N AO S T IH T N EH0 IY
діагностувати|D IY AA N AO S T UH V AA T EH0
діаграма|D IY AA RRR AA M AA
діалект|D IY AA L EH K T
діалог|D IY AA L AO
діаметрально|D IY AA M EH0 T RRR AA L N AO
діана|D IY AA N AA
діаспора|D IY AA S P AO RRR AA
діафрагм|D IY AA F RRR AA M
діафрагма|D IY AA F RRR AA M AA
діафрагмам|D IY AA F RRR AA M AA M
діафрагмами|D IY AA F RRR AA M AA M EH0
діафрагмах|D IY AA F RRR AA M AA HH
діафрагми|D IY AA F RRR AA M EH0
діафрагмо|D IY AA F RRR AA M AO
діафрагмою|D IY AA F RRR AA M AO Y UH
діафрагму|D IY AA F RRR AA M UH
діафрагмі|D IY AA F RRR AA M IY
дівер|D IY V EH0 RRR
дівка|D IY UW K AA
дівча|D IY UW T AA
дівчата|D IY UW T AA T AA
дівчина|D IY UW T IH N AA
дівчинка|D IY UW T EH0 N K AA
дід|D IY D
дідусь|D IY D UW S
дідух|D IY D UW HH
дізнаватися|D IY Z N AA V AA T EH0 S AA
дізнатися|D IY Z N AA T EH0 S AA
дійний|D IY IY N EH0 IY
дійсний|D IY IY S N EH0 IY
дійсність|D IY IY S N IY S T
дійти|D IY IY T IH
діл|D IY L
ділити|D IY L IH T EH0
діло|D IY L AO
діловий|D IY L AO V IH IY
діловодство|D IY L AO W AO D S T W AO
ділянка|D IY L AA N K AA
дім|D IY M
дір|D IY RRR
діра|D IY RRR AA
діри|D IY RRR IH
дірка|D IY RRR K AA
діставати|D IY S T AA V AA T EH0
діставатися|D IY S T AA V AA T EH0 S AA
дістати|D IY S T AA T EH0
дістатися|D IY S T AA T EH0 S AA
діти|D IY T EH0
дітки|D IY T K EH0
дітлах|D IY T L AA HH
дітлахи|D IY T L AA HH IH
діуретичний|D IY UH RRR EH0 T IH T N EH0 IY
дія|D IY Y AA
діяльний|D IY Y AA L N EH0 IY
діяльність|D IY Y AA L N IY S T
діяння|D IY Y AA N AA
діяти|D IY Y AA T EH0
дієвий|D IY Y EH V EH0 IY
дієвідміна|D IY Y EH0 V IY D M IY N AA
дієвідмінювання|D IY Y EH0 V IY D M IY N UH V AA N AA
дієприкметник|D IY Y EH0 P RRR EH0 K M EH T N EH0 K
дієприслівник|D IY Y EH0 P RRR EH0 S L IY UW N EH0 K
дієслово|D IY Y EH0 S L AO W AO
дієта|D IY Y EH T AA
дієтичний|D IY Y EH0 T IH T N EH0 IY
евакуація|EH0 V AA K UH AA T IY Y AA
евакуювати|EH0 V AA K UH Y UH V AA T EH0
еволюційний|EH0 W AO L UH T IY IY N EH0 IY
еволюціонувати|EH0 W AO L UH T IY AO N UH V AA T EH0
еволюція|EH0 W OW0 L UW T IY Y AA
евтаназія|EH0 UW T AA N AA Z IY Y AA
егоцентричний|EH0 AO T EH0 N T RRR IH T N EH0 IY
егоїзм|EH0 AO Y IY Z M
егоїстичний|EH0 AO Y IY S T IH T N EH0 IY
едо|EH D AO
ейфорія|EH0 IY F OW0 RRR IY Y AA
екваторіальний|EH0 K V AA T AO RRR IY AA L N EH0 IY
еквівалентний|EH0 K V IY V AA L EH N T N EH0 IY
екологічний|EH0 K AO L OW0 IY T N EH0 IY
екологія|EH0 K AO L AO IY Y AA
економити|EH0 K AO N AO M EH0 T EH0
економіка|EH0 K AO N AO M IY K AA
економіст|EH0 K AO N OW0 M IY S T
економічний|EH0 K AO N OW0 M IY T N EH0 IY
екосистем|EH0 K AO S EH0 S T EH M
екосистема|EH0 K AO S EH0 S T EH M AA
екран|EH0 K RRR AA N
ексгібіціонізм|EH0 G Z IY B IY T IY OW0 N IY Z M
ексгібіціоніст|EH0 G Z IY B IY T IY OW0 N IY S T
ексгібіціоністка|EH0 G Z IY B IY T IY OW0 N IY S T K AA
ексгібіціоністський|EH0 G Z IY B IY T IY OW0 N IY S K EH0 IY
ексклюзивний|EH0 K S K L UH Z IH UW N EH0 IY
екскурсовод|EH0 K S K UH RRR S AO W AO D
екскурсія|EH0 K S K UW RRR S IY Y AA
екслібрис|EH0 K S L IY B RRR EH0 S
експедицій|EH0 K S P EH0 D IH T IY IY
експедицію|EH0 K S P EH0 D IH T IY Y UH
експедиція|EH0 K S P EH0 D IH T IY Y AA
експедиціям|EH0 K S P EH0 D IH T IY Y AA M
експедиціями|EH0 K S P EH0 D IH T IY Y AA M EH0
експедиціях|EH0 K S P EH0 D IH T IY Y AA HH
експедиціє|EH0 K S P EH0 D IH T IY Y EH0
експедицією|EH0 K S P EH0 D IH T IY Y EH0 Y UH
експедиції|EH0 K S P EH0 D IH T IY Y IY
експеримент|EH0 K S P EH0 RRR EH0 M EH N T
експериментальний|EH0 K S P EH0 RRR EH0 M EH0 N T AA L N EH0 IY
експериментувати|EH0 K S P EH0 RRR EH0 M EH0 N T UH V AA T EH0
експерт|EH0 K S P EH RRR T
експертний|EH0 K S P EH RRR T N EH0 IY
експлуатація|EH0 K S P L UH AA T AA T IY Y AA
експлуатувати|EH0 K S P L UH AA T UH V AA T EH0
експозиція|EH0 K S P AO Z IH T IY Y AA
експонат|EH0 K S P AO N AA T
експорт|EH K S P AO RRR T
експортувати|EH0 K S P AO RRR T UH V AA T EH0
експрес|EH0 K S P RRR EH S
екстаз|EH0 K S T AA Z
екстатичний|EH0 K S T AA T IH T N EH0 IY
екстремальний|EH0 K S T RRR EH0 M AA L N EH0 IY
еластичний|EH0 L AA S T IH T N EH0 IY
елегантний|EH0 L EH0 AA N T N EH0 IY
елегантність|EH0 L EH0 AA N T N IY S T
електорат|EH0 L EH0 K T AO RRR AA T
електрик|EH0 L EH K T RRR EH0 K
електрика|EH0 L EH K T RRR EH0 K AA
електрифікація|EH0 L EH0 K T RRR EH0 F IY K AA T IY Y AA
електрифікувати|EH0 L EH0 K T RRR EH0 F IY K UH V AA T EH0
електричка|EH0 L EH0 K T RRR IH T K AA
електричний|EH0 L EH0 K T RRR IH T N EH0 IY
електромагнетизм|EH0 L EH0 K T RRR AO M AA N EH0 T IH Z M
електромагніт|EH0 L EH0 K T RRR AO M AA N IY T
електрон|EH0 L EH0 K T RRR AO N
електронний|EH0 L EH0 K T RRR AO N EH0 IY
елемент|EH0 L EH0 M EH N T
елементарний|EH0 L EH0 M EH0 N T AA RRR N EH0 IY
елефант|EH0 L EH0 F AA N T
ель|EH L
еліпс|EH L IY P S
емблема|EH0 M B L EH M AA
емблематичний|EH0 M B L EH0 M AA T IH T N EH0 IY
ембріон|EH0 M B RRR IY AO N
ембріональний|EH0 M B RRR IY AO N AA L N EH0 IY
емоцій|EH0 M AO T IY IY
емоційний|EH0 M OW0 T IY IY N EH0 IY
емоцію|EH0 M AO T IY Y UH
емоція|EH0 M AO T IY Y AA
емоціям|EH0 M AO T IY Y AA M
емоціями|EH0 M AO T IY Y AA M EH0
емоціях|EH0 M AO T IY Y AA HH
емоціє|EH0 M AO T IY Y EH0
емоцією|EH0 M AO T IY Y EH0 Y UH
емоції|EH0 M AO T IY Y IY
емпатія|EH0 M P AA T IY Y AA
емпіричний|EH0 M P IY RRR IH T N EH0 IY
ему|EH M UH
еміграційний|EH0 M IY RRR AA T IY IY N EH0 IY
еміграція|EH0 M IY RRR AA T IY Y AA
емігрувати|EH0 M IY RRR UH V AA T EH0
емілія|EH0 M IY L IY Y AA
ендокринна|EH0 N D AO K RRR IH N AA
ендокринний|EH0 N D AO K RRR IH N EH0 IY
ендокринологічний|EH0 N D AO K RRR EH0 N AO L OW0 IY T N EH0 IY
ендокринологія|EH0 N D AO K RRR EH0 N AO L AO IY Y AA
енергій|EH0 N EH RRR IY IY
енергію|EH0 N EH RRR IY Y UH
енергія|EH0 N EH RRR IY Y AA
енергіям|EH0 N EH RRR IY Y AA M
енергіями|EH0 N EH RRR IY Y AA M EH0
енергіях|EH0 N EH RRR IY Y AA HH
енергіє|EH0 N EH RRR IY Y EH0
енергією|EH0 N EH RRR IY Y EH0 Y UH
енергії|EH0 N EH RRR IY Y IY
ензим|EH0 N Z IH M
ентомолог|EH0 N T AO M AO L AO
ентомологічний|EH0 N T AO M AO L OW0 IY T N EH0 IY
ентомологія|EH0 N T AO M AO L AO IY Y AA
енциклопедист|EH0 N T EH0 K L AO P EH0 D IH S T
енциклопедистка|EH0 N T EH0 K L AO P EH0 D IH S T K AA
енциклопедичний|EH0 N T EH0 K L AO P EH0 D IH T N EH0 IY
енциклопедія|EH0 N T EH0 K L AO P EH D IY Y AA
епох|EH0 P AO HH
епоха|EH0 P AO HH AA
епохи|EH0 P AO HH EH0
епідеміолог|EH0 P IY D EH0 M IY AO L AO
епідеміологічний|EH0 P IY D EH0 M IY AO L OW0 IY T N EH0 IY
епідеміологія|EH0 P IY D EH0 M IY AO L AO IY Y AA
епідемічний|EH0 P IY D EH0 M IY T N EH0 IY
епідемія|EH0 P IY D EH M IY Y AA
епізод|EH0 P IY Z AO D
епізодичний|EH0 P IY Z AO D IH T N EH0 IY
епістемологія|EH0 P IY S T EH0 M AO L AO IY Y AA
епітет|EH0 P IY T EH0 T
епіфіз|EH0 P IY F IY Z
епічний|EH0 P IY T N EH0 IY
ера|EH RRR AA
еректильна|EH0 RRR EH0 K T IH L N AA
еректильний|EH0 RRR EH0 K T IH L N EH0 IY
ерекція|EH0 RRR EH K T IY Y AA
еротика|EH0 RRR AO T EH0 K AA
еротичний|EH0 RRR AO T IH T N EH0 IY
ескадрилья|EH0 S K AA D RRR IH L Y AA
ескалація|EH0 S K AA L AA T IY Y AA
естетика|EH0 S T EH T EH0 K AA
естетичний|EH0 S T EH0 T IH T N EH0 IY
естонський|EH0 S T AO N S K EH0 IY
естонія|EH0 S T AO N IY Y AA
етап|EH0 T AA P
етика|EH T EH0 K AA
етимолог|EH0 T EH0 M AO L AO
етимологічний|EH0 T EH0 M AO L OW0 IY T N EH0 IY
етимологія|EH0 T EH0 M AO L AO IY Y AA
етнограф|EH0 T N AO RRR AA F
етнічний|EH0 T N IY T N EH0 IY
ефект|EH0 F EH K T
ефективний|EH0 F EH0 K T IH UW N EH0 IY
ефективність|EH0 F EH0 K T IH UW N IY S T
ефіопія|EH0 F IY AO P IY Y AA
ефір|EH0 F IY RRR
еякулювати|EH0 Y AA K UH L UH V AA T EH0
еякулят|EH0 Y AA K UH L AA T
еякуляція|EH0 Y AA K UH L AA T IY Y AA
жаба|ZH AA B AA
жадний|ZH AA D N EH0 IY
жадоба|ZH AA D AO B AA
жадібний|ZH AA D IY B N EH0 IY
жало|ZH AA L AO
жалоба|ZH AA L AO B AA
жаль|ZH AA L
жанр|ZH AA N RRR
жарити|ZH AA RRR EH0 T EH0
жаркий|ZH AA RRR K IH IY
жарко|ZH AA RRR K AO
жарт|ZH AA RRR T
жартувати|ZH AA RRR T UH V AA T EH0
жасмин|ZH AA S M IH N
жати|ZH AA T EH0
жах|ZH AA HH
жахливий|ZH AA HH L IH V EH0 IY
жебрак|ZH EH0 B RRR AA K
желе|ZH EH0 L EH
женева|ZH EH0 N EH V AA
женевський|ZH EH0 N EH UW S K EH0 IY
женитися|ZH EH0 N IH T EH0 S AA
жених|ZH EH0 N IH HH
жертва|ZH EH RRR T V AA
живець|ZH EH0 V EH T
живий|ZH EH0 V IH IY
живопис|ZH EH0 W AO P EH0 S
живіт|ZH EH0 V IY T
жид|ZH IH D
жила|ZH IH L AA
жир|ZH IH RRR
житель|ZH IH T EH0 L
жителька|ZH IH T EH0 L K AA
жити|ZH IH T EH0
житло|ZH EH0 T L AO
житловий|ZH EH0 T L AO V IH IY
житній|ZH IH T N IY IY
жито|ZH IH T AO
житомир|ZH EH0 T AO M EH0 RRR
