a|AE
dubbingowałem|D AE B IY NG G AO V AE W EH M
dubbingowałeś|D AE B IY NG G AO V AE W EH SH
dubbingowało|D AE B IY NG G AO V AE W AO
dubbingowałoby|D AE B IY NG G AO V AE W AO B IH0
dubbingowały|D AE B IY NG G AO V AE W IH0
dubbingowałyby|D AE B IY NG G AO V AE W IH0 B IH0
dubbingowałybyście|D AE B IY NG G AO V AE W IH0 B IH0 SH T EH
dubbingowałybyśmy|D AE B IY NG G AO V AE W IH0 B IH0 SH M IH0
dubbingowałyście|D AE B IY NG G AO V AE W IH0 SH T EH
dubbingowałyśmy|D AE B IY NG G AO V AE W IH0 SH M IH0
dubbingowe|D AE B IY NG G AO V EH
dubbingowego|D AE B IY NG G AO V EH G AO
dubbingowej|D AE B IY NG G AO V EH Y
dubbingowemu|D AE B IY NG G AO V EH M UW
dubbingowi|D AE B IY NG G AO V IY
dubbingowy|D AE B IY NG G AO V IH0
dubbingowych|D AE B IY NG G AO V IH0 HH
dubbingowym|D AE B IY NG G AO V IH0 M
dubbingowymi|D AE B IY NG G AO V IH0 M IY
dubbingową|D AE B IY NG G AO V AO W
dubbingu|D AE B IY NG G UW
dubbinguj|D AE B IY NG G UW Y
dubbingujcie|D AE B IY NG G UW Y T EH
dubbinguje|D AE B IY NG G UW Y EH
dubbingujecie|D AE B IY NG G UW Y EH T EH
dubbingujemy|D AE B IY NG G UW Y EH M IH0
dubbingujesz|D AE B IY NG G UW Y EH SH
dubbingujmy|D AE B IY NG G UW Y M IH0
dubbingują|D AE B IY NG G UW Y AO W
dubbingując|D AE B IY NG G UW Y AO N T
dubbingująca|D AE B IY NG G UW Y AO N T AE
dubbingujące|D AE B IY NG G UW Y AO N T EH
dubbingującego|D AE B IY NG G UW Y AO N T EH G AO
dubbingującej|D AE B IY NG G UW Y AO N T EH Y
dubbingującemu|D AE B IY NG G UW Y AO N T EH M UW
dubbingujący|D AE B IY NG G UW Y AO N T IH0
dubbingujących|D AE B IY NG G UW Y AO N T IH0 HH
dubbingującym|D AE B IY NG G UW Y AO N T IH0 M
dubbingującymi|D AE B IY NG G UW Y AO N T IH0 M IY
dubbingującą|D AE B IY NG G UW Y AO N T AO W
dubbinguję|D AE B IY NG G UW Y EH
dubbingów|D AE B IY NG G UW F
dubec|D UW B EH T
dubel|D UW B EH L
dubeltówka|D UW B EH L T UW F K AE
dubiał|D UW B Y AE W
dubicki|D UW B IY T K IY
dubiec|D UW B Y EH T
dubiel|D UW B Y EH L
dubielewicz|D UW B Y EH L EH V IY T
dubień|D UW B Y EH N IY0
dubij|D UW B IY Y
dubil|D UW B IY L
dubilas|D UW B IY L AE S
dubiniec|D UW B IY N IY0 EH T
dubler|D UW B L EH RRR
dublerka|D UW B L EH RRR K AE
dublin|D UW B L IY N
dubliński|D UW B L IY N IY0 S K IY
dubn|D UW B N
dubna|D UW B N AE
dubowicz|D UW B AO V IY T
dubrownicki|D UW B RRR AO V N IY0 IY T K IY
dubrownik|D UW B RRR AO V N IY0 IY K
dubstep|D AE P S T EH P
duch|D UW HH
ducha|D UW HH AE
duchach|D UW HH AE HH
duchami|D UW HH AE M IY
duchem|D UW HH EH M
duchewicz|D UW HH EH V IY T
duchniewicz|D UW HH N IY0 EH V IY T
duchnik|D UW HH N IY0 IY K
duchnowska|D UW HH N AO F S K AE
duchnowski|D UW HH N AO F S K IY
duchom|D UW HH AO M
duchota|D UW HH AO T AE
duchowa|D UW HH AO V AE
duchowe|D UW HH AO V EH
duchowi|D UW HH AO V IY
duchowicz|D UW HH AO V IY T
duchowieństwo|D UW HH AO V Y EH N IY0 S T F AO
duchowny|D UW HH AO V N IH0
duchowo|D UW HH AO V AO
duchowy|D UW HH AO V IH0
duchową|D UW HH AO V AO W
duchoń|D UW HH AO N IY0
duchu|D UW HH UW
duchy|D UW HH IH0
duchów|D UW HH UW F
duczek|D UW T EH K
duczyński|D UW T IH0 N IY0 S K IY
dud|D UW T
duda|D UW D AE
dudach|D UW D AE HH
dudak|D UW D AE K
dudami|D UW D AE M IY
dudaniec|D UW D AE N IY0 EH T
dudanowicz|D UW D AE N AO V IY T
dudała|D UW D AE W AE
dudek|D UW D EH K
dudkiewicz|D UW T K Y EH V IY T
dudnić|D UW D N IY0 IY T
dudom|D UW D AO M
dudowicz|D UW D AO V IY T
dudoń|D UW D AO N IY0
duduś|D UW D UW SH
dudy|D UW D IH0
dudziak|D UW D AE K
dudziarz|D UW D AE SH
dudzic|D UW D IY T
dudzicki|D UW D IY T K IY
dudzicz|D UW D IY T
dudziec|D UW D EH T
dudziej|D UW D EH Y
dudzieniec|D UW D EH N IY0 EH T
dudzis|D UW D IY S
dudź|D UW T
duet|D UW EH T
duka|D UW K AE
dukaj|D UW K AE Y
dukam|D UW K AE M
dukasz|D UW K AE SH
dukat|D UW K AE T
dukać|D UW K AE T
dukał|D UW K AE W
dukała|D UW K AE W AE
dukiewicz|D UW K Y EH V IY T
dukszta|D UW K SH T AE
dul|D UW L
dula|D UW L AE
dulej|D UW L EH Y
dulemba|D UW L EH M B AE
dulewicz|D UW L EH V IY T
duliniec|D UW L IY N IY0 EH T
dulkiewicz|D UW L K Y EH V IY T
dulszczyzna|D UW L SH T IH0 Z N AE
dulęba|D UW L EH M B AE
dum|D UW M
duma|D UW M AE
dumach|D UW M AE HH
dumaj|D UW M AE Y
dumali|D UW M AE L IY
dumam|D UW M AE M
dumami|D UW M AE M IY
dumamy|D UW M AE M IH0
dumano|D UW M AE N AO
dumasz|D UW M AE SH
dumać|D UW M AE T
dumał|D UW M AE W
dumała|D UW M AE W AE
dumało|D UW M AE W AO
dumały|D UW M AE W IH0
dumie|D UW M Y EH
dumkiewicz|D UW M K Y EH V IY T
dumna|D UW M N AE
dumne|D UW M N EH
dumnego|D UW M N EH G AO
dumnej|D UW M N EH Y
dumnemu|D UW M N EH M UW
dumni|D UW M N IY0 IY
dumnie|D UW M N IY0 EH
dumniejszego|D UW M N IY0 EH Y SH EH G AO
dumniejszy|D UW M N IY0 EH Y SH IH0
dumny|D UW M N IH0
dumnych|D UW M N IH0 HH
dumnym|D UW M N IH0 M
dumnymi|D UW M N IH0 M IY
dumną|D UW M N AO W
dumo|D UW M AO
dumom|D UW M AO M
dumy|D UW M IH0
dumą|D UW M AO W
dumę|D UW M EH
dunaj|D UW N AE Y
dunajczan|D UW N AE Y T AE N
dunajec|D UW N AE Y EH T
dunajski|D UW N AE Y S K IY
dunal|D UW N AE L
dunaszewska|D UW N AE SH EH F S K AE
dunaszewski|D UW N AE SH EH F S K IY
duniec|D UW N IY0 EH T
dunka|D UW NG K AE
duo|D UW AO
dup|D UW P
dupa|D UW P AE
dupach|D UW P AE HH
dupami|D UW P AE M IY
dupcia|D UW P T AE
dupczyć|D UW P T IH0 T
dupeczka|D UW P EH T K AE
dupek|D UW P EH K
duperele|D UW P EH RRR EH L EH
dupeńka|D UW P EH N IY0 K AE
dupie|D UW P Y EH
dupina|D UW P IY N AE
dupinka|D UW P IY NG K AE
dupka|D UW P K AE
dupkiem|D UW P K Y EH M
dupku|D UW P K UW
duplikat|D UW P L IY K AE T
duplikować|D UW P L IY K AO V AE T
dupo|D UW P AO
dupodajka|D UW P AO D AE Y K AE
dupom|D UW P AO M
dupsko|D UW P S K AO
dupy|D UW P IH0
dupą|D UW P AO W
dupę|D UW P EH
dur|D UW RRR
duraj|D UW RRR AE Y
durakiewicz|D UW RRR AE K Y EH V IY T
duran|D UW RRR AE N
durasiewicz|D UW RRR AE SH EH V IY T
durawa|D UW RRR AE V AE
durał|D UW RRR AE W
durem|D UW RRR EH M
dureń|D UW RRR EH N IY0
durian|D UW RRR Y AE N
durkalec|D UW RRR K AE L EH T
durkiewicz|D UW RRR K Y EH V IY T
durna|D UW RRR N AE
durnaś|D UW RRR N AE SH
durne|D UW RRR N EH
durnego|D UW RRR N EH G AO
durnej|D UW RRR N EH Y
durnemu|D UW RRR N EH M UW
durni|D UW RRR N IY0 IY
durnia|D UW RRR N IY0 AE
durniacha|D UW RRR N IY0 AE HH AE
durnie|D UW RRR N IY0 EH
durnieć|D UW RRR N IY0 EH T
durniu|D UW RRR N IY0 UW
durny|D UW RRR N IH0
durnych|D UW RRR N IH0 HH
durnym|D UW RRR N IH0 M
durnymi|D UW RRR N IH0 M IY
durną|D UW RRR N AO W
durowi|D UW RRR AO V IY
durowicz|D UW RRR AO V IY T
durszlak|D UW RRR SH L AE K
duru|D UW RRR UW
durz|D UW SH
durze|D UW EH
durzy|D UW IH0
durzyć|D UW IH0 T
durzą|D UW AO W
durzę|D UW EH
duser|D UW S EH RRR
dusi|D UW SH IY
dusicie|D UW SH IY T EH
dusiciel|D UW SH IY T EH L
dusigrosz|D UW SH IY G RRR AO SH
dusili|D UW SH IY L IY
dusimy|D UW SH IY M IH0
dusisz|D UW SH IY SH
dusić|D UW SH IY T
dusił|D UW SH IY W
dusiła|D UW SH IY W AE
dusiło|D UW SH IY W AO
dusiły|D UW SH IY W IH0
dusz|D UW SH
dusza|D UW SH AE
duszczak|D UW SH T AE K
duszczyk|D UW SH T IH0 K
dusze|D UW SH EH
duszek|D UW SH EH K
duszkiewicz|D UW SH K Y EH V IY T
dusznica|D UW SH N IY0 IY T AE
duszno|D UW SH N AO
duszność|D UW SH N AO SH T
duszny|D UW SH N IH0
duszono|D UW SH AO N AO
duszpasterski|D UW SH P AE S T EH RRR S K IY
duszpasterz|D UW SH P AE S T EH SH
duszy|D UW SH IH0
duszyczka|D UW SH IH0 T K AE
duszyk|D UW SH IH0 K
duszyński|D UW SH IH0 N IY0 S K IY
duszą|D UW SH AO W
duszę|D UW SH EH
dutkiewicz|D UW T K Y EH V IY T
duzi|D UW ZH IY
duzinkiewicz|D UW ZH IY NG K Y EH V IY T
duńczyk|D UW N IY0 T IH0 K
duńscy|D UW N IY0 S T IH0
duńska|D UW N IY0 S K AE
duński|D UW N IY0 S K IY
duńskich|D UW N IY0 S K IY HH
duńskie|D UW N IY0 S K Y EH
duńskiego|D UW N IY0 S K Y EH G AO
duńskiej|D UW N IY0 S K Y EH Y
duńskiemu|D UW N IY0 S K Y EH M UW
duńskim|D UW N IY0 S K IY M
duńskimi|D UW N IY0 S K IY M IY
duńskojęzyczny|D UW N IY0 S K AO Y EH W Z IH0 T N IH0
duńsku|D UW N IY0 S K UW
duńską|D UW N IY0 S K AO W
duś|D UW SH
duź|D UW SH
duża|D UW AE
duże|D UW EH
dużego|D UW EH G AO
dużej|D UW EH Y
dużemu|D UW EH M UW
dużo|D UW AO
duży|D UW IH0
dużych|D UW IH0 HH
dużym|D UW IH0 M
dużymi|D UW IH0 M IY
dużą|D UW AO W
dvd|D IY V IY D IY
dwa|D V AE
dwadzieścia|D V AE D EH SH T AE
dwadzieścioro|D V AE D EH SH T AO RRR AO
dwaj|D V AE Y
dwakroć|D V AE K RRR AO T
dwanaście|D V AE N AE SH T EH
dwanaścioro|D V AE N AE SH T AO RRR AO
dwie|D V Y EH
dwieście|D V Y EH SH T EH
dwilewicz|D V IY L EH V IY T
dwoi|D V AO IY
dwoisty|D V AO IY S T IH0
dwoić|D V AO IY T
dwoił|D V AO IY W
dwojak|D V AO Y AE K
dwojaki|D V AO Y AE K IY
dwoje|D V AO Y EH
dwoją|D V AO Y AO W
dwoję|D V AO Y EH
dworaczek|D V AO RRR AE T EH K
dworaczyk|D V AO RRR AE T IH0 K
dworca|D V AO RRR T AE
dworcach|D V AO RRR T AE HH
dworcami|D V AO RRR T AE M IY
dworce|D V AO RRR T EH
dworcem|D V AO RRR T EH M
dworcom|D V AO RRR T AO M
dworcowi|D V AO RRR T AO V IY
dworcu|D V AO RRR T UW
dworczak|D V AO RRR T AE K
dworczyk|D V AO RRR T IH0 K
dworczyńska|D V AO RRR T IH0 N IY0 S K AE
dworczyński|D V AO RRR T IH0 N IY0 S K IY
dworców|D V AO RRR T UW F
dworka|D V AO RRR K AE
dworkiewicz|D V AO RRR K Y EH V IY T
dworniak|D V AO RRR N IY0 AE K
dworniczak|D V AO RRR N IY0 IY T AE K
dwornikiewicz|D V AO RRR N IY0 IY K Y EH V IY T
dworzak|D V AO AE K
dworzanin|D V AO AE N IY0 IY N
dworzańczyk|D V AO AE N IY0 T IH0 K
dworze|D V AO EH
dworzec|D V AO EH T
dwubarwny|D V UW B AE RRR V N IH0
dwubiegunowy|D V UW B Y EH G UW N AO V IH0
dwuczęściowy|D V UW T EH N IY0 SH T AO V IH0
dwudniowy|D V UW D N IY0 AO V IH0
dwudomowość|D V UW D AO M AO V AO SH T
dwudomowy|D V UW D AO M AO V IH0
dwudziesta|D V UW D EH S T AE
dwudzieste|D V UW D EH S T EH
dwudziestego|D V UW D EH S T EH G AO
dwudziestej|D V UW D EH S T EH Y
dwudziestemu|D V UW D EH S T EH M UW
dwudziestolatek|D V UW D EH S T AO L AE T EH K
dwudziestolatka|D V UW D EH S T AO L AE T K AE
dwudziesty|D V UW D EH S T IH0
dwudziestym|D V UW D EH S T IH0 M
dwudziestymi|D V UW D EH S T IH0 M IY
dwudziestą|D V UW D EH S T AO W
dwudzionek|D V UW D AO N EH K
dwugodzinny|D V UW G AO D IY N N IH0
dwugłowy|D V UW G W AO V IH0
dwuipółletni|D V UW IY P UW W L EH T N IY0 IY
dwujęzyczność|D V UW Y EH W Z IH0 T N AO SH T
dwujęzyczny|D V UW Y EH W Z IH0 T N IH0
dwukierunkowy|D V UW K Y EH RRR UW NG K AO V IH0
dwukołowy|D V UW K AO W AO V IH0
dwukropek|D V UW K RRR AO P EH K
dwukrotnie|D V UW K RRR AO T N IY0 EH
dwukrotny|D V UW K RRR AO T N IH0
dwukąt|D V UW K AO N T
dwulat|D V UW L AE T
dwulatek|D V UW L AE T EH K
dwulatka|D V UW L AE T K AE
dwuletni|D V UW L EH T N IY0 IY
dwulicowy|D V UW L IY T AO V IH0
dwulistnik|D V UW L IY S T N IY0 IY K
dwumian|D V UW M Y AE N
dwumiesięcznik|D V UW M Y EH SH EH N T N IY0 IY K
dwumiesięczny|D V UW M Y EH SH EH N T N IH0
dwunasta|D V UW N AE S T AE
dwunaste|D V UW N AE S T EH
dwunastego|D V UW N AE S T EH G AO
dwunastej|D V UW N AE S T EH Y
dwunastemu|D V UW N AE S T EH M UW
dwunastnica|D V UW N AE S T N IY0 IY T AE
dwunastolatek|D V UW N AE S T AO L AE T EH K
dwunastolatka|D V UW N AE S T AO L AE T K AE
dwunastoletni|D V UW N AE S T AO L EH T N IY0 IY
dwunasty|D V UW N AE S T IH0
dwunastym|D V UW N AE S T IH0 M
dwunastymi|D V UW N AE S T IH0 M IY
dwunastą|D V UW N AE S T AO W
dwunogi|D V UW N AO G IY
dwunożny|D V UW N AO N IH0
dwunóg|D V UW N UW K
dwuosiowy|D V UW AO SH AO V IH0
dwuparce|D V UW P AE RRR T EH
dwupartyjność|D V UW P AE RRR T IH0 Y N AO SH T
dwupartyjny|D V UW P AE RRR T IH0 Y N IH0
dwuparzec|D V UW P AE EH T
dwupienność|D V UW P Y EH N N AO SH T
dwupienny|D V UW P Y EH N N IH0
dwupierścieniak|D V UW P Y EH RRR SH T EH N IY0 AE K
dwupłat|D V UW P W AE T
dwupłatowiec|D V UW P W AE T AO V Y EH T
dwuróg|D V UW RRR UW K
dwuręczny|D V UW RRR EH N T N IH0
dwuręki|D V UW RRR EH NG K IY
dwusetna|D V UW S EH T N AE
dwusetne|D V UW S EH T N EH
dwusetnego|D V UW S EH T N EH G AO
dwusetnej|D V UW S EH T N EH Y
dwusetnemu|D V UW S EH T N EH M UW
dwusetny|D V UW S EH T N IH0
dwusetnym|D V UW S EH T N IH0 M
dwusetną|D V UW S EH T N AO W
dwusieczna|D V UW SH EH T N AE
dwustronny|D V UW S T RRR AO N N IH0
dwusuw|D V UW S UW F
dwusuwowy|D V UW S UW V AO V IH0
dwutlenek|D V UW T L EH N EH K
dwutorowo|D V UW T AO RRR AO V AO
dwutorowość|D V UW T AO RRR AO V AO SH T
dwutorowy|D V UW T AO RRR AO V IH0
dwutygodnik|D V UW T IH0 G AO D N IY0 IY K
dwutygodniowy|D V UW T IH0 G AO D N IY0 AO V IH0
dwutysięczna|D V UW T IH0 SH EH N T N AE
dwutysięczne|D V UW T IH0 SH EH N T N EH
dwutysięcznego|D V UW T IH0 SH EH N T N EH G AO
dwutysięcznej|D V UW T IH0 SH EH N T N EH Y
dwutysięcznemu|D V UW T IH0 SH EH N T N EH M UW
dwutysięczny|D V UW T IH0 SH EH N T N IH0
dwutysięcznym|D V UW T IH0 SH EH N T N IH0 M
dwutysięczną|D V UW T IH0 SH EH N T N AO W
dwuwargowy|D V UW V AE RRR G AO V IH0
dwuwarstwowiec|D V UW V AE RRR S T F AO V Y EH T
dwuwiersz|D V UW V Y EH RRR SH
dwuwymiarowy|D V UW V IH0 M Y AE RRR AO V IH0
dwuznaczny|D V UW Z N AE T N IH0
dwuznak|D V UW Z N AE K
dwuśrodowiskowy|D V UW SH RRR AO D AO V IY S K AO V IH0
dwóch|D V UW HH
dwóchsetna|D V UW HH S EH T N AE
dwóchsetne|D V UW HH S EH T N EH
dwóchsetnego|D V UW HH S EH T N EH G AO
dwóchsetnej|D V UW HH S EH T N EH Y
dwóchsetnemu|D V UW HH S EH T N EH M UW
dwóchsetny|D V UW HH S EH T N IH0
dwóchsetnym|D V UW HH S EH T N IH0 M
dwóchsetną|D V UW HH S EH T N AO W
dwói|D V UW IY
dwój|D V UW Y
dwója|D V UW Y AE
dwóje|D V UW Y EH
dwójeczek|D V UW Y EH T EH K
dwójeczka|D V UW Y EH T K AE
dwójek|D V UW Y EH K
dwójka|D V UW Y K AE
dwójlist|D V UW Y L IY S T
dwójmyślenie|D V UW Y M IH0 SH L EH N IY0 EH
dwójniak|D V UW Y N IY0 AE K
dwójnóg|D V UW Y N UW K
dwóją|D V UW Y AO W
dwóję|D V UW Y EH
dwór|D V UW RRR
dwórka|D V UW RRR K AE
dwórznik|D V UW N IY0 IY K
dyb|D IH0 P
dybala|D IH0 B AE L AE
dybali|D IH0 B AE L IY
dybać|D IH0 B AE T
dybał|D IH0 B AE W
dybała|D IH0 B AE W AE
dybaś|D IH0 B AE SH
dybciak|D IH0 P T AE K
dybczak|D IH0 P T AE K
dybel|D IH0 B EH L
dybeł|D IH0 B EH W
dybich|D IH0 B IY HH
dybiec|D IH0 B Y EH T
dybilas|D IH0 B IY L AE S
dybioch|D IH0 B Y AO HH
dybowicz|D IH0 B AO V IY T
dybowski|D IH0 B AO F S K IY
dybski|D IH0 P S K IY
dybuk|D IH0 B UW K
dybul|D IH0 B UW L
dyby|D IH0 B IH0
dych|D IH0 HH
dycha|D IH0 HH AE
dychaj|D IH0 HH AE Y
dychanie|D IH0 HH AE N IY0 EH
dychawica|D IH0 HH AE V IY T AE
dychać|D IH0 HH AE T
dychała|D IH0 HH AE W AE
dycho|D IH0 HH AO
dychotomia|D IH0 HH AO T AO M Y AE
dychtoń|D IH0 HH T AO N IY0
dychus|D IH0 HH UW S
dychy|D IH0 HH IH0
dychą|D IH0 HH AO W
dychę|D IH0 HH EH
dyczkowska|D IH0 T K AO F S K AE
dyczkowski|D IH0 T K AO F S K IY
dydaktyce|D IH0 D AE K T IH0 T EH
dydaktyczny|D IH0 D AE K T IH0 T N IH0
dydaktyk|D IH0 D AE K T IH0 K
dydaktyka|D IH0 D AE K T IH0 K AE
dydaktykach|D IH0 D AE K T IH0 K AE HH
dydaktykami|D IH0 D AE K T IH0 K AE M IY
dydaktyki|D IH0 D AE K T IH0 K IY
dydaktyko|D IH0 D AE K T IH0 K AO
dydaktykom|D IH0 D AE K T IH0 K AO M
dydaktyką|D IH0 D AE K T IH0 K AO W
dydaktykę|D IH0 D AE K T IH0 K EH
dydowicz|D IH0 D AO V IY T
dyduch|D IH0 D UW HH
dydycz|D IH0 D IH0 T
dyferencja|D IH0 F EH RRR EH N T Y AE
dyfrakcja|D IH0 F RRR AE K T Y AE
dyftong|D IH0 F T AO NG K
dyfuzor|D IH0 F UW Z AO RRR
dyga|D IH0 G AE
dygas|D IH0 G AE S
dygasiewicz|D IH0 G AE SH EH V IY T
dygać|D IH0 G AE T
dygnitarski|D IH0 G N IY0 IY T AE RRR S K IY
dygnitarz|D IH0 G N IY0 IY T AE SH
dygnąć|D IH0 G N AO N IY0 T
dygotać|D IH0 G AO T AE T
dygoń|D IH0 G AO N IY0
dygresja|D IH0 G RRR EH S Y AE
dyguś|D IH0 G UW SH
dyhdalewicz|D IH0 HH D AE L EH V IY T
dyja|D IH0 Y AE
dyjach|D IH0 Y AE HH
dyjak|D IH0 Y AE K
dyjankiewicz|D IH0 Y AE NG K Y EH V IY T
dyjas|D IH0 Y AE S
dyk|D IH0 K
dykas|D IH0 K AE S
dykcja|D IH0 K T Y AE
dykcjonarz|D IH0 K T Y AO N AE SH
dykta|D IH0 K T AE
dyktafon|D IH0 K T AE F AO N
dyktando|D IH0 K T AE N D AO
dyktat|D IH0 K T AE T
dyktator|D IH0 K T AE T AO RRR
dyktatorka|D IH0 K T AE T AO RRR K AE
dyktatorski|D IH0 K T AE T AO RRR S K IY
dyktatorstwo|D IH0 K T AE T AO RRR S T F AO
dyktatura|D IH0 K T AE T UW RRR AE
dykteryjka|D IH0 K T EH RRR IH0 Y K AE
dyktować|D IH0 K T AO V AE T
dyktuj|D IH0 K T UW Y
dyl|D IH0 L
dyla|D IH0 L AE
dyle|D IH0 L EH
dylemat|D IH0 L EH M AE T
dyletancki|D IH0 L EH T AE N T K IY
dyletanctwo|D IH0 L EH T AE N T T F AO
dyletant|D IH0 L EH T AE N T
dyletantka|D IH0 L EH T AE N T K AE
dylewicz|D IH0 L EH V IY T
dylewski|D IH0 L EH F S K IY
dyli|D IH0 L IY
dyliżans|D IH0 L IY AE N S
dyliżansowy|D IH0 L IY AE N S AO V IH0
dyllong|D IH0 L L AO NG K
dylogia|D IH0 L AO G Y AE
dylong|D IH0 L AO NG K
dylowicz|D IH0 L AO V IY T
dylu|D IH0 L UW
dylus|D IH0 L UW S
dyląg|D IH0 L AO NG K
dym|D IH0 M
dyma|D IH0 M AE
dymach|D IH0 M AE HH
dymami|D IH0 M AE M IY
dymanie|D IH0 M AE N IY0 EH
dymanko|D IH0 M AE NG K AO
dymać|D IH0 M AE T
dymek|D IH0 M EH K
dymem|D IH0 M EH M
dymie|D IH0 M Y EH
dymienica|D IH0 M Y EH N IY0 IY T AE
dymisja|D IH0 M IY S Y AE
dymiszkiewicz|D IH0 M IY SH K Y EH V IY T
dymić|D IH0 M IY T
dymnica|D IH0 M N IY0 IY T AE
dymnik|D IH0 M N IY0 IY K
dymny|D IH0 M N IH0
dymom|D IH0 M AO M
dymon|D IH0 M AO N
dymowi|D IH0 M AO V IY
dymowicz|D IH0 M AO V IY T
dymu|D IH0 M UW
dymy|D IH0 M IH0
dymów|D IH0 M UW F
dymówka|D IH0 M UW F K AE
dynamiczny|D IH0 N AE M IY T N IH0
dynamik|D IH0 N AE M IY K
dynamika|D IH0 N AE M IY K AE
dynamit|D IH0 N AE M IY T
dynastia|D IH0 N AE S T Y AE
dyndać|D IH0 N D AE T
dyni|D IH0 N IY0 IY
dynia|D IH0 N IY0 AE
dyniach|D IH0 N IY0 AE HH
dyniami|D IH0 N IY0 AE M IY
dynie|D IH0 N IY0 EH
dyniec|D IH0 N IY0 EH T
dyniewicz|D IH0 N IY0 EH V IY T
dynio|D IH0 N IY0 AO
dyniom|D IH0 N IY0 AO M
dyniowiec|D IH0 N IY0 AO V Y EH T
dyniowy|D IH0 N IY0 AO V IH0
dynią|D IH0 N IY0 AO W
dynię|D IH0 N IY0 EH
dyplom|D IH0 P L AO M
dyplomacja|D IH0 P L AO M AE T Y AE
dyplomata|D IH0 P L AO M AE T AE
dyplomatka|D IH0 P L AO M AE T K AE
dyplomatycznie|D IH0 P L AO M AE T IH0 T N IY0 EH
dyplomatyczny|D IH0 P L AO M AE T IH0 T N IH0
dyrda|D IH0 RRR D AE
dyrdoń|D IH0 RRR D AO N IY0
dyrduł|D IH0 RRR D UW W
dyrdymała|D IH0 RRR D IH0 M AE W AE
dyrekcja|D IH0 RRR EH K T Y AE
dyrektor|D IH0 RRR EH K T AO RRR
dyrektywa|D IH0 RRR EH K T IH0 V AE
dyrygent|D IH0 RRR IH0 G EH N T
dyrygentka|D IH0 RRR IH0 G EH N T K AE
dyscyplina|D IH0 S T IH0 P L IY N AE
dyscyplinuj|D IH0 S T IH0 P L IY N UW Y
dysertacja|D IH0 S EH RRR T AE T Y AE
dysfunkcja|D IH0 S F UW NG K T Y AE
dysgrafia|D IH0 Z G RRR AE F Y AE
dysharmonia|D IH0 S HH AE RRR M AO N IY0 AE
dyshonor|D IH0 S HH AO N AO RRR
dysiewicz|D IH0 SH EH V IY T
dyskalkulia|D IH0 S K AE L K UW L Y AE
dyskietka|D IH0 S K Y EH T K AE
dyskografia|D IH0 S K AO G RRR AE F Y AE
dyskomfort|D IH0 S K AO M F AO RRR T
dyskont|D IH0 S K AO N T
dyskonto|D IH0 S K AO N T AO
dyskoteka|D IH0 S K AO T EH K AE
dyskotekowy|D IH0 S K AO T EH K AO V IH0
dyskrecja|D IH0 S K RRR EH T Y AE
dyskredytacja|D IH0 S K RRR EH D IH0 T AE T Y AE
dyskredytować|D IH0 S K RRR EH D IH0 T AO V AE T
dyskretnie|D IH0 S K RRR EH T N IY0 EH
dyskretniejszego|D IH0 S K RRR EH T N IY0 EH Y SH EH G AO
dyskretniejszy|D IH0 S K RRR EH T N IY0 EH Y SH IH0
dyskretny|D IH0 S K RRR EH T N IH0
dyskryminacja|D IH0 S K RRR IH0 M IY N AE T Y AE
dyskryminować|D IH0 S K RRR IH0 M IY N AO V AE T
dyskurs|D IH0 S K UW RRR S
dyskusja|D IH0 S K UW S Y AE
dyskusyjny|D IH0 S K UW S IH0 Y N IH0
dyskutować|D IH0 S K UW T AO V AE T
dyskwalifikacja|D IH0 S K F AE L IY F IY K AE T Y AE
dysleksja|D IH0 S L EH K S Y AE
dysonans|D IH0 S AO N AE N S
dyspalatalizacja|D IH0 S P AE L AE T AE L IY Z AE T Y AE
dyspepsja|D IH0 S P EH P S Y AE
dyspersja|D IH0 S P EH RRR S Y AE
dysplazja|D IH0 S P L AE Z Y AE
dysponować|D IH0 S P AO N AO V AE T
dyspozycja|D IH0 S P AO Z IH0 T Y AE
dyspozycyjność|D IH0 S P AO Z IH0 T IH0 Y N AO SH T
dyspozycyjny|D IH0 S P AO Z IH0 T IH0 Y N IH0
dysproporcja|D IH0 S P RRR AO P AO RRR T Y AE
dysproz|D IH0 S P RRR AO S
dysputa|D IH0 S P UW T AE
dysputować|D IH0 S P UW T AO V AE T
dyssypacja|D IH0 S S IH0 P AE T Y AE
dystans|D IH0 S T AE N S
dystansować|D IH0 S T AE N S AO V AE T
dystopia|D IH0 S T AO P Y AE
dystrofia|D IH0 S T RRR AO F Y AE
dystrybucja|D IH0 S T RRR IH0 B UW T Y AE
dystrybucjonizm|D IH0 S T RRR IH0 B UW T Y AO N IY0 IY Z M
dystrybuować|D IH0 S T RRR IH0 B UW AO V AE T
dystrybutor|D IH0 S T RRR IH0 B UW T AO RRR
dystrybutorka|D IH0 S T RRR IH0 B UW T AO RRR K AE
dystrykt|D IH0 S T RRR IH0 K T
dystych|D IH0 S T IH0 HH
dystyngowanie|D IH0 S T IH0 NG G AO V AE N IY0 EH
dystyngowany|D IH0 S T IH0 NG G AO V AE N IH0
dysydent|D IH0 S IH0 D EH N T
dysydentka|D IH0 S IH0 D EH N T K AE
dysz|D IH0 SH
dysza|D IH0 SH AE
dyszczyk|D IH0 SH T IH0 K
dysze|D IH0 SH EH
dyszel|D IH0 SH EH L
dyszeć|D IH0 SH EH T
dyszkant|D IH0 SH K AE N T
