'k|AH0 K
bankzitter|B AA NG K S IH T AH0 RRR
banneling|B AA N AH0 L IH NG
bannen|B EH N AH0 N
banner|B EH N AH0 RRR
bannerheer|B AA N AH0 RRR EH0 RRR
bannissement|B AA N IH S AH0 M EH N T
bantoe|B AA N T UW
bantoestan|B AA N T UW S T AA N
bantoïde|B AA N T OW0 IY D AH0
baobab|B AE OW0 B AA P
bapao|B AE P AA UW
baptist|B AA P T IH S T
baptistisch|B AA P T IH S T IY S
bar|B AA RRR
barak|B AE RRR AA K
barakaan|B AE RRR AE K AE N
barbaar|B AA RRR B AE RRR
barbaars|B AA RRR B AE RRR S
barbaarsheid|B AA RRR B AE RRR S EH IY T
barbados|B AA RRR B EH0 D AO S
barbara|B AA RRR B AH0 RRR AE
barbarij|B AA RRR B AE RRR EH IY
barbarije|B AA RRR B AE RRR EH IY AH0
barbarijs|B AA RRR B AE RRR EH IY S
barbecue|B AA RRR B AH0 K Y UW
barbecueën|B AA RRR B AH0 K Y UW AH0 N
barbeel|B AA RRR B EH0 L
barbier|B AA RRR B IY RRR
barbieren|B AA RRR B IY RRR AH0 N
barbierster|B AA RRR B IY RRR S T AH0 RRR
barcelona|B AA RRR S AH0 L OW0 N AE
barcode|B AA RRR K OW0 D AH0
bard|B AA RRR T
baren|B AE RRR AH0 N
barendrecht|B AE RRR AH0 N D RRR EH HH T
baret|B AE RRR EH T
barfen|B AA RRR F AH0 N
barg|B AA RRR HH
bargoens|B AA RRR HH UW N S
bariet|B AE RRR IY T
barium|B AE RRR IY M
bark|B AA RRR K
barkas|B AA RRR K AA S
barkie|B AA RRR K IY
barkruk|B AA RRR K RRR K
barlebaan|B AA RRR L AH0 B AE N
barman|B AA RRR M AA N
barmhartig|B AA RRR M AA RRR T AH0 HH
barmhartigheid|B AA RRR M AA RRR T AH0 HH EH IY T
barmsijs|B AA RRR M S EH IY S
barnen|B AA RRR N AH0 N
barneveld|B AA RRR N AH0 V EH L T
barnhoorn|B AA RRR N OW0 RRR N
barnsteen|B AA RRR N S T EH0 N
barnsteengeel|B AA RRR N S T EH0 N HH EH0 L
barok|B AE RRR AO K
barometer|B AE RRR OW0 M EH0 T AH0 RRR
baron|B AE RRR AO N
barones|B AE RRR AO N EH S
baronie|B AE RRR OW0 N IY
barotroop|B AE RRR OW0 T RRR OW0 P
barracuda|B AA RRR AE K Y UW1 D AE
barrevoeter|B AA RRR AH0 V UW T AH0 RRR
barrevoets|B AA RRR AH0 V UW T S
barrevoetster|B AA RRR AH0 V UW T S T AH0 RRR
barricade|B AA RRR IY K AE D AH0
barricaderen|B AA RRR IY K AE D EH0 RRR AH0 N
barricadering|B AA RRR IY K AE D EH0 RRR AH0 N
barrière|B AA RRR IY EH RRR AH0
bars|B AA RRR S
barst|B AA RRR S T
barsten|B AA RRR S T AH0 N
barstig|B AA RRR S T AH0 HH
bart|B AA RRR T
barten|B AA RRR T AH0 N
barvoets|B AA RRR V UW T S
barvrouw|B AA RRR V RRR AA UW
baryon|B AE RRR IY AO N
bas|B AA S
basaal|B AE Z AE L
basalt|B AE Z AA L T
basalten|B AE Z AA L T AH0 N
bascule|B AA S K Y UW1 L AH0
basculebrug|B AA S K Y UW1 L AH0 B RRR HH
base|B AE Z AH0
basen|B EH0 Z AH0 N
baseren|B AE Z EH0 RRR AH0 N
basgitaar|B AA S HH IY T AE RRR
basgitarist|B AA S HH IY T AE RRR IH S T
basiel|B AE Z IY L
basilect|B AE Z IY L EH K T
basilica|B AE Z IY L IY K AE
basilicum|B AE Z IY L IY K M
basiliek|B AE S IY L IY K
basilisk|B AE S IY L IH S K
basis|B AE Z IH S
basisarts|B AE Z IH S AA RRR T S
basisbetekenis|B AE Z IH S B AH0 T EH0 K AH0 N IH S
basisbeurs|B AE Z IH S B OE RRR S
basisdemocraat|B AE Z IH S D EH0 M OW0 K RRR AE T
basisdemocratie|B AE Z IH S D EH0 M OW0 K RRR AE T S IY
basisdemocratisch|B AE Z IH S D EH0 M OW0 K RRR AE T IY S
basisgrammatica|B AE Z IH S HH RRR AA M AE T IY K AE
basisinkomen|B AE Z IH S IH N K OW0 M AH0 N
basisonderwijs|B AE Z IH S AO N D AH0 RRR V EH IY S
basisschool|B AE Z IH S HH OW0 L
basjkiers|B AA SH K IY RRR S
bask|B AA S K
baskenland|B AA S K AH0 N L AA N D
basket|B AA S K AH0 T
basketbal|B AA S K AH0 T B AA L
basketballen|B AA S K AH0 T B AA L AH0 N
basketter|B AA S K AH0 T AH0 RRR
baskisch|B AA S K IY S
basklarinet|B AA S K L AE RRR IY N EH T
baslijn|B AA S L EH IY N
bassen|B AA S AH0 N
bassin|B AA S EH N
bassist|B AA S IH S T
basson|B AA S AO N
bast|B AA S T
bastaard|B AA S T AE RRR T
bastaardarend|B AA S T AE RRR T AE RRR AH0 N T
bastaardklaproos|B AA S T AE RRR T K L AA P RRR OW0 S
bastaardtaal|B AA S T AE RRR T AE L
bastaardwoord|B AA S T AE RRR T V OW0 RRR T
bastenaken|B AA S T AH0 N AE K AH0 N
basterdsuiker|B AA S T AH0 RRR T S ER Y UW1 K AH0 RRR
bastiaan|B AA S T IY AE N
bastiaansen|B AA S T IY AE N S AH0 N
bastion|B AA S T IY AO N
bastonnade|B AA S T AO N AE D AH0
bataaf|B AE T AE F
bataafs|B AE T AE F S
batavia|B AA T AE V Y AA
batavier|B AE T AE V IY RRR
baten|B AE T AH0 N
batenburger|B AE T AH0 N B RRR HH AH0 RRR
batist|B AE T IH S T
batisten|B AE T IH S T AH0 N
batsen|B AA T S AH0 N
batteren|B AA T AH0 RRR AH0 N
batterij|B AA T AH0 RRR EH IY
batterijkip|B AA T AH0 RRR EH IY K IH P
batterijzuur|B AA T AH0 RRR EH IY Z Y UW1 RRR
bauxiet|B AA UW K S IY T
bavarois|B AE V AE RRR V AE
baviaan|B AE V IY AE N
bazaar|B AE Z AE RRR
bazelen|B AE Z AH0 L AH0 N
bazen|B AE Z AH0 N
bazig|B AE Z AH0 HH
bazin|B AE Z IH N
bazooka|B AE Z UW K AE
bazuin|B AE Z ER Y UW1 N
bazuinen|B AE Z ER Y UW1 N AH0 N
bbp|B EH0 B EH0 P EH0
bea|B EH0 AE
beaarden|B AH0 AE RRR D AH0 N
beademen|B AH0 AE D AH0 M AH0 N
beademing|B AH0 AE D AH0 M IH NG
beagle|B IY G AH0 L
beambte|B AH0 AA M P T AH0
beamen|B AH0 AE M AH0 N
beamenen|B AH0 AE M AH0 N AH0 N
beamer|B AH0 AE M AH0 RRR
beangsten|B AH0 AA NG S T AH0 N
beangstigen|B AH0 AA NG S T AH0 HH AH0 N
beantwoorden|B AH0 AA N T V OW0 RRR D AH0 N
bearbeiden|B AH0 AA RRR B EH IY D AH0 N
beargumenteren|B AH0 AA RRR HH Y UW1 M EH N T EH0 RRR AH0 N
beat|B IY T
beatmis|B IY T M IH S
beatrijs|B EH0 AE T RRR EH IY S
beauty|B Y UW T IY
bebaard|B AH0 B AE RRR T
bebinden|B AH0 B IH N D AH0 N
bebloed|B AH0 B L UW T
bebloeden|B AH0 B L UW D AH0 N
bebloemen|B AH0 B L UW M AH0 N
beboeten|B AH0 B UW T AH0 N
beboeting|B AH0 B UW T IH NG
bebolwerken|B AH0 B AO L V EH RRR K AH0 N
bebossen|B AH0 B AO S AH0 N
bebouwen|B AH0 B AA UW AH0 N
bebouwing|B AH0 B AA UW IH NG
bebroeden|B AH0 B RRR UW D AH0 N
becijferen|B AH0 S EH IY F AH0 RRR AH0 N
beconcurreren|B AH0 K AO NG K RRR EH0 RRR AH0 N
bed|B EH T
bedaard|B AH0 D AE RRR T
bedacht|B AH0 D AA HH T
bedachtzaam|B AH0 D AA HH T S AE M
bedammen|B AH0 D AA M AH0 N
bedampen|B AH0 D AA M P AH0 N
bedank|B AH0 D AA NG K
bedanke|B AH0 D AA NG K AH0
bedanken|B AH0 D AA NG K AH0 N
bedankend|B AH0 D AA NG K AH0 N T
bedankt|B AH0 D AA NG K T
bedankte|B AH0 D AA NG K T AH0
bedankten|B AH0 D AA NG K T AH0 N
bedaren|B AH0 D AE RRR AH0 N
beddegoed|B EH D AH0 HH UW T
beddengoed|B EH D AH0 N HH UW T
bedding|B EH D IH NG
bede|B EH0 D AH0
bededag|B EH0 D AH0 D AA HH
bedeesd|B AH0 D EH0 S T
bedehuis|B EH0 D AH0 ER Y UW1 S
bedek|B AH0 D EH K
bedekke|B AH0 D EH K AH0
bedekken|B AH0 D EH K AH0 N
bedekkend|B AH0 D EH K AH0 N T
bedekking|B AH0 D EH K IH NG
bedekt|B AH0 D EH K T
bedekte|B AH0 D EH K T AH0
bedekten|B AH0 D EH K T AH0 N
bedel|B AH0 D EH L
bedelaar|B EH0 D AH0 L AE RRR
bedelen|B AH0 D EH0 L AH0 N
bedelmonnik|B EH0 D AH0 L M AO N IH K
bedelnon|B EH0 D AH0 L N AO N
bedelorde|B EH0 D AH0 L AO RRR D AH0
bedelstaf|B EH0 D AH0 L S T AA F
bedelven|B AH0 D EH L V AH0 N
bedenkbaar|B AH0 D EH NG K B AE RRR
bedenkelijk|B AH0 D EH NG K AH0 L AH0 K
bedenken|B AH0 D EH NG K AH0 N
bedenkend|B AH0 D EH NG K AH0 N T
bedenker|B AH0 D EH NG K AH0 RRR
bedenking|B AH0 D EH NG K IH NG
bederf|B AH0 D EH RRR F
bederfzwam|B AH0 D EH RRR F S V AA M
bederven|B AH0 D EH RRR V AH0 N
bedevaart|B EH0 D AH0 V AE RRR T
bedevaartkerk|B EH0 D AH0 V AE RRR T K EH RRR K
bedevaartskerk|B EH0 D AH0 V AE RRR T S K EH RRR K
bedevaartsoord|B EH0 D AH0 V AE RRR T S OW0 RRR T
bedgenoot|B EH T HH AH0 N OW0 T
bedied|B AH0 D IY T
bediedsel|B AH0 D IY T S AH0 L
bedienaar|B AH0 D IY N AE RRR
bediende|B AH0 D IY N D AH0
bedienen|B AH0 D IY N AH0 N
bediener|B AH0 D IY N AH0 RRR
bediening|B AH0 D IY N IH NG
bedieningspaneel|B AH0 D IY N IH NG S P AE N EH0 L
bedient|B AH0 D IY N T
bedierf|B AH0 D IY RRR F
bedijken|B AH0 D EH IY K AH0 N
bedilal|B AH0 D IH L AA L
bedillen|B AH0 D IH L AH0 N
bediller|B AH0 D IH L AH0 RRR
bedilziek|B AH0 D IH L Z IY K
beding|B AH0 D IH NG
bedingen|B AH0 D IH NG AH0 N
bediscussiëren|B AH0 D IH S K S Y EH0 RRR AH0 N
bedkamer|B EH T K AE M AH0 RRR
bedkruik|B EH T K RRR ER Y UW1 K
bedlamp|B EH T L AA M P
bedleger|B EH T L EH0 HH AH0 RRR
bedlegerig|B EH D L EH0 HH AH0 RRR AH0 HH
bedodden|B AH0 D AO D AH0 N
bedoel|B AH0 D UW L
bedoelen|B AH0 D UW L AH0 N
bedoeling|B AH0 D UW L IH NG
bedoen|B AH0 D UW N
bedoeïen|B EH0 D UW IY N
bedompt|B AH0 D AO M P T
bedonderd|B AH0 D AO N D AH0 RRR T
bedonderen|B AH0 D AO N D AH0 RRR AH0 N
bedopen|B AH0 D OW0 P AH0 N
bedotten|B AH0 D AO T AH0 N
bedoven|B AH0 D OW0 V AH0 N
bedplassen|B EH T P L AA S AH0 N
bedplasser|B EH T P L AA S AH0 RRR
bedrading|B AH0 D RRR AE D IH NG
bedrag|B AH0 D RRR AA HH
bedragen|B AH0 D RRR AE HH AH0 N
bedreigen|B AH0 D RRR EH IY HH AH0 N
bedreiging|B AH0 D RRR EH IY HH IH NG
bedremmelen|B AH0 D RRR EH M AH0 L AH0 N
bedreven|B AH0 D RRR EH0 V AH0 N
bedriegelijk|B AH0 D RRR IY HH AH0 L AH0 K
bedriegen|B AH0 D RRR IY HH AH0 N
bedrieger|B AH0 D RRR IY HH AH0 RRR
bedriegerij|B AH0 D RRR IY HH AH0 RRR EH IY
bedrieglijk|B AH0 D RRR IY HH L AH0 K
bedriegster|B AH0 D RRR IY HH S T AH0 RRR
bedrijf|B AH0 D RRR EH IY F
bedrijfsklimaat|B AH0 D RRR EH IY F S K L IY M AE T
bedrijfsleven|B AH0 D RRR EH IY F S L EH0 V AH0 N
bedrijfssector|B AH0 D RRR EH IY F S EH K T AO RRR
bedrijfstak|B AH0 D RRR EH IY F S T AA K
bedrijfswagen|B AH0 D RRR EH IY F S V AE HH AH0 N
bedrijten|B AH0 D RRR EH IY T AH0 N
bedrijven|B AH0 D RRR EH IY V AH0 N
bedrillen|B AH0 D RRR IH L AH0 N
bedrinken|B AH0 D RRR IY NG K AH0 N
bedroefd|B AH0 D RRR UW F T
bedroeven|B AH0 D RRR UW V AH0 N
bedrog|B AH0 D RRR AO HH
bedruipen|B AH0 D RRR ER Y UW1 P AH0 N
bedrukken|B AH0 D RRR K AH0 N
bedruppen|B AH0 D RRR P AH0 N
bedstede|B EH T S T EH0 D AH0
bedstee|B EH T S T EH0
bedtijd|B EH T EH IY T
beducht|B AH0 D HH T
beduchten|B AH0 D HH T AH0 N
beduid|B AH0 D ER Y UW1 T
beduiden|B AH0 D ER Y UW1 D AH0 N
beduidend|B AH0 D ER Y UW1 D AH0 N T
beduidsel|B AH0 D ER Y UW1 T S AH0 L
beduimelen|B AH0 D ER Y UW1 M AH0 L AH0 N
bedunken|B AH0 D NG K AH0 N
beduveld|B AH0 D Y UW1 V AH0 L T
beduvelen|B AH0 D Y UW1 V AH0 L AH0 N
bedvriend|B EH T F RRR IY N T
bedvriendin|B EH T F RRR IY N D IH N
bedwang|B AH0 D V AA NG
bedwants|B EH T V AA N T S
bedwelmen|B AH0 D V EH L M AH0 N
bedwingen|B AH0 D V IH NG AH0 N
beefaal|B EH0 F AE L
beek|B EH0 K
beekdaelen|B EH0 K D AE L AH0 N
beekjuffer|B EH0 K Y F AH0 RRR
beeld|B EH0 L T
beeldbank|B EH0 L T B AA NG K
beeldbellen|B EH0 L T B EH L AH0 N
beeldbuis|B EH0 L T B ER Y UW1 S
beeldelement|B EH0 L T EH0 L AH0 M EH N T
beelden|B EH0 L D AH0 N
beeldend|B EH0 L D AH0 N T
beeldendienst|B EH0 L D AH0 N D IY N S T
beeldenstorm|B EH0 L D AH0 N S T AO RRR M
beeldenstormer|B EH0 L D AH0 N S T AO RRR M AH0 RRR
beeldhouwen|B EH0 L T AA UW AH0 N
beeldhouwer|B EH0 L T AA UW AH0 RRR
beeldhouwkunst|B EH0 L T AA UW K N S T
beeldhouwwerk|B EH0 L T AA UW V EH RRR K
beeldig|B EH0 L D AH0 HH
beeldjeskoop|B EH0 L T Y AH0 S K OW0 P
beeldmontage|B EH0 L T M AO N T AE ZH AH0
beeldpunt|B EH0 L T P N T
beeldscherm|B EH0 L T S HH EH RRR M
beeldscherpte|B EH0 L T S HH EH RRR P T AH0
beeldschoon|B EH0 L T S HH OW0 N
beeldschrift|B EH0 L T S HH RRR IH F T
beeldsnijwerk|B EH0 L T S N EH IY V EH RRR K
beeldspraak|B EH0 L T S P RRR AE K
beeldvorming|B EH0 L T F AO RRR M IH NG
beeltenis|B EH0 L T AH0 N IH S
beemd|B EH0 M T
been|B EH0 N
beenafzetting|B EH0 N AA F Z EH T IH NG
beenamputatie|B EH0 N AA M P Y UW1 T AE T S IY
beenbreek|B EH0 N B RRR EH0 K
beenbreker|B EH0 N B RRR EH0 K AH0 RRR
beenbreuk|B EH0 N B RRR OE K
beenderhuis|B EH0 N D AH0 RRR ER Y UW1 S
beendermeel|B EH0 N D AH0 RRR M EH0 L
beendroog|B EH0 N D RRR OW0 HH
beenhouwer|B EH0 N AA UW AH0 RRR
beenmeel|B EH0 N M EH0 L
beenmerg|B EH0 N M EH RRR HH
beenpijp|B EH0 N P EH IY P
beenprothese|B EH0 N P RRR OW0 T EH0 Z AH0
beenveeg|B EH0 N V EH0 HH
beenvis|B EH0 N V IH S
beenvisachtige|B EH0 N V IH S AA HH T AH0 HH AH0
beenvlies|B EH0 N V L IY S
beer|B EH0 RRR
beerenberg|B EH0 RRR AH0 N B EH RRR HH
beerens|B EH0 RRR AH0 N S
beerkar|B EH0 RRR K AA RRR
beermarter|B EH0 RRR M AA RRR T AH0 RRR
beerput|B EH0 RRR P T
beers|B EH0 RRR S
bees|B EH0 S
beesel|B EH0 S AH0 L
beest|B EH0 S T
beestenbende|B EH0 S T AH0 N B EH N D AH0
beestenspel|B EH0 S T AH0 N S P EH L
beet|B EH0 T
beetgaar|B EH0 T HH AE RRR
beetje|B EH0 T Y AH0
beetnemen|B EH0 T N EH0 M AH0 N
beetpakken|B EH0 T P AA K AH0 N
beets|B EH0 T S
beetwortel|B EH0 T V AO RRR T AH0 L
bef|B EH F
befaamd|B AH0 F AE M T
beffen|B EH F AH0 N
beffer|B EH F AH0 RRR
befgajes|B EH F HH AE Y AH0 S
beflapje|B EH F L AA P Y AH0
beflijster|B EH F L EH IY S T AH0 RRR
beg|B EH HH
begaafd|B AH0 HH AE F T
begaafdheid|B AH0 HH AE F T EH IY T
begaan|B AH0 HH AE N
begaanbaar|B AH0 HH AE N B AE RRR
begadkefat|B AH0 HH AA T K AH0 F AA T
begeerd|B AH0 HH EH0 RRR T
begeerlijk|B AH0 HH EH0 RRR L AH0 K
begeerlijkheid|B AH0 HH EH0 RRR L AH0 K EH IY T
begeerte|B AH0 HH EH0 RRR T AH0
begeesteren|B AH0 HH EH0 S T AH0 RRR AH0 N
begeestigen|B AH0 HH EH0 S T AH0 HH AH0 N
begekken|B AH0 HH EH K AH0 N
begeleiden|B AH0 HH AH0 L EH IY D AH0 N
begeleider|B AH0 HH AH0 L EH IY D AH0 RRR
begeleiding|B AH0 HH AH0 L EH IY D IH NG
begelukzaligen|B AH0 HH AH0 L K S AE L AH0 HH AH0 N
begenadigen|B AH0 HH AH0 N AE D AH0 HH AH0 N
begeren|B AH0 HH EH0 RRR AH0 N
begerig|B AH0 HH EH0 RRR AH0 HH
begerigheid|B AH0 HH EH0 RRR AH0 HH EH IY T
begeven|B AH0 HH EH0 V AH0 N
begieten|B AH0 HH IY T AH0 N
begiftigen|B AH0 HH IH F T AH0 HH AH0 N
begin|B AH0 HH IH N
beginletter|B AH0 HH IH N L EH T AH0 RRR
beginlettergreep|B AH0 HH IH N L EH T AH0 RRR HH RRR EH0 P
beginne|B AH0 HH IH N AH0
beginneling|B AH0 HH IY N AH0 L IH NG
beginnen|B AH0 HH IH N AH0 N
beginnend|B AH0 HH IH N AH0 N T
beginner|B AH0 HH IH N AH0 RRR
beginnerscursus|B AH0 HH IH N AH0 RRR S K RRR Z S
beginnersgeluk|B AH0 HH IH N AH0 RRR S HH AH0 L K
beginpunt|B AH0 HH IH N P N T
beginsel|B AH0 HH IH N S AH0 L
begint|B AH0 HH IH N T
begintoon|B AH0 HH IH N T OW0 N
begon|B AH0 HH AO N
begonia|B AH0 HH OW0 N IY AE
begonne|B AH0 HH AO N AH0
begonnen|B AH0 HH AO N AH0 N
begoocheling|B AH0 HH OW0 HH AH0 L IH NG
begooien|B AH0 HH OW0 IY AH0 N
begraafplaats|B AH0 HH RRR AE F P L AE T S
begrafenis|B AH0 HH RRR AE F AH0 N IH S
begrafenisondernemer|B AH0 HH RRR AE F AH0 N IH S AO N D AH0 RRR N EH0 M AH0 RRR
begraven|B AH0 HH RRR AE V AH0 N
begrazen|B AH0 HH RRR AE Z AH0 N
begrazing|B AH0 HH RRR AE Z IH NG
begrensd|B AH0 HH RRR EH N S T
begrenzen|B AH0 HH RRR EH N Z AH0 N
begrijnen|B AH0 HH RRR EH IY N AH0 N
begrijp|B AH0 HH RRR EH IY P
begrijpelijk|B AH0 HH RRR EH IY P AH0 L AH0 K
begrijpen|B AH0 HH RRR EH IY P AH0 N
begrip|B AH0 HH RRR IH P
begrippenkader|B AH0 HH RRR IH P AH0 N K AE D AH0 RRR
begroeien|B AH0 HH RRR UW IY AH0 N
begroeiing|B AH0 HH RRR UW Y IH NG
begroeten|B AH0 HH RRR UW T AH0 N
begroeting|B AH0 HH RRR UW T IH NG
begrommelen|B AH0 HH RRR AO M AH0 L AH0 N
begrommen|B AH0 HH RRR AO M AH0 N
begroten|B AH0 HH RRR OW0 T AH0 N
begroting|B AH0 HH RRR OW0 T IH NG
begrotingsartikel|B AH0 HH RRR OW0 T IH NG S AA RRR T IY K AH0 L
begrotingsbeleid|B AH0 HH RRR OW0 T IH NG S B AH0 L EH IY T
begrotingsdiscipline|B AH0 HH RRR OW0 T IH NG S D IH S IY P L IY N AH0
begrotingsevenwicht|B AH0 HH RRR OW0 T IH NG S EH0 V AH0 N V IH HH T
begrotingskort|B AH0 HH RRR OW0 T IH NG S K AO RRR T
begrotingsnorm|B AH0 HH RRR OW0 T IH NG S N AO RRR M
begrotingsonevenwicht|B AH0 HH RRR OW0 T IH NG S AO N EH0 V AH0 N V IH HH T
begrotingsoverschot|B AH0 HH RRR OW0 T IH NG S OW0 V AH0 RRR S HH AO T
begrotingspolitiek|B AH0 HH RRR OW0 T IH NG S P OW0 L IY T IY K
begrotingspost|B AH0 HH RRR OW0 T IH NG S P AO S T
begrotingsruiter|B AH0 HH RRR OW0 T IH NG S RRR ER Y UW1 T AH0 RRR
begrotingstekort|B AH0 HH RRR OW0 T IH NG S T AH0 K AO RRR T
begrotingsunie|B AH0 HH RRR OW0 T IH NG S Y UW1 N IY
begunstigde|B AH0 HH N S T AH0 HH D AH0
begunstigen|B AH0 HH N S T AH0 HH AH0 N
beha|B EH0 AE
behaaglijk|B AH0 AE HH L AH0 K
behaaglijkheid|B AH0 AE HH L AH0 K EH IY T
behaagziek|B AH0 AE HH S IY K
behagen|B AH0 AE HH AH0 N
behalen|B AH0 AE L AH0 N
behalve|B AH0 AA L V AH0
behandelaar|B AH0 AA N D AH0 L AE RRR
behandeld|B AH0 AA N D AH0 L T
behandelen|B AH0 AA N D AH0 L AH0 N
behandeling|B AH0 AA N D AH0 L IH NG
behandelt|B AH0 AA N D AH0 L T
behandigen|B AH0 AA N D AH0 HH AH0 N
behang|B AH0 AA NG
behangen|B AH0 AA NG AH0 N
behanger|B AH0 AA NG AH0 RRR
behangpapier|B AH0 AA NG P AE P IY RRR
behangselpapier|B AH0 AA NG S AH0 L P AE P IY RRR
behapbaar|B AH0 AA P B AE RRR
beharing|B AH0 AE RRR IH NG
beharten|B AH0 AA RRR T AH0 N
behartenswaardig|B AH0 AA RRR T AH0 N S V AE RRR D AH0 HH
behartigen|B AH0 AA RRR T AH0 HH AH0 N
behaviorisme|B IY EH0 V IY AO RRR IH S M AH0
behaviorist|B IY EH0 V IY AO RRR IH S T
behavioristisch|B IY EH0 V IY AO RRR IH S T IY S
beheer|B AH0 EH0 RRR
beheerbaar|B AH0 EH0 RRR B AE RRR
beheerder|B AH0 EH0 RRR D AH0 RRR
beheersbaar|B AH0 EH0 RRR S B AE RRR
beheersen|B AH0 EH0 RRR S AH0 N
beheersing|B AH0 EH0 RRR S IH NG
beheerst|B AH0 EH0 RRR S T
beheinen|B AH0 EH IY N AH0 N
beheksen|B AH0 EH K S AH0 N
behelpen|B AH0 EH L P AH0 N
behelzen|B AH0 EH L Z AH0 N
behendig|B AH0 EH N D AH0 HH
behendigheid|B AH0 EH N D AH0 HH EH IY T
beheren|B AH0 EH0 RRR AH0 N
behinderd|B AH0 IH N D AH0 RRR T
behoeden|B AH0 UW D AH0 N
behoeder|B AH0 UW D AH0 RRR
behoedzaam|B AH0 UW T S AE M
behoef|B AH0 UW F
behoefte|B AH0 UW F T AH0
behoeftig|B AH0 UW F T AH0 HH
behoeven|B AH0 UW V AH0 N
behoorlijk|B AH0 OW0 RRR L AH0 K
behoren|B AH0 OW0 RRR AH0 N
behoud|B AH0 AA UW T
behouden|B AH0 AA UW D AH0 N
behoudend|B AH0 AA UW D AH0 N T
behoudens|B AH0 AA UW D AH0 N S
behulp|B AH0 L P
behuwdmoeder|B AH0 Y UW1 UW T M UW D AH0 RRR
behuwdvader|B AH0 Y UW1 UW T F AE D AH0 RRR
behuwen|B AH0 Y UW1 AH0 N
bei|B EH IY
beiaard|B EH IY AE RRR T
beiaardier|B EH IY AE RRR D IY RRR
beide|B EH IY D AH0
beiden|B EH IY D AH0 N
beieren|B EH IY AH0 RRR AH0 N
beiers|B EH IY AH0 RRR S
beige|B EH ZH AH0
beijveren|B AH0 EH IY V AH0 RRR AH0 N
beijzelen|B AH0 EH IY Z AH0 L AH0 N
beilen|B EH IY L AH0 N
beiroet|B EH IY RRR UW T
beitel|B EH IY T AH0 L
beitelen|B EH IY T AH0 L AH0 N
beits|B EH IY T S
beitsen|B EH IY T S AH0 N
bejaard|B AH0 Y AE RRR T
bejaarde|B AH0 Y AE RRR D AH0
bejaardenhuis|B AH0 Y AE RRR D AH0 N ER Y UW1 S
bejaardenpartij|B AH0 Y AE RRR D AH0 N P AA RRR T EH IY
bejaardentehuis|B AH0 Y AE RRR D AH0 N T AH0 ER Y UW1 S
bejagen|B AH0 Y AE HH AH0 N
bejubelen|B AH0 Y Y UW1 B AH0 L AH0 N
bek|B EH K
bekaaid|B AH0 K AE IY T
bekakken|B AH0 K AA K AH0 N
bekakt|B AH0 K AA K T
bekan|B AH0 K AA N
bekant|B AH0 K AA N T
bekeerling|B AH0 K EH0 RRR L IH NG
beken|B AH0 K EH N
bekend|B AH0 K EH N T
bekende|B AH0 K EH N D AH0
bekendheid|B AH0 K EH N T EH IY T
bekendmaken|B AH0 K EH N T M AE K AH0 N
bekennen|B AH0 K EH N AH0 N
bekennend|B AH0 K EH N AH0 N T
bekentenis|B AH0 K EH N T AH0 N IH S
beker|B EH0 K AH0 RRR
bekeren|B AH0 K EH0 RRR AH0 N
bekerfinale|B EH0 K AH0 RRR F IY N AE L AH0
bekering|B AH0 K EH0 RRR IH NG
bekerplant|B EH0 K AH0 RRR P L AA N T
bekertoernooi|B EH0 K AH0 RRR T UW RRR N OW0 IY
bekerven|B AH0 K EH RRR V AH0 N
bekerwedstrijd|B EH0 K AH0 RRR V EH T S T RRR EH IY T
bekeuren|B AH0 K OE RRR AH0 N
bekeuring|B AH0 K OE RRR IH NG
bekijken|B AH0 K EH IY K AH0 N
bekijven|B AH0 K EH IY V AH0 N
bekken|B EH K AH0 N
bekkeneel|B EH K AH0 N EH0 L
bekkeneelberg|B EH K AH0 N EH0 L B EH RRR HH
bekkeneelvlies|B EH K AH0 N EH0 L V L IY S
bekkenist|B EH K AH0 N IH S T
bekkentrekken|B EH K AH0 N T RRR EH K AH0 N
bekkesnijden|B EH K AH0 N S N EH IY D AH0 N
bekkesnijder|B EH K AH0 N S N EH IY D AH0 RRR
beklag|B AH0 K L AA HH
beklagen|B AH0 K L AE HH AH0 N
beklagenswaardig|B AH0 K L AE HH AH0 N S V AE RRR D AH0 HH
beklauteren|B AH0 K L AA UW T AH0 RRR AH0 N
bekleden|B AH0 K L EH0 D AH0 N
bekleding|B AH0 K L EH0 D IH NG
beklemkrecht|B AH0 K L EH M RRR EH HH T
beklemmen|B AH0 K L EH M AH0 N
beklemming|B AH0 K L EH M IH NG
beklemtonen|B AH0 K L EH M T OW0 N AH0 N
beklijven|B AH0 K L EH IY V AH0 N
beklimmen|B AH0 K L IH M AH0 N
beklimmer|B AH0 K L IH M AH0 RRR
beklinken|B AH0 K L IH NG K AH0 N
beknellen|B AH0 K N EH L AH0 N
beknibbelen|B AH0 K N IH B AH0 L AH0 N
beknijpen|B AH0 K N EH IY P AH0 N
beknopt|B AH0 K N AO P T
beknoptheid|B AH0 K N AO P T EH IY T
beknotten|B AH0 K N AO T AH0 N
bekoelen|B AH0 K UW L AH0 N
bekogelen|B AH0 K OW0 HH AH0 L AH0 N
bekokstoven|B AH0 K AO K S T OW0 V AH0 N
bekomen|B AH0 K OW0 M AH0 N
bekommeren|B AH0 K AO M AH0 RRR AH0 N
