a|AO
bangkok|B AO NG K OW0 K
banglades|B AO NG G L AO D EH SH
bangladesi|B AO NG G L AO D EH SH IY
bani|B AO N IY
bank|B AO NG K
bankautomaták|B AO NG K AO UW T OW0 M AO T AE K
bankba|B AO NG G B AO
bankban|B AO NG G B AO N
bankból|B AO NG G B OW0 L
bankett|B AO NG K EH T
bankettek|B AO NG K EH T EH K
banketten|B AO NG K EH T EH N
bankhoz|B AO NG K HH OW0 Z
banki|B AO NG K IY
bankig|B AO NG K IY G
bankja|B AO NG K Y AO
bankjai|B AO NG K Y AO Y IY
bankjaid|B AO NG K Y AO Y IY D
bankjaik|B AO NG K Y AO Y IY K
bankjaim|B AO NG K Y AO Y IY M
bankjaink|B AO NG K Y AO Y IY NG K
bankjaitok|B AO NG K Y AO Y IY T OW0 K
bankjegy|B AO NG K Y EH G
bankjegyek|B AO NG K Y EH G EH K
bankjuk|B AO NG K Y UW K
bankkal|B AO NG K AO L
bankká|B AO NG K AE
bankkártya|B AO NG K AE RRR K HH AO
bankként|B AO NG K EH0 N T
banknak|B AO NG K N AO K
banknál|B AO NG K N AE L
bankod|B AO NG K OW0 D
bankok|B AO NG K OW0 K
bankokat|B AO NG K OW0 K AO T
bankokba|B AO NG K OW0 G B AO
bankokban|B AO NG K OW0 G B AO N
bankokból|B AO NG K OW0 G B OW0 L
bankokhoz|B AO NG K OW0 K HH OW0 Z
bankokig|B AO NG K OW0 K IY G
bankokkal|B AO NG K OW0 K AO L
bankokká|B AO NG K OW0 K AE
bankokként|B AO NG K OW0 K EH0 N T
bankoknak|B AO NG K OW0 K N AO K
bankoknál|B AO NG K OW0 K N AE L
bankokon|B AO NG K OW0 K OW0 N
bankokra|B AO NG K OW0 K RRR AO
bankokról|B AO NG K OW0 K RRR OW0 L
bankoktól|B AO NG K OW0 K T OW0 L
bankokért|B AO NG K OW0 K EH0 RRR T
bankom|B AO NG K OW0 M
bankomat|B AO NG K OW0 M AO T
bankon|B AO NG K OW0 N
bankot|B AO NG K OW0 T
bankotok|B AO NG K OW0 T OW0 K
bankra|B AO NG K RRR AO
bankrabló|B AO NG K RRR AO B L OW0
bankról|B AO NG K RRR OW0 L
bankszámla|B AO NG K S AE M L AO
bankszámlakivonat|B AO NG K S AE M L AO K IY V OW0 N AO T
bankszámlakivonatok|B AO NG K S AE M L AO K IY V OW0 N AO T OW0 K
bankszámlák|B AO NG K S AE M L AE K
banktól|B AO NG K T OW0 L
bankunk|B AO NG K UW NG K
bankár|B AO NG K AE RRR
bankárok|B AO NG K AE RRR OW0 K
bankért|B AO NG K EH0 RRR T
bantu|B AO N T UW
bantuk|B AO N T UW K
bantut|B AO N T UW T
banya|B AO N IY0 AO
banyák|B AO N IY0 AE K
banális|B AO N AE L IY SH
banálisabb|B AO N AE L IY SH AO B
banán|B AO N AE N
banánhéj|B AO N AE N EH0 Y
banánok|B AO N AE N OW0 K
barack|B AO RRR AO T K
baracklekvár|B AO RRR AO T K L EH K V AE RRR
barackmag|B AO RRR AO T K M AO G
barackok|B AO RRR AO T K OW0 K
barakk|B AO RRR AO K
baranya|B AO RRR AO N IY0 AO
barbados|B AO RRR B AO D OW0 S
barbara|B AO RRR B AO RRR AO
barbi|B AO RRR B IY
barbuda|B AO RRR B UW D AO
barbár|B AO RRR B AE RRR
barbárabb|B AO RRR B AE RRR AO B
barbárok|B AO RRR B AE RRR OW0 K
barcelona|B AO RRR S EH L OW0 N AO
barchesz|B AO RRR EH S
barhesz|B AO RRR EH S
bari|B AO RRR IY
barik|B AO RRR IY K
barikád|B AO RRR IY K AE D
barikádok|B AO RRR IY K AE D OW0 K
barin|B AO RRR IY N
barit|B AO RRR IY T
barka|B AO RRR K AO
barkochba|B AO RRR K OW0 B AO
barkochbát|B AO RRR K OW0 HH B AE T
barkochbázik|B AO RRR K OW0 B AE Z IY K
barkochbázunk|B AO RRR K OW0 HH B AE Z UW NG K
barkácsbolt|B AO RRR K AE D B OW0 L T
barkák|B AO RRR K AE K
barkó|B AO RRR K OW0
barkók|B AO RRR K OW0 K
barlang|B AO RRR L AO NG G
barlangkutató|B AO RRR L AO NG K UW T AO T OW0
barlangkutatók|B AO RRR L AO NG K UW T AO T OW0 K
barlangok|B AO RRR L AO NG G OW0 K
barlangtan|B AO RRR L AO NG K T AO N
barlangász|B AO RRR L AO NG G AE S
barlangászok|B AO RRR L AO NG G AE S OW0 K
barma|B AO RRR M AO
barmok|B AO RRR M OW0 K
barna|B AO RRR N AO
barnamedve|B AO RRR N AO M EH D V EH
barnább|B AO RRR N AE B
barnák|B AO RRR N AE K
barnállik|B AO RRR N AE L IY K
barnás|B AO RRR N AE SH
barnásabb|B AO RRR N AE SH AO B
barokk|B AO RRR OW0 K
barokkok|B AO RRR OW0 K OW0 K
barom|B AO RRR OW0 M
baromfi|B AO RRR OW0 F IY
baromfik|B AO RRR OW0 F IY K
baromfitenyésztés|B AO RRR OW0 F IY T EH N IY0 EH0 S T EH0 SH
baromság|B AO RRR OW0 M SH AE G
baromságok|B AO RRR OW0 M SH AE G OW0 K
barométer|B AO RRR OW0 M EH0 T EH RRR
baross|B AO RRR OW0 SH
bartók|B AO RRR T OW0 K
barát|B AO RRR AE T
barátai|B AO RRR AE T AO Y IY
barátaid|B AO RRR AE T AO Y IY D
barátaim|B AO RRR AE T AO Y IY M
barátfüle|B AO RRR AE T F Y UW1 L EH
baráti|B AO RRR AE T IY
barátibb|B AO RRR AE T IY B
barátja|B AO RRR AE K HH AO
barátjának|B AO RRR AE K HH AE N AO K
barátkeselyű|B AO RRR AE T K EH SH EH Y Y UW1
barátkeselyűk|B AO RRR AE T K EH SH EH Y Y UW1 K
barátkozik|B AO RRR AE T K OW0 Z IY K
barátnő|B AO RRR AE T N OE
barátnője|B AO RRR AE T N OE Y EH
barátnők|B AO RRR AE T N OE K
barátnőm|B AO RRR AE T N OE M
barátod|B AO RRR AE T OW0 D
barátok|B AO RRR AE T OW0 K
barátokhoz|B AO RRR AE T OW0 K HH OW0 Z
barátom|B AO RRR AE T OW0 M
barátság|B AO RRR AE T AE G
barátságok|B AO RRR AE T AE G OW0 K
barátságokon|B AO RRR AE T AE G OW0 K OW0 N
barátságokra|B AO RRR AE T AE G OW0 K RRR AO
barátságon|B AO RRR AE T AE G OW0 N
barátságos|B AO RRR AE T AE G OW0 SH
barátságosabb|B AO RRR AE T AE G OW0 SH AO B
barátságosabban|B AO RRR AE T AE G OW0 SH AO B AO N
barátságosak|B AO RRR AE T AE G OW0 SH AO K
barátságosan|B AO RRR AE T AE G OW0 SH AO N
barátságosság|B AO RRR AE T AE G OW0 SH AE G
barátságra|B AO RRR AE T AE G RRR AO
barátságtalan|B AO RRR AE T AE K T AO L AO N
barátságtalanabb|B AO RRR AE T AE K T AO L AO N AO B
barátságtalanok|B AO RRR AE T AE K T AO L AO N OW0 K
barátságtalanság|B AO RRR AE T AE K T AO L AO N SH AE G
barátságtalanul|B AO RRR AE T AE K T AO L AO N UW L
barátunk|B AO RRR AE T UW NG K
barázda|B AO RRR AE Z D AO
barázdák|B AO RRR AE Z D AE K
basa|B AO SH AO
baseball|B EH0 Z B OW0 L
baseballsapka|B EH0 Z B OW0 L SH AO P K AO
baskír|B AO SH K IY RRR
bassz|B AO S
basszista|B AO S IY SH T AO
basszus|B AO S UW SH
basszusgitár|B AO S UW ZH G IY T AE RRR
basszusok|B AO S UW SH OW0 K
basz|B AO S
baszhat|B AO S HH AO T
baszik|B AO S IY K
baszk|B AO S K
baszkföld|B AO S K F OE L D
baszkok|B AO S K OW0 K
baszta|B AO S T AO
basák|B AO SH AE K
basáskodik|B AO SH AE SH K OW0 D IY K
batthyány|B AO K HH AE N IY0 IY
batyk|B AO K HH K
bauxit|B AO UW K S IY T
bauxitbánya|B AO UW K S IY D B AE N IY0 AO
bazilika|B AO Z IY L IY K AO
bazmeg|B AO Z M EH G
bazsalikom|B AO ZH AO L IY K OW0 M
bazsalikomok|B AO ZH AO L IY K OW0 M OW0 K
bazsarózsa|B AO ZH AO RRR OW0 ZH AO
bazsarózsák|B AO ZH AO RRR OW0 ZH AE K
bazár|B AO Z AE RRR
bazárok|B AO Z AE RRR OW0 K
be|B EH
bea|B EH AO
bead|B EH AO D
beadja|B EH AO G AO
beadom|B EH AO D OW0 M
beadvány|B EH AO D V AE N IY0
beadványok|B EH AO D V AE N IY0 OW0 K
beatrix|B EH AO T RRR IY K S
beavat|B EH AO V AO T
beavatkozik|B EH AO V AO T K OW0 Z IY K
beavatkozás|B EH AO V AO T K OW0 Z AE SH
beavatkozások|B EH AO V AO T K OW0 Z AE SH OW0 K
beavatott|B EH AO V AO T OW0 T
beavatottabb|B EH AO V AO T OW0 T AO B
beavatottak|B EH AO V AO T OW0 T AO K
bebeszél|B EH B EH S EH0 L
bebizonyít|B EH B IY Z OW0 N IY0 IY T
beborít|B EH B OW0 RRR IY T
bebukik|B EH B UW K IY K
bebé|B EH B EH0
bebörtönöz|B EH B OE RRR T OE N OE Z
beck|B EH K
becs|B EH T
becsap|B EH T AO P
becsben|B EH D B EH N
becses|B EH T EH SH
becsesebb|B EH T EH SH EH B
becsillanás|B EH T IY L AO N AE SH
becslés|B EH T L EH0 SH
becslések|B EH T L EH0 SH EH K
becsmérel|B EH T M EH0 RRR EH L
becsmérlő|B EH T M EH0 RRR L OE
becsszó|B EH T S OW0
becstelen|B EH T T EH L EH N
becstelenebb|B EH T T EH L EH N EH B
becsuk|B EH T UW K
becsukod|B EH T UW K OW0 D
becsvágy|B EH T V AE G
becsvágyó|B EH T V AE G OW0
becsvágyóbb|B EH T V AE G OW0 B
becsíp|B EH T IY P
becsül|B EH T Y UW1 L
becsület|B EH T Y UW1 L EH T
becsülete|B EH T Y UW1 L EH T EH
becsületek|B EH T Y UW1 L EH T EH K
becsületes|B EH T Y UW1 L EH T EH SH
becsületesebb|B EH T Y UW1 L EH T EH SH EH B
becsületesség|B EH T Y UW1 L EH T EH SH EH0 G
becsületességű|B EH T Y UW1 L EH T EH SH EH0 G Y UW1
becsületszó|B EH T Y UW1 L EH T S OW0
becsületére|B EH T Y UW1 L EH T EH0 RRR EH
bedob|B EH D OW0 B
bedobja|B EH D OW0 B Y AO
bee|B EH EH
beethoven|B EH0 T OW0 V EH N
beethoveni|B EH T OW0 V EH N IY
befagy|B EH F AO G
befecskendez|B EH F EH T K EH N D EH Z
befecskendezés|B EH F EH T K EH N D EH Z EH0 SH
befecskendezések|B EH F EH T K EH N D EH Z EH0 SH EH K
befed|B EH F EH D
befejez|B EH F EH Y EH Z
befejezetlen|B EH F EH Y EH Z EH T L EH N
befejezett|B EH F EH Y EH Z EH T
befejezés|B EH F EH Y EH Z EH0 SH
befejezése|B EH F EH Y EH Z EH0 SH EH
befejeződik|B EH F EH Y EH Z OE D IY K
befektet|B EH F EH K T EH T
befektetés|B EH F EH K T EH T EH0 SH
befektetések|B EH F EH K T EH T EH0 SH EH K
befektető|B EH F EH K T EH T OE
befektetők|B EH F EH K T EH T OE K
befelé|B EH F EH L EH0
befizet|B EH F IY Z EH T
befog|B EH F OW0 G
befogad|B EH F OW0 G AO D
befogadó|B EH F OW0 G AO D OW0
befogadóbb|B EH F OW0 G AO D OW0 B
befogadók|B EH F OW0 G AO D OW0 K
befogja|B EH F OW0 G Y AO
befogok|B EH F OW0 G OW0 K
befogó|B EH F OW0 G OW0
befogók|B EH F OW0 G OW0 K
befolyik|B EH F OW0 Y IY K
befolyás|B EH F OW0 Y AE SH
befolyások|B EH F OW0 Y AE SH OW0 K
befolyásol|B EH F OW0 Y AE SH OW0 L
befolyásolhat|B EH F OW0 Y AE SH OW0 L AO T
befolyásolni|B EH F OW0 Y AE SH OW0 L N IY
befolyásolt|B EH F OW0 Y AE SH OW0 L T
befolyásoltság|B EH F OW0 Y AE SH OW0 L T AE G
befolyásoló|B EH F OW0 Y AE SH OW0 L OW0
befolyásos|B EH F OW0 Y AE SH OW0 SH
befolyásosabb|B EH F OW0 Y AE SH OW0 SH AO B
befon|B EH F OW0 N
befordul|B EH F OW0 RRR D UW L
begy|B EH G
begyakoroltatás|B EH G AO K OW0 RRR OW0 L T AO T AE SH
begyepesedett|B EH G EH P EH SH EH D EH T
begyepesedettebb|B EH G EH P EH SH EH D EH T EH B
begónia|B EH G OW0 N IY Y AO
behat|B EH AO T
behatol|B EH AO T OW0 L
behatolás|B EH AO T OW0 L AE SH
behemót|B EH HH EH M OW0 T
behozatal|B EH OW0 Z AO T AO L
behozatalok|B EH OW0 Z AO T AO L OW0 K
behúz|B EH UW Z
behúzza|B EH UW Z AO
behúzás|B EH UW Z AE SH
beidegez|B EH Y IY D EH G EH Z
beidéz|B EH Y IY D EH0 Z
beidézés|B EH Y IY D EH0 Z EH0 SH
beiktat|B EH Y IY K T AO T
beiktatás|B EH Y IY K T AO T AE SH
beiktatások|B EH Y IY K T AO T AE SH OW0 K
beindul|B EH Y IY N D UW L
beint|B EH Y IY N T
beismer|B EH Y IY SH M EH RRR
beismerte|B EH Y IY SH M EH RRR T EH
bejegyez|B EH Y EH G EH Z
bejegyzés|B EH Y EH G Z EH0 SH
bejelent|B EH Y EH L EH N T
bejelenteni|B EH Y EH L EH N T EH N IY
bejelentette|B EH Y EH L EH N T EH T EH
bejelentkezik|B EH Y EH L EH N T K EH Z IY K
bejelentkeztet|B EH Y EH L EH N T K EH S T EH T
bejelentkezés|B EH Y EH L EH N T K EH Z EH0 SH
bejelentés|B EH Y EH L EH N T EH0 SH
bejelentése|B EH Y EH L EH N T EH0 SH EH
bejelentések|B EH Y EH L EH N T EH0 SH EH K
bejelentést|B EH Y EH L EH N T EH0 SH T
bejelöl|B EH Y EH L OE L
bejgli|B EH Y G L IY
bejglik|B EH Y G L IY K
bejglit|B EH Y G L IY T
bejrút|B EH Y RRR UW T
bejárat|B EH Y AE RRR AO T
bejárati|B EH Y AE RRR AO T IY
bejáratok|B EH Y AE RRR AO T OW0 K
bejárónő|B EH Y AE RRR OW0 N OE
bejöhetsz|B EH Y OE EH T
bejön|B EH Y OE N
bejövő|B EH Y OE V OE
bekapcsol|B EH K AO P T OW0 L
bekapcsolás|B EH K AO P T OW0 L AE SH
bekapcsolása|B EH K AO P T OW0 L AE SH AO
beken|B EH K EH N
bekerít|B EH K EH RRR IY T
bekerül|B EH K EH RRR Y UW1 L
bekezdés|B EH K EH Z D EH0 SH
bekezdése|B EH K EH Z D EH0 SH EH
bekezdések|B EH K EH Z D EH0 SH EH K
bekezdésében|B EH K EH Z D EH0 SH EH0 B EH N
bekukucskál|B EH K UW K UW T K AE L
beképzelt|B EH K EH0 B Z EH L T
beképzeltség|B EH K EH0 B Z EH L T EH0 G
beképzeltségek|B EH K EH0 B Z EH L T EH0 G EH K
beköltözik|B EH K OE L T OE Z IY K
beköp|B EH K OE P
bekövetkezik|B EH K OE V EH T K EH Z IY K
bekövetkező|B EH K OE V EH T K EH Z OE
beküld|B EH K Y UW1 L D
beküldő|B EH K Y UW1 L D OE
bel|B EH L
bele|B EH L EH
belebeszél|B EH L EH B EH S EH0 L
belebotlik|B EH L EH B OW0 T L IY K
beled|B EH L EH D
beleegyezek|B EH L EH EH G EH Z EH K
beleegyezel|B EH L EH EH G EH Z EH L
beleegyezem|B EH L EH EH G EH Z EH M
beleegyezett|B EH L EH EH G EH Z EH T
beleegyezik|B EH L EH EH G EH Z IY K
beleegyeznek|B EH L EH EH G EH Z N EH K
beleegyeztek|B EH L EH EH G EH S T EH K
beleegyeztem|B EH L EH EH G EH S T EH M
beleegyeztetek|B EH L EH EH G EH S T EH T EH K
beleegyeztél|B EH L EH EH G EH S T EH0 L
beleegyeztünk|B EH L EH EH G EH S T Y UW1 NG K
beleegyezés|B EH L EH EH G EH Z EH0 SH
beleegyezések|B EH L EH EH G EH Z EH0 SH EH K
beleegyezünk|B EH L EH EH G EH Z Y UW1 NG K
belegondol|B EH L EH G OW0 N D OW0 L
belegondolva|B EH L EH G OW0 N D OW0 L V AO
belei|B EH L EH Y IY
beleid|B EH L EH Y IY D
beleik|B EH L EH Y IY K
beleim|B EH L EH Y IY M
beleink|B EH L EH Y IY NG K
beleitek|B EH L EH Y IY T EH K
belek|B EH L EH K
belem|B EH L EH M
belemen|B EH L EH M EH N
belen|B EH L EH N
beleszeret|B EH L EH S EH RRR EH T
beleszeretni|B EH L EH S EH RRR EH T N IY
beleszól|B EH L EH S OW0 L
beleszólás|B EH L EH S OW0 L AE SH
beletek|B EH L EH T EH K
beletörik|B EH L EH T OE RRR IY K
beletörődik|B EH L EH T OE RRR OE D IY K
belevág|B EH L EH V AE G
beleért|B EH L EH Y EH0 RRR T
beleértve|B EH L EH Y EH0 RRR T V EH
beleérzés|B EH L EH Y EH0 RRR Z EH0 SH
beleír|B EH L EH Y IY RRR
beleüvölt|B EH L EH Y UW1 V OE L T
belföld|B EH L F OE L D
belföldek|B EH L F OE L D EH K
belföldi|B EH L F OE L D IY
belga|B EH L G AO
belgium|B EH L G IY Y UW M
belgrád|B EH L G RRR AE D
belgák|B EH L G AE K
belize|B EH L IY Z
beljebb|B EH Y EH B
bella|B EH L AO
belorusz|B EH L OW0 RRR UW S
belseje|B EH L SH EH Y EH
belsejében|B EH L SH EH Y EH0 B EH N
belső|B EH L SH OE
belsőbb|B EH L SH OE B
belsők|B EH L SH OE K
belsőleg|B EH L SH OE L EH G
beltéri|B EH L T EH0 RRR IY
belváros|B EH L V AE RRR OW0 SH
belvárosi|B EH L V AE RRR OW0 SH IY
belvárosok|B EH L V AE RRR OW0 SH OW0 K
belvíztan|B EH L V IY S T AO N
belátható|B EH L AE T HH AO T OW0
belé|B EH L EH0
beléd|B EH L EH0 D
beléje|B EH L EH0 Y EH
beléjük|B EH L EH0 Y Y UW1 K
belélegzik|B EH L EH0 L EH G Z IY K
belélegzés|B EH L EH0 L EH G Z EH0 SH
belém|B EH L EH0 M
belén|B EH L EH0 N
belénk|B EH L EH0 NG K
belép|B EH L EH0 P
beléphet|B EH L EH0 P HH EH T
belépni|B EH L EH0 P N IY
belépés|B EH L EH0 P EH0 SH
belépések|B EH L EH0 P EH0 SH EH K
belépéshez|B EH L EH0 P EH0 SH HH EH Z
belépési|B EH L EH0 P EH0 SH IY
belépő|B EH L EH0 P OE
belépődíj|B EH L EH0 P OE D IY Y
belépőjegy|B EH L EH0 P OE Y EH G
belétek|B EH L EH0 T EH K
belügy|B EH L Y UW1 G
belügyminiszter|B EH L Y UW1 G M IY N IY S T EH RRR
belügyminisztérium|B EH L Y UW1 G M IY N IY S T EH0 RRR IY Y UW M
belük|B EH L Y UW1 K
belül|B EH L Y UW1 L
belüli|B EH L Y UW1 L IY
belünk|B EH L Y UW1 NG K
belőle|B EH L OE L EH
belőled|B EH L OE L EH D
belőlem|B EH L OE L EH M
belőletek|B EH L OE L EH T EH K
belőlük|B EH L OE L Y UW1 K
belőlünk|B EH L OE L Y UW1 NG K
belű|B EH L Y UW1
bemegy|B EH M EH G
bemelegítés|B EH M EH L EH G IY T EH0 SH
bemelegítések|B EH M EH L EH G IY T EH0 SH EH K
bemutat|B EH M UW T AO T
bemutatja|B EH M UW T AO K HH AO
bemutatkozik|B EH M UW T AO T K OW0 Z IY K
bemutatkozás|B EH M UW T AO T K OW0 Z AE SH
bemutatkozások|B EH M UW T AO T K OW0 Z AE SH OW0 K
bemutatkozó|B EH M UW T AO T K OW0 Z OW0
bemutatni|B EH M UW T AO T N IY
bemutatok|B EH M UW T AO T OW0 K
bemutatott|B EH M UW T AO T OW0 T
bemutatták|B EH M UW T AO T AE K
bemutatás|B EH M UW T AO T AE SH
bemutatása|B EH M UW T AO T AE SH AO
bemutatások|B EH M UW T AO T AE SH OW0 K
bemutatásra|B EH M UW T AO T AE SH RRR AO
bemutatására|B EH M UW T AO T AE SH AE RRR AO
bemutatásával|B EH M UW T AO T AE SH AE V AO L
bemutató|B EH M UW T AO T OW0
bemutatója|B EH M UW T AO T OW0 Y AO
bemutatók|B EH M UW T AO T OW0 K
bence|B EH N T EH
bencsol|B EH N T OW0 L
bencsolás|B EH N T OW0 L AE SH
bencés|B EH N T EH0 SH
bendzsó|B EH N D OW0
bendzsók|B EH N D OW0 K
bendzsózik|B EH N D OW0 Z IY K
benedek|B EH N EH D EH K
bengál|B EH NG G AE L
bengáli|B EH NG G AE L IY
benin|B EH N IY N
benini|B EH N IY N IY
beniniek|B EH N IY N IY Y EH K
benjámin|B EH N IY0 AE M IY N
benkő|B EH NG K OE
benn|B EH N
benne|B EH N EH
benned|B EH N EH D
bennem|B EH N EH M
bennetek|B EH N EH T EH K
benneteket|B EH N EH T EH K EH T
bennfentes|B EH F EH N T EH SH
bennszülött|B EH N S Y UW1 L OE T
bennszülöttek|B EH N S Y UW1 L OE T EH K
bennük|B EH N Y UW1 K
bennünk|B EH N Y UW1 NG K
bennünket|B EH N Y UW1 NG K EH T
bensőség|B EH N SH OE SH EH0 G
bensőséges|B EH N SH OE SH EH0 G EH SH
bensőségesebb|B EH N SH OE SH EH0 G EH SH EH B
bent|B EH N T
benyomni|B EH N IY0 OW0 M N IY
benyomás|B EH N IY0 OW0 M AE SH
benyomások|B EH N IY0 OW0 M AE SH OW0 K
benyomást|B EH N IY0 OW0 M AE SH T
benyújt|B EH N IY0 UW Y T
benyújtani|B EH N IY0 UW Y T AO N IY
benzil|B EH N Z IY L
benzin|B EH N Z IY N
benzined|B EH N Z IY N EH D
benzinek|B EH N Z IY N EH K
benzinem|B EH N Z IY N EH M
benzines|B EH N Z IY N EH SH
benzinetek|B EH N Z IY N EH T EH K
benzinje|B EH N Z IY N IY0 EH
benzinjei|B EH N Z IY N IY0 EH Y IY
benzinjeid|B EH N Z IY N IY0 EH Y IY D
benzinjeik|B EH N Z IY N IY0 EH Y IY K
benzinjeim|B EH N Z IY N IY0 EH Y IY M
benzinjeink|B EH N Z IY N IY0 EH Y IY NG K
benzinjeitek|B EH N Z IY N IY0 EH Y IY T EH K
benzinjük|B EH N Z IY N IY0 Y UW1 K
benzinkutak|B EH N Z IY NG K UW T AO K
benzinkút|B EH N Z IY NG K UW T
benzintartály|B EH N Z IY N T AO RRR T AE Y
benzintartályok|B EH N Z IY N T AO RRR T AE Y OW0 K
benzinünk|B EH N Z IY N Y UW1 NG K
benzodiazepin|B EH N Z OW0 D IY Y AO Z EH P IY N
benzoesav|B EH N Z OW0 EH SH AO V
benzol|B EH N Z OW0 L
benzolgyűrű|B EH N Z OW0 L G Y UW1 RRR Y UW1
benéz|B EH N EH0 Z
beolt|B EH OW0 L T
beosztás|B EH OW0 S T AE SH
beosztások|B EH OW0 S T AE SH OW0 K
beosztású|B EH OW0 S T AE SH UW
bepillant|B EH P IY L AO N T
bepillantás|B EH P IY L AO N T AE SH
bepillantást|B EH P IY L AO N T AE SH T
bepótol|B EH P OW0 T OW0 L
bepörög|B EH P OE RRR OE G
berakás|B EH RRR AO K AE SH
berakások|B EH RRR AO K AE SH OW0 K
berci|B EH RRR T IY
berek|B EH RRR EH K
berendez|B EH RRR EH N D EH Z
berendezett|B EH RRR EH N D EH Z EH T
berendezés|B EH RRR EH N D EH Z EH0 SH
berendezések|B EH RRR EH N D EH Z EH0 SH EH K
berendezéseket|B EH RRR EH N D EH Z EH0 SH EH K EH T
berendezést|B EH RRR EH N D EH Z EH0 SH T
berepülőpilóta|B EH RRR EH P Y UW1 L OE P IY L OW0 T AO
berill|B EH RRR IY L
berillium|B EH RRR IY L IY Y UW M
berilliumok|B EH RRR IY L IY Y UW M OW0 K
berke|B EH RRR K EH
berkek|B EH RRR K EH K
berkélium|B EH RRR K EH0 L IY Y UW M
berlin|B EH RRR L IY N
berlini|B EH RRR L IY N IY
bernadett|B EH RRR N AO D EH T
bernstein|B EH RRR N SH T EH Y N
bernát|B EH RRR N AE T
berozsdásodik|B EH RRR OW0 ZH D AE SH OW0 D IY K
berreg|B EH RRR EH G
berta|B EH RRR T AO
bertalan|B EH RRR T AO L AO N
beruházás|B EH RRR UW AE Z AE SH
beruházási|B EH RRR UW AE Z AE SH IY
beruházások|B EH RRR UW AE Z AE SH OW0 K
beruházásokat|B EH RRR UW AE Z AE SH OW0 K AO T
beruházást|B EH RRR UW AE Z AE SH T
berzenkedik|B EH RRR Z EH NG K EH D IY K
berúg|B EH RRR UW G
besenyő|B EH SH EH N IY0 OE
bestiális|B EH SH T IY Y AE L IY SH
bestiálisabb|B EH SH T IY Y AE L IY SH AO B
beszed|B EH S EH D
beszerez|B EH S EH RRR EH Z
beszerezhető|B EH S EH RRR EH S HH EH T OE
beszerezni|B EH S EH RRR EH Z N IY
beszerzett|B EH S EH RRR Z EH T
beszerzés|B EH S EH RRR Z EH0 SH
beszerzése|B EH S EH RRR Z EH0 SH EH
beszerzések|B EH S EH RRR Z EH0 SH EH K
beszerzési|B EH S EH RRR Z EH0 SH IY
beszáll|B EH S AE L
beszállás|B EH S AE L AE SH
beszámol|B EH S AE M OW0 L
beszámolok|B EH S AE M OW0 L OW0 K
beszámoló|B EH S AE M OW0 L OW0
beszámolók|B EH S AE M OW0 L OW0 K
beszámolót|B EH S AE M OW0 L OW0 T
beszéd|B EH S EH0 D
beszédbuborék|B EH S EH0 D B UW B OW0 RRR EH0 K
beszéde|B EH S EH0 D EH
beszédek|B EH S EH0 D EH K
beszédeket|B EH S EH0 D EH K EH T
beszédes|B EH S EH0 D EH SH
beszédesebb|B EH S EH0 D EH SH EH B
beszédet|B EH S EH0 D EH T
beszédfelismerés|B EH S EH0 T F EH L IY SH M EH RRR EH0 SH
beszédfordulat|B EH S EH0 T F OW0 RRR D UW L AO T
beszédfordulatok|B EH S EH0 T F OW0 RRR D UW L AO T OW0 K
beszédhangtan|B EH S EH0 T HH AO NG K T AO N
beszédhiba|B EH S EH0 T HH IY B AO
beszédkészség|B EH S EH0 T K EH0 SH EH0 G
beszédnek|B EH S EH0 D N EH K
beszédében|B EH S EH0 D EH0 B EH N
beszédét|B EH S EH0 D EH0 T
beszél|B EH S EH0 L
beszélek|B EH S EH0 L EH K
beszélget|B EH S EH0 L G EH T
beszélgethet|B EH S EH0 L G EH T HH EH T
beszélgetnek|B EH S EH0 L G EH T N EH K
beszélgetni|B EH S EH0 L G EH T N IY
beszélgetsz|B EH S EH0 L G EH T
beszélgetés|B EH S EH0 L G EH T EH0 SH
beszélgetések|B EH S EH0 L G EH T EH0 SH EH K
beszélgetéseket|B EH S EH0 L G EH T EH0 SH EH K EH T
beszélgetésre|B EH S EH0 L G EH T EH0 SH RRR EH
beszélgetést|B EH S EH0 L G EH T EH0 SH T
beszélgetünk|B EH S EH0 L G EH T Y UW1 NG K
beszélhet|B EH S EH0 L EH T
beszélhetek|B EH S EH0 L EH T EH K
beszélj|B EH S EH0 Y
beszéljen|B EH S EH0 Y EH N
beszéljünk|B EH S EH0 Y Y UW1 NG K
beszélnek|B EH S EH0 L N EH K
beszélni|B EH S EH0 L N IY
beszélsz|B EH S EH0 L S
beszélt|B EH S EH0 L T
beszéltek|B EH S EH0 L T EH K
beszéltem|B EH S EH0 L T EH M
beszéltet|B EH S EH0 L T EH T
beszéltetek|B EH S EH0 L T EH T EH K
beszéltünk|B EH S EH0 L T Y UW1 NG K
beszélünk|B EH S EH0 L Y UW1 NG K
beszélő|B EH S EH0 L OE
beszélők|B EH S EH0 L OE K
beszól|B EH S OW0 L
besúg|B EH SH UW G
besúgok|B EH SH UW G OW0 K
besúgó|B EH SH UW G OW0
besúgók|B EH SH UW G OW0 K
betakarít|B EH T AO K AO RRR IY T
betakarítás|B EH T AO K AO RRR IY T AE SH
betartás|B EH T AO RRR T AE SH
betartása|B EH T AO RRR T AE SH AO
beteg|B EH T EH G
betegebb|B EH T EH G EH B
betegedik|B EH T EH G EH D IY K
betegek|B EH T EH G EH K
