aa|AA
koneellisesti|K OW0 N EH0 L IY S EH0 S T IY Q
koneellisuus|K OW0 N EH0 L L IY S UW S
koneenasennus|K OW0 N EH0 N AA S EH0 N UW S
koneenasentaja|K OW0 N EH0 N AA S EH0 N T AA Y AA
koneenosa|K OW0 N EH0 N OW0 S AA
koneenpiirtäjä|K OW0 N EH0 M P IY RRR T AE Y AE
koneenpiirustus|K OW0 N EH0 M P IY RRR UW S T UW S
koneenrakennus|K OW0 N EH0 N RRR AA K EH0 N UW S
koneensuunnittelu|K OW0 N EH0 N S UW N IY T T EH0 L UW
koneet|K OW0 N EH0 T
konehalli|K OW0 N EH0 HH HH AA L IY
konehaudonta|K OW0 N EH0 HH HH AA UW D OW0 N T AA
konehuolto|K OW0 N EH0 HH HH UW OW0 L T OW0
koneikko|K OW0 N EH0 IY K OW0
koneinsinööri|K OW0 N EH0 Q IY N S IY N OE RRR IY
koneistaa|K OW0 N EH0 IY S T AA Q
koneistaminen|K OW0 N EH0 IY S T AA M IY N EH0 N
koneisto|K OW0 N EH0 IY S T OW0
koneistuminen|K OW0 N EH0 IY S T UW M IY N EH0 N
koneistus|K OW0 N EH0 IY S T UW S
konekanta|K OW0 N EH0 K K AA N T AA
konekieli|K OW0 N EH0 K K IY EH0 L IY
konekirjoite|K OW0 N EH0 K K IY RRR Y OW0 IY T EH0 Q
konekirjoitettu|K OW0 N EH0 K K IY RRR Y OW0 IY T EH0 T UW
konekirjoittaa|K OW0 N EH0 K K IY RRR Y OW0 IY T AA Q
konekirjoituskopio|K OW0 N EH0 K K IY RRR Y OW0 IY T UW S K OW0 P IY OW0
konekirjonta|K OW0 N EH0 K K IY RRR Y OW0 N T AA
konekivääri|K OW0 N EH0 K K IY V AE RRR IY
konekivääriampuja|K OW0 N EH0 K K IY V AE RRR IY AA M P UW Y AA
konekiväärikärry|K OW0 N EH0 K K IY V AE RRR IY K AE RRR Y UW1
konekivääripesäke|K OW0 N EH0 K K IY V AE RRR IY P EH0 S AE K EH0 Q
konekiväärisuihku|K OW0 N EH0 K K IY V AE RRR IY S UW IY HH K UW
konekiväärituli|K OW0 N EH0 K K IY V AE RRR IY T UW L IY
konekoodinen|K OW0 N EH0 K K OW0 D IY N EH0 N
konekäsky|K OW0 N EH0 K K AE S K Y UW1
konekäyttöinen|K OW0 N EH0 K K AE Y UW1 T OE IY N EH0 N
konekäännös|K OW0 N EH0 K K AE N OE S
koneladonta|K OW0 N EH0 L L AA D OW0 N T AA
konelapio|K OW0 N EH0 L L AA P IY OW0
konelatoja|K OW0 N EH0 L L AA T OW0 Y AA
koneluettava|K OW0 N EH0 L L UW EH0 T T AA V AA
konelukuinen|K OW0 N EH0 L L UW K UW IY N EH0 N
konelypsy|K OW0 N EH0 L L Y UW1 P S Y UW1
konemainen|K OW0 N EH0 M AA IY N EH0 N
konemaisesti|K OW0 N EH0 M AA IY S EH0 S T IY Q
konemestari|K OW0 N EH0 M M EH0 S T AA RRR IY
konemiehistö|K OW0 N EH0 M M IY EH0 IY S T OE
konemies|K OW0 N EH0 M M IY EH0 S
konenaula|K OW0 N EH0 N N AA UW L AA
koneneulonta|K OW0 N EH0 N N EH0 UW L OW0 N T AA
koneompelija|K OW0 N EH0 Q OW0 M P EH0 L IY Y AA
koneompelu|K OW0 N EH0 Q OW0 M P EH0 L UW
koneoppi|K OW0 N EH0 Q OW0 P IY
koneosuuskunta|K OW0 N EH0 Q OW0 S UW S K UW N T AA
konepajatekniikka|K OW0 N EH0 P P AA Y AA T EH0 K N IY K AA
konepajateollisuus|K OW0 N EH0 P P AA Y AA T EH0 OW0 L L IY S UW S
konepaperi|K OW0 N EH0 P P AA P EH0 RRR IY
konepeltikoriste|K OW0 N EH0 P P EH0 L T IY K OW0 RRR IY S T EH0 Q
konepesu|K OW0 N EH0 P P EH0 S UW
konepiirtäjä|K OW0 N EH0 P P IY RRR T AE Y AE
konepiirustus|K OW0 N EH0 P P IY RRR UW S T UW S
konepistooli|K OW0 N EH0 P P IY S T OW0 L IY
konepistooliampuja|K OW0 N EH0 P P IY S T OW0 L IY AA M P UW Y AA
konepistoolisuihku|K OW0 N EH0 P P IY S T OW0 L IY S UW IY HH K UW
konepora|K OW0 N EH0 P P OW0 RRR AA
konepuuseppä|K OW0 N EH0 P P UW S EH0 P AE
konepäällikkö|K OW0 N EH0 P P AE L IY K OE
konepäällystö|K OW0 N EH0 P P AE L Y UW1 S T OE
konerasva|K OW0 N EH0 RRR RRR AA S V AA
konerengas|K OW0 N EH0 RRR RRR EH0 NG AA S
konerikko|K OW0 N EH0 RRR RRR IY K OW0
koneruuvi|K OW0 N EH0 RRR RRR UW V IY
konesaha|K OW0 N EH0 S S AA AA
konesali|K OW0 N EH0 S S AA L IY
konesaumakatto|K OW0 N EH0 S S AA UW M AA K AA T OW0
konesuoja|K OW0 N EH0 S S UW OW0 Y AA
konesuunta|K OW0 N EH0 S S UW N T AA
koneteho|K OW0 N EH0 T T EH0 OW0
konetekniikka|K OW0 N EH0 T T EH0 K N IY K AA
konetekninen|K OW0 N EH0 T T EH0 K N IY N EH0 N
koneteollisuus|K OW0 N EH0 T T EH0 OW0 L L IY S UW S
konetietoisuus|K OW0 N EH0 T T IY EH0 T OW0 IY S UW S
konetikkaat|K OW0 N EH0 T T IY K AA T
konetiskiaine|K OW0 N EH0 T T IY S K IY AA IY N EH0 Q
konetiskitabletti|K OW0 N EH0 T T IY S K IY T AA B L EH0 T IY
konetuliase|K OW0 N EH0 T T UW L IY AA S EH0 Q
konetyö|K OW0 N EH0 T T Y UW1 OE
konetyökalu|K OW0 N EH0 T T Y UW1 OE K AA L UW
konevasara|K OW0 N EH0 V V AA S AA RRR AA
koneverstas|K OW0 N EH0 V V EH0 RRR S T AA S
konevoima|K OW0 N EH0 V V OW0 IY M AA
konevoimainen|K OW0 N EH0 V V OW0 IY M AA IY N EH0 N
koneyrittäjä|K OW0 N EH0 Q Y UW1 RRR IY T T AE Y AE
koneöljy|K OW0 N EH0 Q OE L Y Y UW1
konferenssiabstrakti|K OW0 N F EH0 RRR EH0 N S IY AA B S T RRR AA K T IY
konferenssiesitelmä|K OW0 N F EH0 RRR EH0 N S IY EH0 S IY T EH0 L M AE
konferenssijulkaisu|K OW0 N F EH0 RRR EH0 N S IY Y UW L K AA IY S UW
konferenssitulkki|K OW0 N F EH0 RRR EH0 N S IY T UW L K IY
konfiguroida|K OW0 N F IY G UW RRR OW0 IY D AA Q
konfigurointi|K OW0 N F IY G UW RRR OW0 IY N T IY
konfirmandi|K OW0 N F IY RRR M AA N D IY
konflikti|K OW0 N F L IY K T IY
konfliktinratkaisu|K OW0 N F L IY K T IY N RRR AA T K AA IY S UW
konfliktiromaani|K OW0 N F L IY K T IY RRR OW0 M AA N IY
konfliktiteoria|K OW0 N F L IY K T IY T EH0 OW0 RRR IY AA
konfliktitilanne|K OW0 N F L IY K T IY T IY L AA N EH0 Q
konformaatioisomeria|K OW0 N F OW0 RRR M AA T IY OW0 IY S OW0 M EH0 RRR IY AA
konfutselainen|K OW0 N F UW T S EH0 L AA IY N EH0 N
kongenitaalinen|K OW0 NG EH0 N IY T AA L IY N EH0 N
kongonkahvi|K OW0 NG OW0 NG K AA HH V IY
kongressi|K OW0 NG RRR EH0 S IY
kongressiedustaja|K OW0 NG RRR EH0 S IY EH0 D UW S T AA Y AA
kongressihotelli|K OW0 NG RRR EH0 S IY HH OW0 T EH0 L IY
kongressitalo|K OW0 NG RRR EH0 S IY T AA L OW0
kongruentti|K OW0 NG RRR UW EH0 N T IY
konjakinruskea|K OW0 N Y AA K IY N RRR UW S K EH0 AA
konjakki|K OW0 N Y AA K IY
konjakkilasi|K OW0 N Y AA K IY L AA S IY
konjamiini|K OW0 N Y AA M IY N IY
konjugointi|K OW0 N Y UW G OW0 IY N T IY
konjunktiivinen|K OW0 N Y UW NG K T IY V IY N EH0 N
konjunktio|K OW0 N Y UW NG K T IY OW0
konjunktiollinen|K OW0 N Y UW NG K T IY OW0 L IY N EH0 N
konjunktioton|K OW0 N Y UW NG K T IY OW0 T OW0 N
konkaavisuus|K OW0 NG K AA V IY S UW S
konkari|K OW0 NG K AA RRR IY
konkarinaskel|K OW0 NG K AA RRR IY N AA S K EH0 L
konkata|K OW0 NG K AA T AA Q
konkelo|K OW0 NG K EH0 L OW0
konkelopuu|K OW0 NG K EH0 L OW0 P UW
konki|K OW0 NG K IY
konkka|K OW0 NG K AA
konkkaronkka|K OW0 NG K AA RRR OW0 NG K AA
konkludenttinen|K OW0 NG K L UW D EH0 N T IY N EH0 N
konkludenttisesti|K OW0 NG K L UW D EH0 N T IY S EH0 S T IY Q
konkordaatti|K OW0 NG K OW0 RRR D AA T IY
konkordanssi|K OW0 NG K OW0 RRR D AA N S IY
konkreettisuus|K OW0 NG K RRR EH0 T T IY S UW S
konkretismi|K OW0 NG K RRR EH0 T IY S M IY
konkretisointi|K OW0 NG K RRR EH0 T IY S OW0 IY N T IY
konkretisoitua|K OW0 NG K RRR EH0 T IY S OW0 IY T UW AA Q
konkretisoituminen|K OW0 NG K RRR EH0 T IY S OW0 IY T UW M IY N EH0 N
konkretisti|K OW0 NG K RRR EH0 T IY S T IY
konkurrenssi|K OW0 NG K UW RRR RRR EH0 N S IY
konkurssi|K OW0 NG K UW RRR S IY
konkurssihakemus|K OW0 NG K UW RRR S IY HH AA K EH0 M UW S
konkurssihallinto|K OW0 NG K UW RRR S IY HH AA L IY N T OW0
konkurssikypsä|K OW0 NG K UW RRR S IY K Y UW1 P S AE
konkurssimenettely|K OW0 NG K UW RRR S IY M EH0 N EH0 T T EH0 L Y UW1
konkurssintekijä|K OW0 NG K UW RRR S IY N T EH0 K IY Y AE
konkurssirikos|K OW0 NG K UW RRR S IY RRR IY K OW0 S
konkurssisaatava|K OW0 NG K UW RRR S IY S AA T AA V AA
konkurssitila|K OW0 NG K UW RRR S IY T IY L AA
konkurssituomio|K OW0 NG K UW RRR S IY T UW OW0 M IY OW0
konkurssivalvonta|K OW0 NG K UW RRR S IY V AA L V OW0 N T AA
konkurssivelallinen|K OW0 NG K UW RRR S IY V EH0 L AA L L IY N EH0 N
konkurssivelkoja|K OW0 NG K UW RRR S IY V EH0 L K OW0 Y AA
konna|K OW0 N AA
konnamainen|K OW0 N AA M AA IY N EH0 N
konnankoukku|K OW0 N AA NG K OW0 UW K UW
konnanmarja|K OW0 N AA M M AA RRR Y AA
konnantyö|K OW0 N AA N T Y UW1 OE
konnektio|K OW0 N EH0 K T IY OW0
konnektomi|K OW0 N EH0 K T OW0 M IY
konnevesi|K OW0 N EH0 V V EH0 S IY
konneveteläinen|K OW0 N EH0 V V EH0 T EH0 L AE IY N EH0 N
konnevetinen|K OW0 N EH0 V V EH0 T IY N EH0 N
konnuus|K OW0 N UW S
konsaan|K OW0 N S AA N
konsanaan|K OW0 N S AA N AA N
konsekutiivisesti|K OW0 N S EH0 K UW T IY V IY S EH0 S T IY Q
konselji|K OW0 N S EH0 L Y IY
konsensus|K OW0 N S EH0 N S UW S
konsensuspolitiikka|K OW0 N S EH0 N S UW S P OW0 L IY T IY K AA
konsentrointi|K OW0 N S EH0 N T RRR OW0 IY N T IY
konseptiarkki|K OW0 N S EH0 P T IY AA RRR K IY
konseptio|K OW0 N S EH0 P T IY OW0
konseptipaperi|K OW0 N S EH0 P T IY P AA P EH0 RRR IY
konseptualismi|K OW0 N S EH0 P T UW AA L IY S M IY
konsernitilinpäätös|K OW0 N S EH0 RRR N IY T IY L IY M P AE T OE S
konsertoida|K OW0 N S EH0 RRR T OW0 IY D AA Q
konsertti|K OW0 N S EH0 RRR T IY
konserttiarvostelu|K OW0 N S EH0 RRR T IY AA RRR V OW0 S T EH0 L UW
konserttikantele|K OW0 N S EH0 RRR T IY K AA N T EH0 L EH0 Q
konserttikiertue|K OW0 N S EH0 RRR T IY K IY EH0 RRR T UW EH0 Q
konserttilava|K OW0 N S EH0 RRR T IY L AA V AA
konserttilippu|K OW0 N S EH0 RRR T IY L IY P UW
konserttimatka|K OW0 N S EH0 RRR T IY M AA T K AA
konserttimusiikki|K OW0 N S EH0 RRR T IY M UW S IY K IY
konserttiohjelma|K OW0 N S EH0 RRR T IY OW0 HH Y EH0 L M AA
konserttipianisti|K OW0 N S EH0 RRR T IY P IY AA N IY S T IY
konserttitanssiaiset|K OW0 N S EH0 RRR T IY T AA N S IY AA IY S EH0 T
konserttitoiminta|K OW0 N S EH0 RRR T IY T OW0 IY M IY N T AA
konserttiukulele|K OW0 N S EH0 RRR T IY UW K UW L EH0 L EH0
konservoija|K OW0 N S EH0 RRR V OW0 IY Y AA
konservointi|K OW0 N S EH0 RRR V OW0 IY N T IY
konservointikertomus|K OW0 N S EH0 RRR V OW0 IY N T IY K EH0 RRR T OW0 M UW S
konservointilaboratorio|K OW0 N S EH0 RRR V OW0 IY N T IY L AA B OW0 RRR AA T OW0 RRR IY OW0
konservointilaitos|K OW0 N S EH0 RRR V OW0 IY N T IY L AA IY T OW0 S
konservointimenetelmä|K OW0 N S EH0 RRR V OW0 IY N T IY M EH0 N EH0 T EH0 L M AE
konsiili|K OW0 N S IY L IY
konsistori|K OW0 N S IY S T OW0 RRR IY
konsoli|K OW0 N S OW0 L IY
konsolikone|K OW0 N S OW0 L IY K OW0 N EH0 Q
konsolipöytä|K OW0 N S OW0 L IY P OE Y UW1 T AE
konsonantisto|K OW0 N S OW0 N AA N T IY S T OW0
konsonantti|K OW0 N S OW0 N AA N T IY
konsonanttialkuinen|K OW0 N S OW0 N AA N T IY AA L K UW IY N EH0 N
konsonanttikirjoitus|K OW0 N S OW0 N AA N T IY K IY RRR Y OW0 IY T UW S
konsonanttiloppuinen|K OW0 N S OW0 N AA N T IY L OW0 P UW IY N EH0 N
konsonanttivartalo|K OW0 N S OW0 N AA N T IY V AA RRR T AA L OW0
konspiraattori|K OW0 N S P IY RRR AA T OW0 RRR IY
konsta|K OW0 N S T AA
konstailematon|K OW0 N S T AA IY L EH0 M AA T OW0 N
konstailla|K OW0 N S T AA IY L AA Q
konstanssi|K OW0 N S T AA N S IY
konstantin|K OW0 N S T AA N T IY N
konstantinus|K OW0 N S T AA N T IY N UW S
konsti|K OW0 N S T IY
konstikkaasti|K OW0 N S T IY K K AA S T IY Q
konstikkuus|K OW0 N S T IY K UW S
konstitutiivinen|K OW0 N S T IY T UW T IY V IY N EH0 N
konstitutionaalinen|K OW0 N S T IY T UW T IY OW0 N AA L IY N EH0 N
konstitutionalismi|K OW0 N S T IY T UW T IY OW0 N AA L IY S M IY
konstituutioisomeria|K OW0 N S T IY T UW T IY OW0 IY S OW0 M EH0 RRR IY AA
konstruktionismi|K OW0 N S T RRR UW K T IY OW0 N IY S M IY
konstruktivisti|K OW0 N S T RRR UW K T IY V IY S T IY
konstruktivistinen|K OW0 N S T RRR UW K T IY V IY S T IY N EH0 N
konstruktori|K OW0 N S T RRR UW K T OW0 RRR IY
konstruktööri|K OW0 N S T RRR UW K T OE RRR IY
konstruoija|K OW0 N S T RRR UW OW0 IY Y AA
konstruoiminen|K OW0 N S T RRR UW OW0 IY M IY N EH0 N
konstruointi|K OW0 N S T RRR UW OW0 IY N T IY
konstruointivaihe|K OW0 N S T RRR UW OW0 IY N T IY V AA IY EH0 Q
konsulaatti|K OW0 N S UW L AA T IY
konsulentti|K OW0 N S UW L EH0 N T IY
konsuli|K OW0 N S UW L IY
konsulikyyti|K OW0 N S UW L IY K Y UW1 T IY
konsulinvirasto|K OW0 N S UW L IY N V IY RRR AA S T OW0
konsultatiivinen|K OW0 N S UW L T AA T IY V IY N EH0 N
konsultti|K OW0 N S UW L T IY
konsulttitoimisto|K OW0 N S UW L T IY T OW0 IY M IY S T OW0
konsumerismi|K OW0 N S UW M EH0 RRR IY S M IY
konsumeristinen|K OW0 N S UW M EH0 RRR IY S T IY N EH0 N
konsyklinen|K OW0 N S Y UW1 K L IY N EH0 N
kontakti|K OW0 N T AA K T IY
kontaktikieli|K OW0 N T AA K T IY K IY EH0 L IY
kontaktikulma|K OW0 N T AA K T IY K UW L M AA
kontaktilasit|K OW0 N T AA K T IY L AA S IY T
kontaktiliima|K OW0 N T AA K T IY L IY M AA
kontaktimuovi|K OW0 N T AA K T IY M UW OW0 V IY
kontaktipeli|K OW0 N T AA K T IY P EH0 L IY
kontaktipinta|K OW0 N T AA K T IY P IY N T AA
kontaktipuhelin|K OW0 N T AA K T IY P UW EH0 L IY N
kontaktoida|K OW0 N T AA K T OW0 IY D AA Q
kontallaan|K OW0 N T AA L AA N
kontalleen|K OW0 N T AA L EH0 N
kontaltaan|K OW0 N T AA L T AA N
kontaminaatio|K OW0 N T AA M IY N AA T IY OW0
kontaminoida|K OW0 N T AA M IY N OW0 IY D AA Q
kontaminoitua|K OW0 N T AA M IY N OW0 IY T UW AA Q
kontekstivalikko|K OW0 N T EH0 K S T IY V AA L IY K OW0
kontia|K OW0 N T IY AA Q
kontilleen|K OW0 N T IY L EH0 N
kontiltaan|K OW0 N T IY L T AA N
kontinentti|K OW0 N T IY N EH0 N T IY
kontingenssi|K OW0 N T IY NG NG EH0 N S IY
kontingenssikerroin|K OW0 N T IY NG NG EH0 N S IY K EH0 RRR OW0 IY N
kontingenssiteoria|K OW0 N T IY NG NG EH0 N S IY T EH0 OW0 RRR IY AA
kontingentti|K OW0 N T IY NG NG EH0 N T IY
kontinkieli|K OW0 N T IY NG K IY EH0 L IY
kontinuumi|K OW0 N T IY N UW M IY
kontio|K OW0 N T IY OW0
kontiolahtelainen|K OW0 N T IY OW0 L AA HH T EH0 L AA IY N EH0 N
kontiolahti|K OW0 N T IY OW0 L AA HH T IY
kontortamänty|K OW0 N T OW0 RRR T AA M AE N T Y UW1
kontrabasisti|K OW0 N T RRR AA B AA S IY S T IY
kontrafagotisti|K OW0 N T RRR AA F AA G OW0 T IY S T IY
kontrahti|K OW0 N T RRR AA HH T IY
kontraktio|K OW0 N T RRR AA K T IY OW0
kontralateraalinen|K OW0 N T RRR AA L AA T EH0 RRR AA L IY N EH0 N
kontraoktaavi|K OW0 N T RRR AA OW0 K T AA V IY
kontrapunkti|K OW0 N T RRR AA P UW NG K T IY
kontrapunktinen|K OW0 N T RRR AA P UW NG K T IY N EH0 N
kontrasti|K OW0 N T RRR AA S T IY
kontrastivaikutus|K OW0 N T RRR AA S T IY V AA IY K UW T UW S
kontrasubjekti|K OW0 N T RRR AA S UW B Y EH0 K T IY
kontregardi|K OW0 N T RRR EH0 G AA RRR D IY
kontrolli|K OW0 N T RRR OW0 L IY
kontrollipolitiikka|K OW0 N T RRR OW0 L IY P OW0 L IY T IY K AA
kontrolloida|K OW0 N T RRR OW0 L L OW0 IY D AA Q
kontrolloimaton|K OW0 N T RRR OW0 L L OW0 IY M AA T OW0 N
kontrolloimattomasti|K OW0 N T RRR OW0 L L OW0 IY M AA T OW0 M AA S T IY Q
kontrolloimattomuus|K OW0 N T RRR OW0 L L OW0 IY M AA T T OW0 M UW S
kontrollointi|K OW0 N T RRR OW0 L L OW0 IY N T IY
konttaaminen|K OW0 N T AA M IY N EH0 N
konttailla|K OW0 N T AA IY L AA Q
kontti|K OW0 N T IY
konttiasunto|K OW0 N T IY AA S UW N T OW0
konttikuljetus|K OW0 N T IY K UW L Y EH0 T UW S
konttikurottaja|K OW0 N T IY K UW RRR OW0 T T AA Y AA
konttilasti|K OW0 N T IY L AA S T IY
konttiliikenne|K OW0 N T IY L IY K EH0 N EH0 Q
konttiluu|K OW0 N T IY L UW
konttinosturi|K OW0 N T IY N OW0 S T UW RRR IY
konttisatama|K OW0 N T IY S AA T AA M AA
kontto|K OW0 N T OW0
konttorihotelli|K OW0 N T OW0 RRR IY HH OW0 T EH0 L IY
konttorikone|K OW0 N T OW0 RRR IY K OW0 N EH0 Q
konttorinhoitaja|K OW0 N T OW0 RRR IY N HH OW0 IY T AA Y AA
konttoripäällikkö|K OW0 N T OW0 RRR IY P AE L IY K OE
konttoristi|K OW0 N T OW0 RRR IY S T IY
konttoriverkko|K OW0 N T OW0 RRR IY V EH0 RRR K OW0
kontu|K OW0 N T UW
konvehti|K OW0 N V EH0 HH T IY
konvehtirasia|K OW0 N V EH0 HH T IY RRR AA S IY AA
konveksisuus|K OW0 N V EH0 K S IY S UW S
konvektio|K OW0 N V EH0 K T IY OW0
konvektiovirtaus|K OW0 N V EH0 K T IY OW0 V IY RRR T AA UW S
konvergentti|K OW0 N V EH0 RRR G EH0 N T IY
konversio|K OW0 N V EH0 RRR S IY OW0
konvertaasi|K OW0 N V EH0 RRR T AA S IY
konvertoida|K OW0 N V EH0 RRR T OW0 IY D AA Q
konvertointi|K OW0 N V EH0 RRR T OW0 IY N T IY
konvoloida|K OW0 N V OW0 L OW0 IY D AA Q
konvoluutio|K OW0 N V OW0 L UW T IY OW0
koo|K OW0
koodaaminen|K OW0 D AA M IY N EH0 N
koodata|K OW0 D AA T AA Q
koodaus|K OW0 D AA UW S
koodausteoria|K OW0 D AA UW S T EH0 OW0 RRR IY AA
koodekki|K OW0 D EH0 K IY
koodeksi|K OW0 D EH0 K S IY
koodi|K OW0 D IY
koodiarvo|K OW0 D IY AA RRR V OW0
koodijärjestelmä|K OW0 D IY Y AE RRR Y EH0 S T EH0 L M AE
koodikirja|K OW0 D IY K IY RRR Y AA
koodilohko|K OW0 D IY L OW0 HH K OW0
koodinlukija|K OW0 D IY N L UW K IY Y AA
koodinpätkä|K OW0 D IY M P AE T K AE
koodinumero|K OW0 D IY N UW M EH0 RRR OW0
koodisanoma|K OW0 D IY S AA N OW0 M AA
koodisivu|K OW0 D IY S IY V UW
koodisto|K OW0 D IY S T OW0
koodittaja|K OW0 D IY T T AA Y AA
koodittaminen|K OW0 D IY T T AA M IY N EH0 N
kooditus|K OW0 D IY T UW S
kookapensas|K OW0 K AA P EH0 N S AA S
kookas|K OW0 K AA S
kookaskasvuinen|K OW0 K AA S K AA S V UW IY N EH0 N
kookos|K OW0 K OW0 S
kookoscurrykastike|K OW0 K OW0 S K AA RRR IY K AA S T IY K EH0 Q
kookoshiutale|K OW0 K OW0 S HH IY UW T AA L EH0 Q
kookoskakku|K OW0 K OW0 S K AA K UW
kookoskeksi|K OW0 K OW0 S K EH0 K S IY
kookoskuitu|K OW0 K OW0 S K UW IY T UW
kookosmaito|K OW0 K OW0 S M AA IY T OW0
kookosrasva|K OW0 K OW0 S RRR AA S V AA
kookosöljy|K OW0 K OW0 S OE L Y Y UW1
koolapuu|K OW0 L AA P UW
koolapähkinä|K OW0 L AA P AE HH K IY N AE
koolaus|K OW0 L AA UW S
koolinki|K OW0 L IY NG K IY
koollekutsuja|K OW0 L EH0 K K UW T S UW Y AA
koollekutsuminen|K OW0 L EH0 K K UW T S UW M IY N EH0 N
kooma|K OW0 M AA
koomillinen|K OW0 M IY L L IY N EH0 N
koomisuus|K OW0 M IY S UW S
koonnos|K OW0 N OW0 S
koontaa|K OW0 N T AA Q
koonti|K OW0 N T IY
koontilaite|K OW0 N T IY L AA IY T EH0 Q
koontilomake|K OW0 N T IY L OW0 M AA K EH0 Q
kooperatiivi|K OW0 P EH0 RRR AA T IY V IY
kooperatiivinen|K OW0 P EH0 RRR AA T IY V IY N EH0 N
koordinaatiosidos|K OW0 RRR D IY N AA T IY OW0 S IY D OW0 S
koordinaatisto|K OW0 RRR D IY N AA T IY S T OW0
koordinaatistoakseli|K OW0 RRR D IY N AA T IY S T OW0 AA K S EH0 L IY
koordinaatti|K OW0 RRR D IY N AA T IY
koordinaattimittauskone|K OW0 RRR D IY N AA T IY M IY T AA UW S K OW0 N EH0 Q
koordinaattori|K OW0 RRR D IY N AA T OW0 RRR IY
koordinoida|K OW0 RRR D IY N OW0 IY D AA Q
koordinoija|K OW0 RRR D IY N OW0 IY Y AA
koordinointi|K OW0 RRR D IY N OW0 IY N T IY
koossapito|K OW0 S AA P IY T OW0
koossapitävä|K OW0 S AA P IY T AE V AE
koossapysyvä|K OW0 S AA P Y UW1 S Y UW1 V AE
koostaa|K OW0 S T AA Q
koostaminen|K OW0 S T AA M IY N EH0 N
kooste|K OW0 S T EH0 Q
koosteinen|K OW0 S T EH0 IY N EH0 N
koostelma|K OW0 S T EH0 L M AA
koostesana|K OW0 S T EH0 S S AA N AA
koosto|K OW0 S T OW0
koostuminen|K OW0 S T UW M IY N EH0 N
koostumussuhde|K OW0 S T UW M UW S S UW HH D EH0 Q
koota|K OW0 T AA Q
kopahdella|K OW0 P AA HH D EH0 L AA Q
kopahdus|K OW0 P AA HH D UW S
kopahtaminen|K OW0 P AA HH T AA M IY N EH0 N
kopallinen|K OW0 P AA L L IY N EH0 N
kopara|K OW0 P AA RRR AA
koparakeitto|K OW0 P AA RRR AA K EH0 IY T OW0
kopaus|K OW0 P AA UW S
kopauttaminen|K OW0 P AA UW T AA M IY N EH0 N
kopauttelu|K OW0 P AA UW T EH0 L UW
kopautus|K OW0 P AA UW T UW S
kopeasti|K OW0 P EH0 AA S T IY Q
kopeekka|K OW0 P EH0 K AA
kopeilla|K OW0 P EH0 IY L AA Q
kopeilu|K OW0 P EH0 IY L UW
kopeus|K OW0 P EH0 UW S
kopina|K OW0 P IY N AA
kopio|K OW0 P IY OW0
kopioida|K OW0 P IY OW0 IY D AA Q
kopioija|K OW0 P IY OW0 IY Y AA
kopioiminen|K OW0 P IY OW0 IY M IY N EH0 N
kopioitua|K OW0 P IY OW0 IY T UW AA
kopioituminen|K OW0 P IY OW0 IY T UW M IY N EH0 N
kopiokortti|K OW0 P IY OW0 K OW0 RRR T IY
kopiopaperi|K OW0 P IY OW0 P AA P EH0 RRR IY
kopiosuojaus|K OW0 P IY OW0 S UW OW0 Y AA UW S
kopista|K OW0 P IY S T AA Q
kopistaa|K OW0 P IY S T AA Q
kopisti|K OW0 P IY S T IY
kopisuttaa|K OW0 P IY S UW T AA Q
kopitella|K OW0 P IY T EH0 L AA Q
koplanaarinen|K OW0 P L AA N AA RRR IY N EH0 N
koplukka|K OW0 P L UW K AA
koponen|K OW0 P OW0 N EH0 N
kopoti|K OW0 P OW0 T IY
koppa|K OW0 P AA
koppalakki|K OW0 P AA L AA K IY
koppavuus|K OW0 P AA V UW S
koppero|K OW0 P EH0 RRR OW0
koppi|K OW0 P IY
koppilyönti|K OW0 P IY L Y UW1 OE N T IY
koppisiemeninen|K OW0 P IY S IY EH0 M EH0 N IY N EH0 N
koppurainen|K OW0 P UW RRR AA IY N EH0 N
kopraöljy|K OW0 P RRR AA OE L Y Y UW1
koprolalia|K OW0 P RRR OW0 L AA L IY AA
kopsa|K OW0 P S AA
kopsaa|K OW0 P S AA Q
kopsaaminen|K OW0 P S AA M IY N EH0 N
kopsahdella|K OW0 P S AA HH D EH0 L AA Q
kopsahdus|K OW0 P S AA HH D UW S
kopsahtaa|K OW0 P S AA HH T AA Q
kopsahtaminen|K OW0 P S AA HH T AA M IY N EH0 N
kopsaus|K OW0 P S AA UW S
kopse|K OW0 P S EH0 Q
kopu|K OW0 P UW
kopula|K OW0 P UW L AA
koputtaa|K OW0 P UW T AA Q
koputtaminen|K OW0 P UW T T AA M IY N EH0 N
koputtelu|K OW0 P UW T T EH0 L UW
koputus|K OW0 P UW T UW S
koputusääni|K OW0 P UW T UW S AE N IY
koraalialkusoitto|K OW0 RRR AA L IY AA L K UW S OW0 IY T OW0
koraalikirja|K OW0 RRR AA L IY K IY RRR Y AA
koraalisävelmä|K OW0 RRR AA L IY S AE V EH0 L M AE
koraalivirsikirja|K OW0 RRR AA L IY V IY RRR S IY K IY RRR Y AA
korahdus|K OW0 RRR AA HH D UW S
korahtaminen|K OW0 RRR AA HH T AA M IY N EH0 N
koralli|K OW0 RRR AA L IY
korallihiekka|K OW0 RRR AA L IY HH IY EH0 K AA
