ᆜ|Y UW0
무화과나무|M UW V W AE G W AE N AE M UW
무효하다|M UW IY OW0 AE D AE
묵|M UW K
묵가|M UW K K AE
묵고|M UW K K OW0
묵납자루|M UW NG N AE P T AE R UW
묵념|M UW NG N IY0 AH M
묵다|M UW K T AE
묵살|M UW K S AE L
묵은지|M UW G UW0 N IY0 D IY
묵인|M UW G IY N
묵주|M UW K T UW
묶다|M UW K T AE
묶음|M UW K UW0 M
문|M UW N
문경|M UW N G Y AH NG
문과|M UW N K W AE
문구|M UW N G UW
문구점|M UW N G UW D AH M
문답|M UW N D AE P
문도|M UW N D OW0
문둥이|M UW N D UW NG IY
문둥이박쥐|M UW N D UW NG IY B AE K T IY
문드러지다|M UW N D UW0 R AH D IY D AE
문득|M UW N D UW0 K
문란|M UW L L AE N
문명|M UW N M Y AH NG
문묘|M UW N M Y OW0
문바람|M UW N B AE R AE M
문방|M UW N B AE NG
문법|M UW N P AH P
문서|M UW N S AH
문선|M UW N S AH N
문손잡이|M UW N S OW0 N IY0 D AE B IY
문어|M UW N AH
문어다리|M UW N AH D AE R IY
문외한|M UW N W EH0 AE N
문의|M UW N IY
문자|M UW N IY0 T AE
문자반|M UW N IY0 T AE B AE N
문장|M UW N IY0 D AE NG
문절망둑|M UW N IY0 D AH L M AE NG D UW K
문제|M UW N IY0 D EH0
문제점|M UW N IY0 D EH0 T AH M
문지기|M UW N IY0 D IY G IY
문지르다|M UW N IY0 D IY R UW0 D AE
문지방|M UW N IY0 T IY B AE NG
문진|M UW N IY0 D IY N
문집|M UW N IY0 D IY P
문찐|M UW N IY0 T IY N
문천|M UW N IY0 T AH N
문턱|M UW N T AH K
문틈|M UW N T UW0 M
문학|M UW N AE K
문헌|M UW N AH N
문혁|M UW N IY AH K
문화|M UW N V W AE
문화어|M UW N V W AE AH
문화원|M UW N V W AE W AH N
문화적|M UW N V W AE D AH K
묻다|M UW T T AE
묻히다|M UW T IY D AE
물|M UW L
물가|M UW L K AE
물건|M UW L G AH N
물결|M UW L K Y AH L
물결길이|M UW L G Y AH L G IY R IY
물고기|M UW L K OW0 G IY
물고기떡|M UW L G OW0 G IY T AH K
물고기알|M UW L G OW0 G IY AE L
물공원|M UW L G OW0 NG W AH N
물굽이|M UW L G UW B IY
물기|M UW L K IY
물꿩|M UW L K W AH NG
물놀이장|M UW L L OW0 R IY D AE NG
물다|M UW L D AE
물두꺼비|M UW L D UW K AH B IY
물들다|M UW L D UW0 L D AE
물들이다|M UW L D UW0 R IY D AE
물똥|M UW L T OW0 NG
물러나다|M UW L L AH N AE D AE
물러서다|M UW L L AH S AH D AE
물레|M UW L L EH0
물레나물|M UW L L EH0 N AE M UW L
물려받다|M UW L IY L IY AH B AE T T AE
물론|M UW L L OW0 N
물론입니다|M UW L L OW0 N IY M N IY D AE
물리치다|M UW L IY L IY IY T IY D AE
물리학|M UW L IY L IY IY AE K
물리학자|M UW L IY L IY IY AE K T AE
물리화학|M UW L IY L IY IY W AE AE K
물만두|M UW L M AE N D UW
물망초|M UW L M AE NG T OW0
물메기|M UW L M EH0 G IY
물박달나무|M UW L B AE K T AE L L AE M UW
물방울|M UW L P AE NG UW L
물범|M UW L B AH M
물소|M UW L S OW0
물속|M UW L S OW0 K
물수리|M UW L S UW R IY
물시계|M UW L SH IY G Y EH0
물씨|M UW L SH IY
물어떼다|M UW R AH T EH0 D AE
물어뜯다|M UW R AH T UW0 T T AE
물어보다|M UW R AH B OW0 D AE
물에네르기|M UW R EH0 N EH0 R UW0 G IY
물엿|M UW R Y AH T
물오리|M UW R OW0 R IY
물외|M UW R W EH0
물음|M UW R UW0 M
물음표|M UW R UW0 M P Y OW0
물자체|M UW L IY D AE T EH0
물증|M UW L IY D UW0 NG
물질|M UW L IY T IY L
물체|M UW L IY T EH0
물타기|M UW L T AE G IY
물텀벙이|M UW L T AH M B AH NG IY
물통|M UW L T OW0 NG
물푸레나무|M UW L P UW R EH0 N AE M UW
물품|M UW L P UW M
묽다|M UW K T AE
뭄바이|M UW M B AE IY
뭉클하다|M UW NG K HH UW0 R AE D AE
뭍|M UW T
뮈슬리|M IY S UW0 L IY L IY IY
뮌헨|M IY N EH0 N
뮤지컬|M Y UW D IY K AH L
뮤직|M Y UW D IY K
뮤직비디오|M Y UW D IY K P IY D IY OW0
미|M IY
미각|M IY G AE K
미강유|M IY G AE NG Y UW
미국|M IY G UW K
미국오리|M IY G UW K OW0 R IY
미국인|M IY G UW G IY N
미국화|M IY G UW K W AE
미국화하다|M IY G UW K W AE AE D AE
미궁|M IY G UW NG
미기후|M IY G IY V UW
미꾸라지|M IY K UW R AE D IY
미꾸리|M IY K UW R IY
미끄러지다|M IY K UW0 R AH D IY D AE
미끄럼|M IY K UW0 R AH M
미끄럽다|M IY K UW0 R AH P T AE
미끈망둑|M IY K UW0 N M AE NG D UW K
미끼샤|M IY K IY SH AE
미나리|M IY N AE R IY
미남|M IY N AE M
미네소타|M IY N EH0 S OW0 T AE
미녀|M IY N IY0 AH
미누스|M IY N UW S UW0
미니버스|M IY N IY P AH S UW0
미니스커트|M IY N IY S UW0 K AH T UW0
미다|M IY D AE
미닫이문|M IY D AE D IY M UW N
미덕|M IY D AH K
미동|M IY D OW0 NG
미드|M IY D UW0
미디어|M IY D IY AH
미라|M IY R AE
미러|M IY R AH
미로|M IY R OW0
미뢰|M IY R W EH0
미루다|M IY R UW D AE
미류|M IY R Y UW
미류하다|M IY R Y UW AE D AE
미르|M IY R UW0
미륵|M IY R UW0 K
미륵보살|M IY R UW0 K P OW0 S AE L
미리|M IY R IY
미리견|M IY R IY G Y AH N
미리보기|M IY R IY B OW0 G IY
미모|M IY M OW0
미미|M IY M IY
미미하다|M IY M IY AE D AE
미분|M IY B UW N
미분몫|M IY B UW N M OW0 K
미분법|M IY B UW N P AH P
미사|M IY S AE
미사일|M IY S AE IY L
미상|M IY S AE NG
미섭다|M IY S AH P T AE
미성|M IY S AH NG
미성년|M IY S AH NG N IY0 AH N
미성년자|M IY S AH NG N IY0 AH N IY0 D AE
미성숙하다|M IY S AH NG S UW K AE D AE
미소|M IY S OW0
미소녀|M IY S OW0 N IY0 AH
미소년|M IY S OW0 N IY0 AH N
미소짓다|M IY S OW0 D IY T T AE
미수|M IY S UW
미술|M IY S UW L
미술관|M IY S UW L G W AE N
미숫가루|M IY S UW T K AE R UW
미스|M IY S UW0
미스터|M IY S UW0 T AH
미스터리|M IY S UW0 T AH R IY
미시간|M IY SH IY G AE N
미시건|M IY SH IY G AH N
미시사가|M IY SH IY S AE G AE
미시소가|M IY SH IY S OW0 G AE
미시소거|M IY SH IY S OW0 G AH
미시시피|M IY SH IY SH IY P IY
미식축구|M IY SH IY K T UW K K UW
미신|M IY SH IY N
미싱|M IY SH IY NG
미싸일|M IY S AE IY L
미아|M IY AE
미안|M IY AE N
미안하다|M IY AE N AE D AE
미얀마|M IY Y AE N M AE
미어|M IY AH
미어지다|M IY AH D IY D AE
미어터지다|M IY AH T AH D IY D AE
미역|M IY Y AH K
미역국|M IY Y AH K K UW K
미용사|M IY Y OW0 NG S AE
미용실|M IY Y OW0 NG SH IY L
미용원|M IY Y OW0 NG W AH N
미우|M IY UW
미워하다|M IY W AH AE D AE
미유기|M IY Y UW G IY
미융모|M IY Y UW NG M OW0
미음|M IY UW0 M
미인|M IY IY N
미인계|M IY IY N G Y EH0
미장원|M IY D AE NG W AH N
미적|M IY T AH K
미적분|M IY D AH K P UW N
미적지근하다|M IY D AH K T IY G UW0 N AE D AE
미제|M IY D EH0
미주|M IY D UW
미주리|M IY D UW R IY
미주알|M IY D UW AE L
미주알고주알|M IY D UW AE L G OW0 D UW AE L
미지수|M IY D IY S UW
미처|M IY T AH
미치광이|M IY T IY G W AE NG IY
미치다|M IY T IY D AE
미친|M IY T IY N
미친놈|M IY T IY N N OW0 M
미카엘|M IY K AE EH0 L
미크로네시아|M IY K HH UW0 R OW0 N EH0 SH IY AE
미터|M IY T AH
미투리|M IY T UW R IY
미팅|M IY T IY NG
미하일|M IY AE IY L
미학|M IY AE K
미합중국|M IY AE P T UW NG G UW K
미혼모|M IY V OW0 N M OW0
미화|M IY V W AE
미확인|M IY V W AE G IY N
미흡하다|M IY HH UW0 P AE D AE
믹서|M IY K S AH
민|M IY N
민가|M IY N G AE
민간|M IY N G AE N
민감|M IY N G AE M
민감하다|M IY N G AE M AE D AE
민국|M IY N G UW K
민낯|M IY N N AE T
민들레|M IY N D UW0 L L EH0
민망|M IY N M AE NG
민망초|M IY N M AE NG T OW0
민물가마우지|M IY N M UW L G AE M AE UW D IY
민물검정망둑|M IY N M UW L G AH M D AH NG M AE NG D UW K
민박|M IY N B AE K
민병|M IY N B Y AH NG
민사|M IY N S AE
민서|M IY N S AH
민속|M IY N S OW0 K
민수기|M IY N S UW G IY
민스크|M IY N S UW0 K HH UW0
민어|M IY N AH
민영화|M IY N IY0 AH NG V W AE
민영화하다|M IY N IY0 AH NG V W AE AE D AE
민요|M IY N IY0 OW0
민족|M IY N IY0 D OW0 K
민족주의|M IY N IY0 D OW0 K T UW IY
민족학|M IY N IY0 D OW0 K AE K
민주|M IY N IY0 D UW
민주사회주의|M IY N IY0 D UW S AE V W EH0 D UW IY
민주적|M IY N IY0 D UW D AH K
민주주의|M IY N IY0 D UW D UW IY
민주주의자|M IY N IY0 D UW D UW IY D AE
민주화|M IY N IY0 D UW V W AE
민중|M IY N IY0 D UW NG
민첩성|M IY N IY0 T AH P S AH NG
민폐|M IY N P Y EH0
민화|M IY N V W AE
믿다|M IY T T AE
믿음|M IY D UW0 M
밀|M IY L
밀가루|M IY L K AE R UW
밀감|M IY L G AE M
밀다|M IY L D AE
밀당|M IY L T AE NG
밀덕|M IY L D AH K
밀도|M IY L T OW0
밀라노|M IY L L AE N OW0
밀랍|M IY L L AE P
밀리다|M IY L IY L IY IY D AE
밀리미터|M IY L IY L IY IY M IY T AH
밀림|M IY L IY L IY IY M
밀물|M IY L M UW L
밀어|M IY R AH
밀월|M IY R W AH L
밀접하다|M IY L IY T AH P AE D AE
밀집되다|M IY L IY D IY P T W EH0 D AE
밀집하다|M IY L IY D IY P AE D AE
밀치다|M IY L IY T IY D AE
밀크|M IY L K HH UW0
밀통|M IY L T OW0 NG
밀회|M IY R V W EH0
밈|M IY M
밉다|M IY P T AE
밋밋하다|M IY N M IY T AE D AE
밍크|M IY NG K HH UW0
및|M IY T
밑|M IY T
밑줄|M IY T T UW L
밑지다|M IY T T IY D AE
바|P AE
바게트|P AE G EH0 T UW0
바곤|P AE G OW0 N
바구니|P AE G UW N IY
바그다드|P AE G UW0 D AE D UW0
바그르르|P AE G UW0 R UW0 R UW0
바글바글|P AE G UW0 L B AE G UW0 L
바깥|P AE K AE T
바깥어른|P AE K AE D AH R UW0 N
바깥쪽|P AE K AE T T OW0 K
바꼬락|P AE K OW0 R AE K
바꾸다|P AE K UW D AE
바꾸이다|P AE K UW IY D AE
바뀌다|P AE K IY D AE
바나나|P AE N AE N AE
바나듐|P AE N AE D Y UW M
바냐|P AE N IY0 AE
바누아투|P AE N UW AE T UW
바늘|P AE N UW0 L
바늘꼬리도요|P AE N UW0 L K OW0 R IY D OW0 Y OW0
바다|P AE D AE
바다꿩|P AE D AE K W AH NG
바다말|P AE D AE M AE L
바다비오리|P AE D AE B IY OW0 R IY
바다사자|P AE D AE S AE D AE
바다제비|P AE D AE D EH0 B IY
바다코끼리|P AE D AE K OW0 K IY R IY
바다표범|P AE D AE P Y OW0 B AH M
바닥|P AE D AE K
바닷가|P AE D AE T K AE
바닷길|P AE D AE T K IY L
바닷물|P AE D AE N M UW L
바닷물고기|P AE D AE N M UW L G OW0 G IY
바당|P AE D AE NG
바두쯔|P AE D UW T UW0
바둑|P AE D UW K
바듯하다|P AE D UW0 T AE D AE
바라다|P AE R AE D AE
바라보다|P AE R AE B OW0 D AE
바람|P AE R AE M
바람둥이|P AE R AE M D UW NG IY
바람직하다|P AE R AE M D IY K AE D AE
바레인|P AE R EH0 IY N
바로|P AE R OW0
바로가기|P AE R OW0 G AE G IY
바로잡다|P AE R OW0 D AE P T AE
바륨|P AE R Y UW M
바르다|P AE R UW0 D AE
바르샤바|P AE R UW0 SH AE B AE
바른|P AE R UW0 N
바른손|P AE R UW0 N S OW0 N
바름감|P AE R UW0 M G AE M
바리|P AE R IY
바마코|P AE M AE K OW0
바베이도스|P AE B EH0 IY D OW0 S UW0
바보|P AE B OW0
바보스럽다|P AE B OW0 S UW0 R AH P T AE
바쁘다|P AE P UW0 D AE
바사삭|P AE S AE S AE K
바삭|P AE S AE K
바삭과자|P AE S AE K K W AE D AE
바삭바삭|P AE S AE K P AE S AE K
바삭바삭하다|P AE S AE K P AE S AE K AE D AE
바수다|P AE S UW D AE
바스라기|P AE S UW0 R AE G IY
바스락|P AE S UW0 R AE K
바스락바스락|P AE S UW0 R AE K P AE S UW0 R AE K
바스스카프|P AE S UW0 S UW0 K AE P UW0
바스테르|P AE S UW0 T EH0 R UW0
바슬바슬|P AE S UW0 L B AE S UW0 L
바싹|P AE S AE K
바싹바싹|P AE S AE K P AE S AE K
바알|P AE AE L
바오로|P AE OW0 R OW0
바오즈|P AE OW0 D UW0
바우|P AE UW
바위|P AE IY
바위담비|P AE IY D AE M B IY
바위비둘기|P AE IY B IY D UW L G IY
바이너리|P AE IY N AH R IY
바이든|P AE IY D UW0 N
바이러스|P AE IY R AH S UW0
바이블|P AE IY B UW0 L
바이슨|P AE IY S UW0 N
바이오|P AE IY OW0
바이오폴리머|P AE IY OW0 P OW0 L IY L IY IY M AH
바이올린|P AE IY OW0 L IY L IY IY N
바이트|P AE IY T UW0
바자르|P AE D AE R UW0
바자회|P AE D AE V W EH0
바장조|P AE D AE NG D OW0
바지|P AE D IY
바지락|P AE D IY R AE K
바질|P AE D IY L
바치다|P AE T IY D AE
바코드|P AE K OW0 D UW0
바쿠|P AE K UW
바퀴|P AE K IY
바퀴벌레|P AE K IY B AH L L EH0
바퀴살|P AE K IY S AE L
바탕|P AE T AE NG
바텐더|P AE T EH0 N D AH
바티칸|P AE T IY K AE N
바하마|P AE AE M AE
박|P AE K
박ㄹ혜|P AE NG N IY UW0 R IY EH0
박다|P AE K T AE
박달나무|P AE K T AE L L AE M UW
박동|P AE K T OW0 NG
박람회|P AE NG N AE M V W EH0
박멸|P AE NG M Y AH L
박명|P AE NG M Y AH NG
박물관|P AE NG M UW L G W AE N
박사|P AE K S AE
박수|P AE K S UW
박수하다|P AE K S UW AE D AE
박스|P AE K S UW0
박엽지|P AE G Y AH P T IY
박자|P AE K T AE
박제|P AE K T EH0
박쥐|P AE K T IY
박차|P AE K T AE
박치기|P AE K T IY G IY
박테리아|P AE K T EH0 R IY AE
박하|P AE K AE
밖|P AE K
반|P AE N
반가|P AE N K AE
반감|P AE N G AE M
반갑다|P AE N G AE P T AE
반값|P AE N G AE P
반격|P AE N G Y AH K
반경|P AE N G Y AH NG
반공|P AE N G OW0 NG
반공일|P AE N G OW0 NG IY L
반구|P AE N G UW
반기다|P AE N G IY D AE
반년|P AE N N IY0 AH N
반다르세리베가완|P AE N D AE R UW0 S EH0 R IY B EH0 G AE W AE N
반달|P AE N D AE L
반달가슴곰|P AE N D AE L G AE S UW0 M G OW0 M
반달리즘|P AE N D AE L IY L IY IY D UW0 M
반도|P AE N D OW0
반도체|P AE N D OW0 T EH0
반동분자|P AE N D OW0 NG B UW N IY0 D AE
반드시|P AE N D UW0 SH IY
반듯이|P AE N D UW0 SH IY
반듯하다|P AE N D UW0 T AE D AE
반딧불|P AE N D IY T P UW L
반딧불이|P AE N D IY T P UW R IY
반란|P AE L L AE N
반려|P AE L IY L IY AH
반려견|P AE L IY L IY AH G Y AH N
반려동물|P AE L IY L IY AH D OW0 NG M UW L
반려묘|P AE L IY L IY AH M Y OW0
반려자|P AE L IY L IY AH D AE
반려조|P AE L IY L IY AH D OW0
반말|P AE N M AE L
반면|P AE N M Y AH N
반물질|P AE N M UW L IY T IY L
반미|P AE N M IY
반바지|P AE N B AE D IY
반박|P AE N B AE K
반반|P AE N B AE N
반발|P AE N B AE L
반복|P AE N B OW0 K
반복하다|P AE N B OW0 K AE D AE
반사|P AE N S AE
반사경|P AE N S AE G Y AH NG
반성|P AE N S AH NG
반시간|P AE N SH IY G AE N
반시옷|P AE N SH IY OW0 T
반시읏|P AE N SH IY UW0 T
반신반의|P AE N SH IY N B AE N IY
반신반인|P AE N SH IY N B AE N IY N
반역|P AE N IY0 AH K
반역자|P AE N IY0 AH K T AE
반열반|P AE N IY0 AH L B AE N
반영|P AE N IY0 AH NG
반영웅|P AE N IY0 AH NG UW NG
반영하다|P AE N IY0 AH NG AE D AE
반올림|P AE N OW0 L IY L IY IY M
반응|P AE N UW0 NG
반의어|P AE N IY AH
반입자|P AE N IY P T AE
반자동|P AE N IY0 D AE D OW0 NG
반장|P AE N IY0 D AE NG
반절|P AE N IY0 D AH L
반점|P AE N IY0 D AH M
반주|P AE N IY0 D UW
반죽|P AE N IY0 D UW K
반죽하다|P AE N IY0 D UW K AE D AE
반줄|P AE N IY0 D UW L
반증|P AE N IY0 D UW0 NG
반지|P AE N IY0 D IY
반지름|P AE N IY0 D IY R UW0 M
반지하|P AE N IY0 D IY AE
반짝|P AE N IY0 T AE K
반짝반짝|P AE N IY0 T AE K P AE N IY0 T AE K
반짝이다|P AE N IY0 T AE G IY D AE
반찬|P AE N IY0 T AE N
반창고|P AE N IY0 T AE NG G OW0
반추|P AE N IY0 T UW
반치음|P AE N IY0 T IY UW0 M
반칙|P AE N IY0 T IY K
반침|P AE N IY0 T IY M
반포|P AE N P OW0
반품|P AE N P UW M
반하다|P AE N AE D AE
반항|P AE N AE NG
반항하다|P AE N AE NG AE D AE
반화석|P AE N V W AE S AH K
받다|P AE T T AE
받아들이다|P AE D AE D UW0 R IY D AE
받아쓰기|P AE D AE S UW0 G IY
받아쓰다|P AE D AE S UW0 D AE
받치다|P AE T T IY D AE
받침|P AE T T IY M
받침법|P AE T T IY M B AH P
발|P AE L
발가락|P AE L K AE R AE K
발가벗다|P AE L G AE B AH T T AE
발각|P AE L G AE K
발간|P AE L G AE N
발간되다|P AE L G AE N D W EH0 D AE
발간사|P AE L G AE N S AE
발간하다|P AE L G AE N AE D AE
발갛다|P AE L G AE T AE
발견|P AE L G Y AH N
발견되다|P AE L G Y AH N D W EH0 D AE
발견하다|P AE L G Y AH N AE D AE
발광|P AE L G W AE NG
발구지|P AE L G UW D IY
발급|P AE L G UW0 P
발기|P AE L G IY
발기다|P AE L G IY D AE
발기부전|P AE L G IY B UW D AH N
발꿈치|P AE L K UW M T IY
발끝|P AE L K UW0 T
발단|P AE L T AE N
발달|P AE L T AE L
발달하다|P AE L T AE R AE D AE
발뒤꿈|P AE L T IY K UW M
발뒤꿈치|P AE L T IY K UW M T IY
발등|P AE L T UW0 NG
발딱|P AE L T AE K
발라드|P AE L L AE D UW0
발란|P AE L L AE N
발랄라이카|P AE L L AE L L AE IY K AE
발레|P AE L L EH0
발레타|P AE L L EH0 T AE
발리볼|P AE L IY L IY IY B OW0 L
발명|P AE L M Y AH NG
발목|P AE L M OW0 K
발문|P AE L M UW N
발바닥|P AE L P AE D AE K
발바리|P AE L B AE R IY
발바리차|P AE L B AE R IY T AE
발발|P AE L B AE L
발보이다|P AE L B OW0 IY D AE
발사|P AE L S AE
발상|P AE L S AE NG
발상하다|P AE L S AE NG AE D AE
발소리|P AE L S OW0 R IY
발송자|P AE L S OW0 NG D AE
발언|P AE R AH N
발연기|P AE L IY L IY AH N G IY
발열|P AE R Y AH L
발음|P AE R UW0 M
발음기관|P AE R UW0 M G IY G W AE N
발음법|P AE R UW0 M P AH P
발음하다|P AE R UW0 M AE D AE
발인|P AE R IY N
발자국|P AE L IY T AE G UW K
발전|P AE L IY T AH N
발전소|P AE L IY D AH N S OW0
발전하다|P AE L IY T AH N AE D AE
발정|P AE L IY T AH NG
발짝|P AE L IY T AE K
발코니|P AE L K OW0 N IY
발탁|P AE L T AE K
발톱|P AE L T OW0 P
발표|P AE L P Y OW0
발표되다|P AE L P Y OW0 D W EH0 D AE
발표하다|P AE L P Y OW0 AE D AE
발효|P AE R IY OW0
발휘|P AE R IY
발휘하다|P AE R IY AE D AE
밝다|P AE K T AE
밝을녘|P AE L G UW0 L IY L IY AH K
밝쥐|P AE K T IY
밟다|P AE P T AE
밤|P AE M
밤나무|P AE M N AE M UW
밤낮|P AE M N AE T
밤낮없이|P AE M N AE D AH P SH IY
밤참|P AE M T AE M
밤하늘|P AE M AE N UW0 L
밥|P AE P
밥길|P AE P K IY L
밥벌이|P AE P P AH R IY
밥상|P AE P S AE NG
밥솥|P AE P S OW0 T
밥집|P AE P T IY P
밧줄|P AE T T UW L
방|P AE NG
방가면|P AE NG G AE M Y AH N
방공|P AE NG G OW0 NG
방과후|P AE NG G W AE V UW
방광|P AE NG G W AE NG
방광암|P AE NG G W AE NG AE M
방광염|P AE NG G W AE NG N IY0 AH M
방구|P AE NG G UW
방귀|P AE NG G IY
방귀뀌다|P AE NG G IY K IY D AE
방글라데슈|P AE NG G UW0 L L AE D EH0 SH UW
방글라데시|P AE NG G UW0 L L AE D EH0 SH IY
방금|P AE NG G UW0 M
방긋|P AE NG G UW0 T
방기|P AE NG G IY
방년|P AE NG N IY0 AH N
방동사니|P AE NG D OW0 NG S AE N IY
방망이|P AE NG M AE NG IY
방면|P AE NG M Y AH N
방명|P AE NG M Y AH NG
방목하다|P AE NG M OW0 K AE D AE
방문|P AE NG M UW N
방문자|P AE NG M UW N IY0 D AE
방문하다|P AE NG M UW N AE D AE
방법|P AE NG B AH P
방법론|P AE NG B AH M N OW0 N
방사능|P AE NG S AE N UW0 NG
방사선|P AE NG S AE S AH N
방사성|P AE NG S AE S AH NG
방석집|P AE NG S AH K T IY P
방송|P AE NG S OW0 NG
방송간섭|P AE NG S OW0 NG G AE N S AH P
방송국|P AE NG S OW0 NG G UW K
방송사|P AE NG S OW0 NG S AE
방송사고|P AE NG S OW0 NG S AE G OW0
방송원|P AE NG S OW0 NG W AH N
방송하다|P AE NG S OW0 NG AE D AE
방수|P AE NG S UW
방수하다|P AE NG S UW AE D AE
방숭이|P AE NG S UW NG IY
방식|P AE NG SH IY K
방심|P AE NG SH IY M
방아|P AE NG AE
방아쇠|P AE NG AE S W EH0
방안|P AE NG AE N
방앗간|P AE NG AE T K AE N
방어|P AE NG AH
방어율|P AE NG AH Y UW L
방어하다|P AE NG AH AE D AE
방언|P AE NG AH N
방역|P AE NG Y AH K
방역하다|P AE NG Y AH K AE D AE
방영|P AE NG Y AH NG
방울|P AE NG UW L
방위|P AE NG IY
방위각|P AE NG IY G AE K
방위산업체|P AE NG IY S AE N AH P T EH0
방전|P AE NG D AH N
방점|P AE NG T AH M
방접원|P AE NG D AH B W AH N
방정식|P AE NG D AH NG SH IY K
방조|P AE NG D OW0
방종|P AE NG D OW0 NG
방주|P AE NG D UW
방죽|P AE NG D UW K
방지|P AE NG D IY
방추|P AE NG T UW
방출|P AE NG T UW L
방치하다|P AE NG T IY AE D AE
방콕|P AE NG K OW0 K
방탄|P AE NG T AE N
방편|P AE NG P Y AH N
방플|P AE NG P UW0 L
방학|P AE NG AE K
방향|P AE NG IY AE NG
방향족|P AE NG IY AE NG D OW0 K
방호|P AE NG V OW0
방화|P AE NG V W AE
밭|P AE T
밭둑|P AE T T UW K
밭쥐|P AE T T IY
배|P EH
배경|P EH G Y AH NG
배관|P EH G W AE N
배교|P EH G Y OW0
배급|P EH G UW0 P
배낭|P EH N AE NG
배다|P EH D AE
배달|P EH D AE L
배달하다|P EH D AE R AE D AE
배당|P EH D AE NG
배반|P EH B AE N
배반하다|P EH B AE N AE D AE
배부|P EH B UW
배분|P EH B UW N
배분하다|P EH B UW N AE D AE
배송|P EH S OW0 NG
배수관|P EH S UW G W AE N
배신|P EH SH IY N
배신하다|P EH SH IY N AE D AE
배심|P EH SH IY M
배심원|P EH SH IY M W AH N
배역|P EH Y AH K
배열|P EH Y AH L
배우자|P EH UW D AE
배추|P EH T UW
배치|P EH T IY
배후|P EH V UW
뱀|P EH M
뱀밥|P EH M B AE P
뱀장어|P EH M D AE NG AH
뱅어|P EH NG AH
뱉다|P EH T T AE
뱡기|P Y AE NG G IY
버거|P AH G AH
버그|P AH G UW0
버그르르|P AH G UW0 R UW0 R UW0
버글버글|P AH G UW0 L B AH G UW0 L
버금|P AH G UW0 M
버들|P AH D UW0 L
버들가지|P AH D UW0 L G AE D IY
버들붕어|P AH D UW0 L B UW NG AH
버들치|P AH D UW0 L IY T IY
버러지|P AH R AH D IY
버릇|P AH R UW0 T
버리다|P AH R IY D AE
버마|P AH M AE
버마어|P AH M AE AH
버몬트|P AH M OW0 N T UW0
버무리다|P AH M UW R IY D AE
버뮤다|P AH M Y UW D AE
버미돌|P AH M IY D OW0 L
버버리|P AH B AH R IY
버서석|P AH S AH S AH K
버석|P AH S AH K
버석버석|P AH S AH K P AH S AH K
버선|P AH S AH N
버섯|P AH S AH T
버스|P AH S UW0
버스럭|P AH S UW0 R AH K
버스럭버스럭|P AH S UW0 R AH K P AH S UW0 R AH K
버스스리|P AH S UW0 S UW0 R IY
버슬버슬|P AH S UW0 L B AH S UW0 L
버썩|P AH S AH K
버썩버썩|P AH S AH K P AH S AH K
버전|P AH D AH N
버지니아|P AH D IY N IY AE
버찌|P AH T IY
버클|P AH K HH UW0 L
버클륨|P AH K HH UW0 L IY L IY UW M
버터|P AH T AH
버터밀크|P AH T AH M IY L K HH UW0
버텅|P AH T AH NG
버튼|P AH T UW0 N
버티다|P AH T IY D AE
버팔로|P AH P AE L L OW0
벅벅이|P AH K P AH G IY
벅차다|P AH K T AE D AE
번|P AH N
번갈다|P AH N G AE L D AE
번뇌|P AH N N W EH0
번데기|P AH N D EH0 G IY
번역|P AH N IY0 AH K
번역가|P AH N IY0 AH K K AE
번역자|P AH N IY0 AH K T AE
번역차용|P AH N IY0 AH K T AE Y OW0 NG
번역체|P AH N IY0 AH K T EH0
번역하다|P AH N IY0 AH K AE D AE
번영|P AH N IY0 AH NG
번영하다|P AH N IY0 AH NG AE D AE
번지|P AH N IY0 D IY
번쩍|P AH N IY0 T AH K
번쩍번쩍|P AH N IY0 T AH K P AH N IY0 T AH K
번체자|P AH N IY0 T EH0 D AE
번트|P AH N T UW0
번트하다|P AH N T UW0 AE D AE
번호|P AH N V OW0
번호판|P AH N V OW0 P AE N
번화|P AH N V W AE
벌|P AH L
벌거벗다|P AH L G AH B AH T T AE
벌거지|P AH L G AH D IY
벌금|P AH L G UW0 M
벌기|P AH L G IY
벌기다|P AH L G IY D AE
벌떡|P AH L T AH K
벌레|P AH L L EH0
벌써|P AH L S AH
벌주다|P AH L IY D UW D AE
벌하다|P AH R AE D AE
범이신론|P AH M IY SH IY L L OW0 N
범천|P AH M T AH N
범퍼|P AH M P AH
법|P AH P
법가|P AH P K AE
법계|P AH P K Y EH0
법관|P AH P K W AE N
법랑질|P AH M N AE NG D IY L
법령|P AH M N IY0 AH NG
법륜|P AH M N IY0 UW N
법률|P AH M N IY0 UW L
법률학|P AH M N IY0 UW R AE K
법무부|P AH M M UW B UW
법사|P AH P S AE
법안|P AH B AE N
법원|P AH B W AH N
법인|P AH B IY N
법적|P AH P T AH K
법정|P AH P T AH NG
법칙|P AH P T IY K
법학|P AH P AE K
벗겨지다|P AH T K Y AH D IY D AE
벗기다|P AH T K IY D AE
벗다|P AH T T AE
벗방|P AH T P AE NG
